Date,Close,High,Low,Open,Volume,"('Close', 'NVO')","('High', 'NVO')","('Low', 'NVO')","('Open', 'NVO')","('Volume', 'NVO')"
2024-06-03,132.97154235839844,134.0206540628577,131.06942522154156,131.2361185449556,4496700.0,,,,,
2024-06-04,137.1875762939453,137.26601581256378,133.12842471049183,133.77553951848793,5071200.0,,,,,
2024-06-05,138.24647521972656,139.62894356251755,137.3444432760011,138.5994455421241,3786700.0,,,,,
2024-06-06,139.619140625,140.1486036320487,138.13863399277247,138.4327784454875,4369200.0,,,,,
2024-06-07,140.08978271484375,140.92317457289283,139.4916944586867,140.27607470688085,3511200.0,,,,,
2024-06-10,140.82513427734375,141.129078065762,138.4916071882354,139.34461265390064,3650400.0,,,,,
2024-06-11,139.0210418701172,140.14859302673273,138.26608961694097,139.13870861878414,4433300.0,,,,,
2024-06-12,140.4623565673828,141.67814674192462,139.22696773254876,140.7172887592759,3242800.0,,,,,
2024-06-13,139.7073974609375,140.1191937193391,138.38375487543982,140.04075419952804,2857200.0,,,,,
2024-06-14,139.7172088623047,140.3839223970904,139.1191205627775,139.43287866913076,2831700.0,,,,,
2024-06-17,137.6287841796875,139.35442365117942,137.59937123058782,139.22695756454195,3164400.0,,,,,
2024-06-18,138.05039978027344,138.94263249783617,137.05031459178764,138.30531700208758,2640200.0,,,,,
2024-06-20,138.2366943359375,140.78591148378794,138.0602016707858,138.7465287890221,3205600.0,,,,,
2024-06-21,139.18775939941406,139.77603340186587,138.45240567574194,138.69752358363266,3030000.0,,,,,
2024-06-24,139.50149536132812,139.8740793496031,138.74652805485846,139.09949842248503,2992100.0,,,,,
2024-06-25,144.04107666015625,145.25685178748014,141.8546143674082,142.66840753597955,6192600.0,,,,,
2024-06-26,140.86434936523438,142.77626594405496,140.0015295918963,142.7174400432926,4384500.0,,,,,
2024-06-27,141.6683349609375,142.521340393773,140.62902258522456,141.0506331174039,2592400.0,,,,,
2024-06-28,139.9525146484375,142.74684959375602,139.88387445864367,141.8350182320398,2757500.0,,,,,
2024-07-01,142.58016967773438,143.1390456372172,140.75649201328747,140.78590496264883,3435800.0,,,,,
2024-07-02,140.1878204345703,140.57020374719687,136.3149607378021,138.92301869613132,6594500.0,,,,,
2024-07-03,136.1580810546875,138.7563396709919,133.35393178837484,138.5798470101761,7455800.0,,,,,
2024-07-05,139.58973693847656,140.07017340848472,137.6091950777778,137.6680209800626,3664500.0,,,,,
2024-07-08,140.2760772705078,140.8839648675836,139.40344319484737,139.50149633796693,2909400.0,,,,,
2024-07-09,137.6876220703125,138.53082825983148,136.35419503283185,138.00138016911473,4580500.0,,,,,
2024-07-10,139.9525146484375,140.00152625736615,136.9522591337375,137.11895246300577,3045200.0,,,,,
2024-07-11,137.0601043701172,139.74660166537828,136.0894471602617,139.49168446132884,3836400.0,,,,,
2024-07-12,139.30540466308594,140.6878731892346,138.86419544177292,138.98184724457397,2877600.0,,,,,
2024-07-15,138.62887573242188,140.68787202931915,138.31513260726942,140.45255346484808,2434100.0,,,,,
2024-07-16,138.11903381347656,139.45247582950867,137.8641165754152,139.22697154350016,2221100.0,,,,,
2024-07-17,132.7754669189453,133.95202988791974,131.80479461511624,133.7461392227744,6703800.0,,,,,
2024-07-18,127.45150756835938,132.33425190513242,124.35321374854291,132.30483895425135,9758200.0,,,,,
2024-07-19,128.97122192382812,130.89295275679606,128.7359183252503,130.0203336701831,4319500.0,,,,,
