Date,Close,High,Low,Open,Volume,"('Close', 'FBLG')","('High', 'FBLG')","('Low', 'FBLG')","('Open', 'FBLG')","('Volume', 'FBLG')"
2024-06-03,11.399999618530272,12.51200008392334,11.0,12.18000030517578,45500.0,,,,,
2024-06-04,9.0,11.550000190734863,8.5,11.550000190734863,223000.0,,,,,
2024-06-05,6.699999809265137,8.899999618530273,6.420000076293945,8.800000190734863,535300.0,,,,,
2024-06-06,10.3100004196167,11.75,7.050000190734863,7.75,2927600.0,,,,,
2024-06-07,9.59000015258789,10.550000190734863,8.699999809265137,9.199999809265137,279300.0,,,,,
2024-06-10,8.710000038146973,9.289999961853027,8.640000343322754,9.220000267028809,177800.0,,,,,
2024-06-11,7.829999923706055,8.704999923706055,7.809999942779541,8.59000015258789,90000.0,,,,,
2024-06-12,7.650000095367432,8.489999771118164,7.5,8.289999961853027,106200.0,,,,,
2024-06-13,7.179999828338623,8.175000190734863,7.01200008392334,7.570000171661377,112600.0,,,,,
2024-06-14,7.110000133514404,7.769999980926514,6.519999980926514,7.5,123300.0,,,,,
2024-06-17,6.730000019073486,7.570000171661377,6.599999904632568,7.199999809265137,113800.0,,,,,
2024-06-18,6.199999809265137,7.039999961853027,6.010000228881836,6.699999809265137,185200.0,,,,,
2024-06-20,5.349999904632568,6.699999809265137,5.300000190734863,6.25,196200.0,,,,,
2024-06-21,4.739999771118164,5.510000228881836,3.990000009536743,5.329999923706055,396800.0,,,,,
2024-06-24,5.0,6.119999885559082,4.170000076293945,4.610000133514404,464500.0,,,,,
2024-06-25,5.0,5.989999771118164,4.960000038146973,4.960000038146973,192900.0,,,,,
2024-06-26,4.489999771118164,5.5,4.0,5.0,348400.0,,,,,
2024-06-27,4.659999847412109,5.46999979019165,4.21999979019165,4.650000095367432,329800.0,,,,,
2024-06-28,4.989999771118164,6.059999942779541,4.559999942779541,5.190000057220459,3815800.0,,,,,
2024-07-01,4.0,5.130000114440918,3.900000095367432,4.840000152587891,313500.0,,,,,
2024-07-02,4.139999866485596,4.860000133514404,3.9700000286102295,3.9700000286102295,328400.0,,,,,
