Date,Close,High,Low,Open,Volume,"('Close', 'TMC')","('High', 'TMC')","('Low', 'TMC')","('Open', 'TMC')","('Volume', 'TMC')"
2024-06-03,1.4800000190734863,1.5,1.4450000524520874,1.4800000190734863,657200.0,,,,,
2024-06-04,1.4500000476837158,1.4700000286102295,1.409999966621399,1.4700000286102295,660500.0,,,,,
2024-06-05,1.4600000381469729,1.465000033378601,1.4199999570846558,1.4600000381469729,601100.0,,,,,
2024-06-06,1.4550000429153442,1.475000023841858,1.4299999475479126,1.440000057220459,669400.0,,,,,
2024-06-07,1.4299999475479126,1.4600000381469729,1.409999966621399,1.440000057220459,930700.0,,,,,
2024-06-10,1.3700000047683716,1.440000057220459,1.3700000047683716,1.440000057220459,1393600.0,,,,,
2024-06-11,1.3799999952316284,1.399999976158142,1.3700000047683716,1.399999976158142,686600.0,,,,,
2024-06-12,1.409999966621399,1.4600000381469729,1.3700000047683716,1.399999976158142,1480700.0,,,,,
2024-06-13,1.4299999475479126,1.4589999914169312,1.399999976158142,1.4199999570846558,778800.0,,,,,
2024-06-14,1.4800000190734863,1.4800000190734863,1.409999966621399,1.409999966621399,826000.0,,,,,
2024-06-17,1.5199999809265137,1.5449999570846558,1.4700000286102295,1.4900000095367432,1160900.0,,,,,
2024-06-18,1.4800000190734863,1.5399999618530271,1.4600000381469729,1.5399999618530271,861700.0,,,,,
2024-06-20,1.4249999523162842,1.4700000286102295,1.409999966621399,1.4600000381469729,1066400.0,,,,,
2024-06-21,1.409999966621399,1.440000057220459,1.399999976158142,1.4299999475479126,383800.0,,,,,
2024-06-24,1.4199999570846558,1.4500000476837158,1.4019999504089355,1.409999966621399,845700.0,,,,,
2024-06-25,1.399999976158142,1.4299999475479126,1.3899999856948853,1.409999966621399,549900.0,,,,,
2024-06-26,1.399999976158142,1.440000057220459,1.3799999952316284,1.3899999856948853,894000.0,,,,,
2024-06-27,1.399999976158142,1.4199999570846558,1.3799999952316284,1.409999966621399,705700.0,,,,,
