Date,Close,High,Low,Open,Volume,"('Close', 'PLTK')","('High', 'PLTK')","('Low', 'PLTK')","('Open', 'PLTK')","('Volume', 'PLTK')"
2024-06-03,7.974015712738037,8.000803880029764,7.715061158036714,7.822214678784108,860900.0,,,,,
2024-06-04,7.804354190826416,7.902578875823273,7.639159523190473,7.902578875823273,857600.0,,,,,
2024-06-05,8.000802040100098,8.058843197814637,7.750777215853926,7.8400713701517,661600.0,,,,,
2024-06-06,8.027591705322266,8.099027382777155,7.938297534293876,7.965085700444348,981100.0,,,,,
2024-06-07,7.7329182624816895,7.938296445685557,7.692735592976157,7.929366774333142,614900.0,,,,,
2024-06-10,7.7775678634643555,7.933833747918837,7.688272829038778,7.715061850314787,1621100.0,,,,,
2024-06-11,7.768636226654053,7.893649072944336,7.643624231944115,7.679342066372719,851400.0,,,,,
2024-06-12,7.786496162414551,8.027591350266183,7.786496162414551,7.956155675970854,533700.0,,,,,
2024-06-13,7.447176456451416,7.813284508601593,7.447176456451416,7.813284508601593,581900.0,,,,,
2024-06-14,7.384670734405518,7.429317394892338,7.232869704325034,7.366811388946419,651100.0,,,,,
2024-06-17,7.420388698577881,7.447176865636727,7.268587665943618,7.384670858639258,743600.0,,,,,
2024-06-18,7.24179744720459,7.420387468882509,7.232868627384962,7.420387468882509,556500.0,,,,,
2024-06-20,7.232868671417236,7.255191998472709,7.081067237224902,7.197150837180277,843800.0,,,,,
2024-06-21,7.395607948303223,7.440812684393526,7.255470507303048,7.259991153357093,2276000.0,,,,,
2024-06-24,7.142457962036133,7.359444248264704,6.961635984993562,7.296156060520347,949300.0,,,,,
2024-06-25,7.024923801422119,7.160540177580284,7.006841646675203,7.1243758680864495,589800.0,,,,,
2024-06-26,6.997800350189209,7.043005952589816,6.943553885976026,6.988759488376633,850200.0,,,,,
2024-06-27,7.196704387664795,7.223827403854227,7.015882842693346,7.061088013379924,888800.0,,,,,
2024-06-28,7.115334987640381,7.241910509319094,7.079170676050063,7.241910509319094,3880400.0,,,,,
2024-07-01,6.672321796417236,7.106293956292649,6.649718994432692,7.106293956292649,1051300.0,,,,,
2024-07-02,6.609033584594727,6.69040349372305,6.536704968086244,6.663280046976088,1608400.0,,,,,
2024-07-03,6.73560905456543,6.744650347710223,6.609033968326421,6.636157416648216,654500.0,,,,,
2024-07-05,6.744649887084961,6.780814194969125,6.672321271316632,6.71752644061556,892300.0,,,,,
2024-07-08,6.744649887084961,6.875745610943195,6.71752644061556,6.780814194969125,741500.0,,,,,
2024-07-09,6.762732028961182,6.776293536615408,6.654239105502259,6.7265677211415404,775000.0,,,,,
2024-07-10,6.72656774520874,6.789855499675829,6.6949240835314745,6.771772914588754,671100.0,,,,,
2024-07-11,6.952595233917236,7.002321052061325,6.708485927469984,6.80793799487074,693300.0,,,,,
2024-07-12,7.142457962036133,7.165060763055526,7.006841587032348,7.043005896218348,815400.0,,,,,
2024-07-15,7.052046775817871,7.241909603474606,7.033964622284494,7.232868311151644,575900.0,,,,,
2024-07-16,7.196704387664795,7.205745249357083,7.066512702840324,7.10629361517907,466100.0,,,,,
2024-07-17,7.205745697021484,7.300677121807351,7.088211901044419,7.133417074539414,597500.0,,,,,
2024-07-18,7.196704387664795,7.323279900257379,7.133416631368503,7.205745249357083,755400.0,,,,,
2024-07-19,7.097252368927002,7.169580987390004,6.975197933048828,7.169580987390004,733700.0,,,,,
2024-07-22,7.250951766967773,7.305197802972783,7.088211934502351,7.12437624591409,674800.0,,,,,
2024-07-23,7.033965110778809,7.232868813459409,7.006841663038802,7.205745365719403,529500.0,,,,,
2024-07-24,6.9073896408081055,7.110813991279558,6.862184469099216,7.0249238632538615,454600.0,,,,,
2024-07-25,6.934513568878174,6.993280684170163,6.86218494424576,6.907390119084714,425700.0,,,,,
2024-07-26,6.898348331451416,7.033964700006516,6.862184023985063,7.01588254627334,492500.0,,,,,
2024-07-29,6.853143692016602,6.925472317086021,6.798897223214538,6.907390160818665,520000.0,,,,,
2024-07-30,6.871225833892822,6.916431440022836,6.798897208974889,6.853143677663339,499400.0,,,,,
