Date,Close,High,Low,Open,Volume,"('Close', 'ALAB')","('High', 'ALAB')","('Low', 'ALAB')","('Open', 'ALAB')","('Volume', 'ALAB')"
2024-06-03,63.619998931884766,66.4800033569336,62.40299987792969,65.12999725341797,1622100.0,,,,,
2024-06-04,61.209999084472656,63.470001220703125,60.72999954223633,63.15999984741211,1800800.0,,,,,
2024-06-05,62.209999084472656,63.59000015258789,60.02999877929688,62.040000915527344,2002300.0,,,,,
2024-06-06,63.0099983215332,64.2699966430664,60.79100036621094,62.5,1461900.0,,,,,
2024-06-07,61.93999862670898,64.04000091552734,61.27000045776367,62.09000015258789,1163900.0,,,,,
2024-06-10,66.69999694824219,67.22000122070312,62.0,62.11000061035156,1916600.0,,,,,
2024-06-11,65.12999725341797,66.9000015258789,64.41000366210938,66.0,1162500.0,,,,,
2024-06-12,64.56999969482422,67.18000030517578,63.65999984741211,66.33000183105469,1096700.0,,,,,
2024-06-13,63.11000061035156,66.48999786376953,62.70000076293945,65.23999786376953,1221900.0,,,,,
2024-06-14,63.91999816894531,64.66799926757812,61.5,62.08000183105469,1458600.0,,,,,
2024-06-17,64.87999725341797,66.38999938964844,63.4900016784668,64.31999969482422,1412000.0,,,,,
2024-06-18,67.16000366210938,68.5,64.19000244140625,65.0,1533800.0,,,,,
2024-06-20,63.15999984741211,68.4800033569336,62.83000183105469,67.5999984741211,1756700.0,,,,,
2024-06-21,59.0099983215332,62.02000045776367,58.91999816894531,60.84000015258789,4199500.0,,,,,
2024-06-24,58.91999816894531,59.41999816894531,55.79999923706055,58.34999847412109,1553400.0,,,,,
2024-06-25,57.810001373291016,59.91999816894531,57.36000061035156,59.77999877929688,725000.0,,,,,
2024-06-26,55.59999847412109,59.31999969482422,54.900001525878906,57.15999984741211,1811600.0,,,,,
2024-06-27,57.880001068115234,57.970001220703125,54.51399993896485,55.0,1120100.0,,,,,
2024-06-28,60.5099983215332,61.79999923706055,58.060001373291016,58.2599983215332,3001800.0,,,,,
2024-07-01,57.540000915527344,60.77999877929688,56.400001525878906,60.5,1890400.0,,,,,
2024-07-02,60.5,60.54999923706055,56.810001373291016,57.09999847412109,848200.0,,,,,
2024-07-03,59.34000015258789,60.81999969482422,58.119998931884766,59.54999923706055,629200.0,,,,,
2024-07-05,59.43999862670898,61.4900016784668,58.58000183105469,59.7400016784668,931800.0,,,,,
2024-07-08,58.90999984741211,60.97999954223633,58.40999984741211,60.0099983215332,1400600.0,,,,,
2024-07-09,56.20000076293945,59.0,55.38999938964844,58.540000915527344,1501900.0,,,,,
2024-07-10,56.880001068115234,57.59000015258789,55.2599983215332,56.709999084472656,898500.0,,,,,
2024-07-11,55.13999938964844,57.93999862670898,54.90999984741211,57.5099983215332,1307200.0,,,,,
