Date,Close,High,Low,Open,Volume,"('Close', 'BEP')","('High', 'BEP')","('Low', 'BEP')","('Open', 'BEP')","('Volume', 'BEP')"
2024-06-03,26.40618705749512,26.51919398112521,25.85056459371128,26.321430966666213,367200.0,,,,,
2024-06-04,25.89764976501465,26.189586404880732,25.794058591166557,26.12366540196381,269600.0,,,,,
2024-06-05,26.302595138549805,26.34026351329283,25.888232239100837,26.00124095575514,190000.0,,,,,
2024-06-06,26.189586639404297,26.34968127487015,25.794058822148227,26.293177814180037,373700.0,,,,,
2024-06-07,25.078340530395508,25.98240483911247,25.031254614782277,25.671633125912507,374900.0,,,,,
2024-06-10,25.483287811279297,25.850564806633905,24.80524087527589,24.84290925139197,421400.0,,,,,
2024-06-11,24.626310348510746,25.37028006190217,24.5792244308433,25.266688887578653,381500.0,,,,,
2024-06-12,24.16486167907715,25.304359215039003,24.051854757491963,25.153680325904368,829800.0,,,,,
2024-06-13,24.136608123779297,24.381458839428955,23.81642066077405,24.08010466515632,375000.0,,,,,
2024-06-14,23.7504997253418,23.976515373764347,23.232547422233377,23.87292599087029,498100.0,,,,,
2024-06-17,23.486814498901367,23.712830135762864,23.307884779472957,23.67515996484631,350300.0,,,,,
2024-06-18,23.665742874145508,23.712830588690604,23.15720813054701,23.326720310484056,372200.0,,,,,
2024-06-20,23.260799407958984,23.77875169672941,23.128955602869343,23.77875169672941,539600.0,,,,,
2024-06-21,23.09128761291504,23.43031018371948,22.99711397805332,23.23254716710128,756300.0,,,,,
2024-06-24,24.12719345092773,24.306121377229683,23.0912870836191,23.0912870836191,816700.0,,,,,
2024-06-25,24.55097198486328,24.55097198486328,23.89176015155979,24.089523162687048,365000.0,,,,,
2024-06-26,23.910593032836918,24.41912956056121,23.84467203025324,24.36262610066271,289200.0,,,,,
2024-06-27,24.654563903808597,24.73931999576677,23.7504995216589,23.778752151049183,289300.0,,,,,
2024-06-28,23.326719284057617,24.81465687016984,23.241963197818546,24.81465687016984,527200.0,,,,,
