Date,Close,High,Low,Open,Volume,"('Close', 'LEXX')","('High', 'LEXX')","('Low', 'LEXX')","('Open', 'LEXX')","('Volume', 'LEXX')"
2024-06-03,3.890000104904175,4.440000057220459,3.7200000286102295,3.930000066757202,763500.0,,,,,
2024-06-04,4.0,4.179999828338623,3.890000104904175,3.900000095367432,124800.0,,,,,
2024-06-05,3.809999942779541,4.110000133514404,3.740000009536743,3.9600000381469727,171000.0,,,,,
2024-06-06,3.4100000858306885,3.839999914169312,3.2699999809265137,3.700000047683716,296400.0,,,,,
2024-06-07,3.2699999809265137,3.740000009536743,3.180000066757202,3.4100000858306885,355900.0,,,,,
2024-06-10,3.2699999809265137,3.3499999046325684,3.13100004196167,3.299999952316284,112500.0,,,,,
2024-06-11,3.069999933242798,3.289999961853028,3.049999952316284,3.2699999809265137,82800.0,,,,,
2024-06-12,3.240000009536743,3.2699999809265137,3.0999999046325684,3.240000009536743,75000.0,,,,,
2024-06-13,3.289999961853028,3.630000114440918,3.259999990463257,3.2799999713897705,151600.0,,,,,
2024-06-14,3.0899999141693115,3.3499999046325684,2.990000009536743,3.309999942779541,97200.0,,,,,
2024-06-17,2.930000066757202,3.171999931335449,2.759999990463257,3.109999895095825,255000.0,,,,,
2024-06-18,2.970000028610229,3.0999999046325684,2.890000104904175,2.9200000762939453,171400.0,,,,,
2024-06-20,2.880000114440918,3.0799999237060547,2.75,3.0,196000.0,,,,,
2024-06-21,2.690000057220459,2.900000095367432,2.6600000858306885,2.900000095367432,158800.0,,,,,
2024-06-24,2.650000095367432,2.8299999237060547,2.569999933242798,2.569999933242798,121100.0,,,,,
2024-06-25,2.5899999141693115,2.8299999237060547,2.5,2.8299999237060547,162800.0,,,,,
2024-06-26,2.609999895095825,2.6519999504089355,2.5,2.5799999237060547,133700.0,,,,,
2024-06-27,2.630000114440918,2.8399999141693115,2.5199999809265137,2.690000057220459,175700.0,,,,,
2024-06-28,2.7799999713897705,2.8299999237060547,2.578000068664551,2.650000095367432,101100.0,,,,,
2024-07-01,2.759999990463257,2.812999963760376,2.650000095367432,2.75,69300.0,,,,,
2024-07-02,2.619999885559082,2.740000009536743,2.549999952316284,2.740000009536743,123900.0,,,,,
2024-07-03,2.640000104904175,2.680000066757202,2.549999952316284,2.640000104904175,25700.0,,,,,
2024-07-05,2.7300000190734863,2.799999952316284,2.5999999046325684,2.6600000858306885,82800.0,,,,,
