Date,Close,High,Low,Open,Volume,"('Close', 'HSY')","('High', 'HSY')","('Low', 'HSY')","('Open', 'HSY')","('Volume', 'HSY')"
2024-06-03,188.78843688964844,191.1336372318448,181.47410976740795,189.9129767915832,1108000.0,,,,,
2024-06-04,192.296630859375,192.80603744650637,187.78885040659,188.6442703987478,1486700.0,,,,,
2024-06-05,190.65306091308597,192.53691490713297,188.0675739311353,191.960221017993,857000.0,,,,,
2024-06-06,189.6534881591797,191.3258741568647,189.5093073437661,190.24939446493545,776100.0,,,,,
2024-06-07,188.44241333007807,190.9221734927532,188.2405807427764,188.8653202104321,715600.0,,,,,
2024-06-10,183.69435119628903,188.63464460960697,182.22379792988843,188.086798621112,1437000.0,,,,,
2024-06-11,183.2041778564453,183.70397825995505,180.55141817492773,182.867770636289,1270400.0,,,,,
2024-06-12,179.94589233398438,183.46369289284416,179.8497717944126,183.06001302532613,1132500.0,,,,,
2024-06-13,178.37921142578125,180.4072315368285,178.2927117431426,180.1092784082278,1087000.0,,,,,
2024-06-14,179.71522521972656,181.71441233100524,178.1005056294263,178.1005056294263,1145300.0,,,,,
2024-06-17,175.93789672851562,179.0327901062206,175.24586996915713,178.77327640497768,1651700.0,,,,,
2024-06-18,175.63034057617188,177.52380083676016,174.29434718749675,175.80335461652754,2294200.0,,,,,
2024-06-20,174.92869567871094,177.28350211042977,174.43851615187512,175.6399495013168,1691000.0,,,,,
2024-06-21,175.01519775390625,176.90865791179988,174.37123122970945,175.39004437742184,2280800.0,,,,,
2024-06-24,180.0227813720703,180.9743072269531,175.7841208692482,175.82256028456337,1855000.0,,,,,
2024-06-25,178.69638061523438,184.0115203333891,178.25426137606732,180.5129471687058,1913400.0,,,,,
2024-06-26,175.93789672851562,178.05241641947373,175.6783830272727,176.8509831103005,1208100.0,,,,,
2024-06-27,176.5434112548828,176.87981845184817,175.01519158716178,176.28391221647036,1199700.0,,,,,
2024-06-28,176.68759155273438,178.25426529529364,175.61111199098934,176.38001758313058,5542300.0,,,,,
2024-07-01,175.3612060546875,178.49455356804611,174.61151282943914,177.32195346374803,1668700.0,,,,,
2024-07-02,177.47573852539062,177.57185906514235,174.75570617482717,175.13055281436246,1638900.0,,,,,
2024-07-03,176.61070251464844,177.28350225770782,175.83217605011296,177.03360940055276,1014800.0,,,,,
2024-07-05,176.9951629638672,177.0143900047662,174.8325828396856,176.4088628768961,1169400.0,,,,,
2024-07-08,177.58143615722656,178.52337036147105,176.995136159047,177.51416352317074,1193300.0,,,,,
2024-07-09,175.64955139160156,177.44689094530045,174.96713081280103,177.40845153206976,1452500.0,,,,,
2024-07-10,178.46572875976562,178.55224311689574,175.0536693912224,175.4092890100885,1373100.0,,,,,
2024-07-11,179.53257751464844,179.87859089762586,177.10087764697784,177.7736920392752,1834700.0,,,,,
2024-07-12,181.5990753173828,183.7328223464598,180.30152129545309,180.69559499585375,1146400.0,,,,,
2024-07-15,181.5798492431641,181.69518216450643,179.80173648674597,181.14733612219405,1315200.0,,,,,
2024-07-16,182.5890350341797,182.6178682611567,179.86898818385137,181.656721586098,1003900.0,,,,,
2024-07-17,186.4624481201172,186.95262762667616,181.8970015810937,181.9258348070128,1819000.0,,,,,
2024-07-18,185.8281097412109,189.7688172956489,184.607463924138,185.50132336495213,1563400.0,,,,,
2024-07-19,183.7231903076172,186.61625133118795,182.4833174874691,186.4624643356228,2196200.0,,,,,
2024-07-22,183.8577423095703,184.36716354358697,181.88740334461653,183.57901622485787,1681000.0,,,,,
2024-07-23,182.56021118164065,183.54058494700416,181.08003701312023,183.27145037150808,2124100.0,,,,,
2024-07-24,184.63629150390625,185.49171150143025,181.9931380135199,182.88699742698356,1873800.0,,,,,
2024-07-25,185.18414306640625,189.0863965354732,182.61788299683667,183.4925300615408,1879600.0,,,,,
2024-07-26,186.0107269287109,186.55858760871607,184.72279382032968,184.8669599645756,1504200.0,,,,,
2024-07-29,185.0784149169922,187.22176805241693,183.5694221532508,185.1937478333217,2100100.0,,,,,
2024-07-30,186.4336395263672,186.7796529490469,182.86777856858683,184.09804525679547,1718000.0,,,,,
2024-07-31,189.80723571777344,190.57615596845764,186.77962964650095,187.12564302601217,2547900.0,,,,,
2024-08-01,191.86410522460935,192.68108581010003,183.1945722941632,184.93424552596773,2867000.0,,,,,
2024-08-02,191.3450927734375,195.33384583667024,189.13445236119125,191.3450927734375,2235700.0,,,,,
2024-08-05,188.4039764404297,194.96861002893584,187.80805552561355,190.3166489486536,1866200.0,,,,,
2024-08-06,191.64303588867188,192.75796955700588,188.9518222521856,190.04752888046292,1388700.0,,,,,
2024-08-07,192.0563507080078,193.9017507088965,190.8068569992784,191.27780952078407,1525900.0,,,,,
2024-08-08,194.2477569580078,194.882102643765,190.64345677694087,190.8549102275049,1031700.0,,,,,
2024-08-09,193.67105102539065,194.11318493979957,191.19129089502937,193.91133768919383,1267400.0,,,,,
2024-08-12,190.9510040283203,192.18127057241077,189.7784039369319,191.43157735541607,1965500.0,,,,,
2024-08-13,191.7103271484375,193.50766678352676,190.34548592903124,191.5469193034887,1053200.0,,,,,
2024-08-14,192.81564331054688,194.7091035146083,191.38352942376864,191.50848318996543,1032100.0,,,,,
