Date,Close,High,Low,Open,Volume,"('Close', 'DELL')","('High', 'DELL')","('Low', 'DELL')","('Open', 'DELL')","('Volume', 'DELL')"
2024-06-03,129.2243194580078,137.74923576854752,125.86721521373144,137.5632709392429,41199200.0,,,,,
2024-06-04,132.87506103515625,136.02663643325823,129.0775221505924,129.39071430546238,21568400.0,,,,,
2024-06-05,134.7346954345703,136.43771045746016,130.12477749758315,133.0610267751572,19148600.0,,,,,
2024-06-06,131.1133270263672,133.79509186395788,129.34177738055143,133.3546574501125,13929100.0,,,,,
2024-06-07,127.2081069946289,131.21118991277507,124.87867779606762,128.70559292669373,19597600.0,,,,,
2024-06-10,129.63540649414062,132.58145291549775,125.67146686398496,126.2587227108734,13994500.0,,,,,
2024-06-11,128.8426055908203,131.98439859367866,127.25703590903213,128.70558123479583,9176400.0,,,,,
2024-06-12,129.00900268554688,130.11499468662126,127.33534896954274,130.00733161629952,11427900.0,,,,,
2024-06-13,132.1508026123047,133.29593808992655,128.99922705117643,129.18519190331395,16066800.0,,,,,
2024-06-14,132.1116485595703,132.6499639557805,128.5000592785406,130.53586072768448,12995300.0,,,,,
2024-06-17,139.0118408203125,141.66425950064692,134.1180915414603,134.2159725008524,26911400.0,,,,,
2024-06-18,145.98052978515625,150.864496766935,140.25485229472207,140.52890104975805,33500100.0,,,,,
2024-06-20,145.36392211914062,158.0876693126978,141.93829787472137,153.30158346573353,39976400.0,,,,,
2024-06-21,141.97743225097656,144.06217393740604,137.6513602728808,142.6821332454165,16745500.0,,,,,
2024-06-24,134.63682556152344,140.50932459980706,134.63682556152344,140.26463713987857,14015000.0,,,,,
2024-06-25,137.36753845214844,138.73778217886584,134.68575866181695,136.35942736723425,8378100.0,,,,,
2024-06-26,135.30238342285156,138.30713766935236,132.21931246237352,135.57643218362242,12714100.0,,,,,
2024-06-27,136.46707153320312,138.8160799121581,134.67597261919198,134.90108088176922,9483000.0,,,,,
2024-06-28,134.97938537597656,138.75736011385484,133.3155137414215,136.56495523620077,20573600.0,,,,,
2024-07-01,139.78504943847656,141.6153067308765,130.79033665502573,134.55851431199832,11565700.0,,,,,
