Date,Close,High,Low,Open,Volume,"('Close', 'AUTL')","('High', 'AUTL')","('Low', 'AUTL')","('Open', 'AUTL')","('Volume', 'AUTL')"
2024-06-03,4.5,4.510000228881836,4.150000095367432,4.25,1425200.0,,,,,
2024-06-04,4.190000057220459,4.559999942779541,4.114999771118164,4.5,1884500.0,,,,,
2024-06-05,4.289999961853027,4.360000133514404,4.159999847412109,4.159999847412109,1528200.0,,,,,
2024-06-06,4.28000020980835,4.329999923706055,4.199999809265137,4.300000190734863,1639500.0,,,,,
2024-06-07,4.0,4.28000020980835,3.994999885559082,4.269999980926514,1677600.0,,,,,
2024-06-10,4.050000190734863,4.079999923706055,3.8949999809265137,3.9800000190734863,1461100.0,,,,,
2024-06-11,4.309999942779541,4.329999923706055,3.9700000286102295,4.039999961853027,1034600.0,,,,,
2024-06-12,4.340000152587891,4.429999828338623,4.070000171661377,4.400000095367432,2010900.0,,,,,
2024-06-13,4.53000020980835,4.559999942779541,4.230000019073486,4.329999923706055,1383600.0,,,,,
2024-06-14,4.5,4.550000190734863,4.320000171661377,4.489999771118164,1694700.0,,,,,
2024-06-17,4.309999942779541,4.775000095367432,4.21999979019165,4.5,1816700.0,,,,,
2024-06-18,3.900000095367432,4.329999923706055,3.869999885559082,4.300000190734863,1845400.0,,,,,
2024-06-20,3.859999895095825,4.090000152587891,3.819999933242798,3.9600000381469727,1423800.0,,,,,
2024-06-21,3.829999923706055,4.025000095367432,3.819999933242798,3.910000085830689,2110300.0,,,,,
2024-06-24,3.7200000286102295,3.900000095367432,3.700000047683716,3.849999904632568,1005900.0,,,,,
2024-06-25,3.4800000190734863,3.7300000190734863,3.4800000190734863,3.7300000190734863,1257200.0,,,,,
2024-06-26,3.359999895095825,3.569999933242798,3.345000028610229,3.4800000190734863,1031100.0,,,,,
2024-06-27,3.3299999237060547,3.434999942779541,3.2300000190734863,3.380000114440918,904000.0,,,,,
2024-06-28,3.4800000190734863,3.555000066757202,3.125,3.3299999237060547,2450800.0,,,,,
2024-07-01,3.470000028610229,3.549999952316284,3.369999885559082,3.450000047683716,638100.0,,,,,
2024-07-02,3.380000114440918,3.470000028610229,3.309999942779541,3.440000057220459,1546800.0,,,,,
2024-07-03,3.490000009536743,3.505000114440918,3.380000114440918,3.4100000858306885,641800.0,,,,,
2024-07-05,3.450000047683716,3.5199999809265137,3.289999961853028,3.5,1575800.0,,,,,
2024-07-08,3.7300000190734863,3.740000009536743,3.440000057220459,3.4600000381469727,2003100.0,,,,,
2024-07-09,3.799999952316284,3.869999885559082,3.634999990463257,3.7100000381469727,1233600.0,,,,,
2024-07-10,3.930000066757202,3.950000047683716,3.7899999618530273,3.809999942779541,628400.0,,,,,
2024-07-11,4.150000095367432,4.244999885559082,3.9600000381469727,3.990000009536743,2672200.0,,,,,
2024-07-12,4.25,4.28000020980835,3.930000066757202,4.179999828338623,5064500.0,,,,,
2024-07-15,4.449999809265137,4.539999961853027,4.260000228881836,4.28000020980835,2012300.0,,,,,
2024-07-16,4.510000228881836,4.579999923706055,4.429999828338623,4.480000019073486,664000.0,,,,,
2024-07-17,4.429999828338623,4.519999980926514,4.320000171661377,4.440000057220459,1000800.0,,,,,
2024-07-18,4.349999904632568,4.454999923706055,4.264999866485596,4.420000076293945,1471300.0,,,,,
2024-07-19,4.25,4.360000133514404,4.199999809265137,4.329999923706055,892000.0,,,,,
2024-07-22,4.300000190734863,4.320000171661377,4.159999847412109,4.25,891200.0,,,,,
2024-07-23,4.289999961853027,4.320000171661377,4.21999979019165,4.25,389900.0,,,,,
2024-07-24,4.289999961853027,4.429999828338623,4.204999923706055,4.25,1086600.0,,,,,
2024-07-25,4.599999904632568,4.699999809265137,4.28000020980835,4.340000152587891,1366300.0,,,,,
2024-07-26,4.670000076293945,4.769999980926514,4.53000020980835,4.639999866485596,626700.0,,,,,
2024-07-29,4.630000114440918,4.679999828338623,4.480000019073486,4.659999847412109,770300.0,,,,,
2024-07-30,4.46999979019165,4.7170000076293945,4.385000228881836,4.659999847412109,790600.0,,,,,
2024-07-31,4.690000057220459,4.835000038146973,4.460000038146973,4.539999961853027,828400.0,,,,,
2024-08-01,4.510000228881836,4.829999923706055,4.434999942779541,4.789999961853027,625100.0,,,,,
2024-08-02,4.5,4.570000171661377,4.25,4.340000152587891,1443100.0,,,,,
2024-08-05,4.25,4.494999885559082,4.204999923706055,4.28000020980835,1559000.0,,,,,
2024-08-06,3.900000095367432,4.25,3.839999914169312,4.239999771118164,947900.0,,,,,
2024-08-07,4.019999980926514,4.079999923706055,3.875,4.010000228881836,1295600.0,,,,,
2024-08-08,3.640000104904175,4.159999847412109,3.609999895095825,4.159999847412109,1150200.0,,,,,
