Date,Close,High,Low,Open,Volume,"('Close', 'VELO')","('High', 'VELO')","('Low', 'VELO')","('Open', 'VELO')","('Volume', 'VELO')"
2024-06-03,72.9749984741211,79.2750015258789,71.92500305175781,78.2249984741211,16465.0,,,,,
2024-06-04,81.375,87.67500305175781,71.92500305175781,75.07499694824219,10728.0,,,,,
2024-06-05,74.55000305175781,80.32499694824219,72.9749984741211,80.32499694824219,11150.0,,,,,
2024-06-06,73.5,75.5999984741211,72.44999694824219,74.55000305175781,5521.0,,,,,
2024-06-07,75.07499694824219,78.75,71.92500305175781,72.9749984741211,8293.0,,,,,
2024-06-10,74.55000305175781,77.69999694824219,72.9749984741211,75.5999984741211,5832.0,,,,,
2024-06-11,68.25,71.4000015258789,59.84999847412109,71.4000015258789,31236.0,,,,,
2024-06-12,65.0999984741211,69.30000305175781,65.0999984741211,68.25,12151.0,,,,,
2024-06-13,58.650001525878906,65.69999694824219,52.5,52.5,30733.0,,,,,
2024-06-14,50.400001525878906,60.150001525878906,46.48500061035156,60.150001525878906,51707.0,,,,,
2024-06-17,41.54999923706055,50.32500076293945,40.650001525878906,50.25,42940.0,,,,,
2024-06-18,45.0,46.34999847412109,40.650001525878906,41.25,18267.0,,,,,
2024-06-20,42.0,44.09999847412109,40.79999923706055,42.900001525878906,21127.0,,,,,
2024-06-21,45.150001525878906,46.34999847412109,41.400001525878906,43.04999923706055,19660.0,,,,,
2024-06-24,45.59999847412109,49.13999938964844,44.92499923706055,45.45000076293945,22800.0,,,,,
2024-06-25,44.84999847412109,46.34999847412109,42.82500076293945,45.75,14860.0,,,,,
2024-06-26,45.45000076293945,48.29999923706055,42.150001525878906,43.650001525878906,14273.0,,,,,
2024-06-27,51.900001525878906,54.75,45.0,46.04999923706055,24367.0,,,,,
2024-06-28,49.79999923706055,55.95000076293945,49.20000076293945,53.54999923706055,43987.0,,,,,
2024-07-01,47.84999847412109,51.75,45.75,51.45000076293945,8947.0,,,,,
2024-07-02,50.09999847412109,52.42499923706055,48.75,49.34999847412109,9507.0,,,,,
2024-07-03,46.650001525878906,51.56999969482422,46.650001525878906,49.34999847412109,6900.0,,,,,
2024-07-05,47.09999847412109,49.04999923706055,45.900001525878906,47.54999923706055,10660.0,,,,,
2024-07-08,43.95000076293945,49.5,43.5,47.25,16380.0,,,,,
2024-07-09,42.150001525878906,44.70000076293945,42.150001525878906,43.650001525878906,9233.0,,,,,
2024-07-10,43.95000076293945,44.70000076293945,41.70000076293945,42.29999923706055,5553.0,,,,,
2024-07-11,46.20000076293945,47.54999923706055,43.34999847412109,43.34999847412109,7913.0,,,,,
2024-07-12,47.70000076293945,49.04999923706055,45.0,49.04999923706055,8287.0,,,,,
2024-07-15,46.34999847412109,49.21500015258789,46.005001068115234,47.25,8080.0,,,,,
2024-07-16,47.400001525878906,47.90999984741211,45.67499923706055,46.5,4727.0,,,,,
2024-07-17,47.25,48.45000076293945,45.75,46.650001525878906,6773.0,,,,,
2024-07-18,43.34999847412109,46.34999847412109,42.59999847412109,45.75,11180.0,,,,,
2024-07-19,41.84999847412109,43.5,41.25,43.04999923706055,7707.0,,,,,
2024-07-22,43.04999923706055,43.79999923706055,40.79999923706055,42.0,6120.0,,,,,
2024-07-23,45.150001525878906,45.45000076293945,42.525001525878906,42.59999847412109,4293.0,,,,,
2024-07-24,42.75,46.5,42.29999923706055,44.70000076293945,4533.0,,,,,
2024-07-25,42.900001525878906,43.48500061035156,41.25,42.150001525878906,3453.0,,,,,
2024-07-26,45.29999923706055,46.5,43.95000076293945,44.54999923706055,7033.0,,,,,
