Date,Close,High,Low,Open,Volume,"('Close', 'CMCT')","('High', 'CMCT')","('Low', 'CMCT')","('Open', 'CMCT')","('Volume', 'CMCT')"
2024-05-28,68.82408142089844,71.90930355109354,68.82408142089844,70.24802839158434,188.0,,,,,
2024-05-29,71.43465423583984,71.43465423583984,68.58676030742583,69.53605828356385,131.0,,,,,
2024-05-30,67.63745880126953,71.19732233228778,67.63745880126953,70.0107036177542,294.0,,,,,
2024-05-31,68.34942626953125,71.19731995418887,68.34942626953125,71.19731995418887,322.0,,,,,
2024-06-03,69.2987289428711,70.24802690321526,69.2987289428711,69.2987289428711,106.0,,,,,
2024-06-04,69.77337646484375,69.77337646484375,69.77337646484375,69.77337646484375,12.0,,,,,
2024-06-05,68.82408142089844,68.82408142089844,68.82408142089844,68.82408142089844,20.0,,,,,
2024-06-06,69.2987289428711,69.77337792304318,68.58675916632185,69.77337792304318,277.0,,,,,
2024-06-07,69.53605651855469,69.53605651855469,68.34943038479295,68.34943038479295,171.0,,,,,
2024-06-10,67.16281127929688,69.29872796626142,66.92548309884654,66.92548309884654,228.0,,,,,
2024-06-11,69.53605651855469,69.53605651855469,67.63746061447007,67.63746061447007,253.0,,,,,
2024-06-12,68.82408142089844,68.82408142089844,68.11211162926446,68.11211162926446,49.0,,,,,
2024-06-13,67.63745880126953,68.5867567278634,67.63745880126953,68.5867567278634,24.0,,,,,
2024-06-14,66.45083618164062,67.63746234577627,66.45083618164062,67.63746234577627,298.0,,,,,
2024-06-17,68.58675384521484,68.82407462318014,66.45082990644111,68.58675384521484,122.0,,,,,
2024-06-18,62.89096832275391,66.68815997807752,62.17899119367202,66.68815997807752,2028.0,,,,,
2024-06-20,62.89096832275391,64.55223597824929,61.70434593046527,61.70434593046527,1098.0,,,,,
2024-06-21,64.07759094238281,64.31491912907188,63.60294195642255,63.60294195642255,1261.0,,,,,
2024-06-24,63.36561965942383,65.02688737730965,62.89097068468249,65.02688737730965,302.0,,,,,
