Date,Close,High,Low,Open,Volume,"('Close', 'BCAB')","('High', 'BCAB')","('Low', 'BCAB')","('Open', 'BCAB')","('Volume', 'BCAB')"
2024-06-03,1.590000033378601,1.590000033378601,1.4700000286102295,1.5199999809265137,684000.0,,,,,
2024-06-04,1.6200000047683716,1.7300000190734863,1.5499999523162842,1.559999942779541,652700.0,,,,,
2024-06-05,1.7400000095367432,1.7450000047683716,1.559999942779541,1.6200000047683716,448400.0,,,,,
2024-06-06,1.649999976158142,1.830000042915344,1.6399999856948853,1.75,556100.0,,,,,
2024-06-07,1.5199999809265137,1.649999976158142,1.440000057220459,1.649999976158142,572100.0,,,,,
2024-06-10,1.4950000047683716,1.5399999618530271,1.3600000143051147,1.5,541000.0,,,,,
2024-06-11,1.6150000095367432,1.7300000190734863,1.4299999475479126,1.4299999475479126,715600.0,,,,,
2024-06-12,1.5800000429153442,1.6699999570846558,1.5099999904632568,1.6699999570846558,463700.0,,,,,
2024-06-13,1.5700000524520874,1.590000033378601,1.5099999904632568,1.5700000524520874,192400.0,,,,,
2024-06-14,1.590000033378601,1.625,1.5299999713897705,1.5399999618530271,195700.0,,,,,
2024-06-17,1.559999942779541,1.6200000047683716,1.534999966621399,1.5800000429153442,258600.0,,,,,
2024-06-18,1.600000023841858,1.6699999570846558,1.5199999809265137,1.5800000429153442,380900.0,,,,,
2024-06-20,1.4149999618530271,1.6200000047683716,1.409999966621399,1.5499999523162842,587000.0,,,,,
2024-06-21,1.5099999904632568,1.5850000381469729,1.4199999570846558,1.4199999570846558,522700.0,,,,,
2024-06-24,1.559999942779541,1.590000033378601,1.4500000476837158,1.4800000190734863,397500.0,,,,,
2024-06-25,1.5299999713897705,1.559999942779541,1.5,1.5399999618530271,343200.0,,,,,
2024-06-26,1.409999966621399,1.649999976158142,1.399999976158142,1.5299999713897705,755000.0,,,,,
2024-06-27,1.4700000286102295,1.5449999570846558,1.3600000143051147,1.4199999570846558,610800.0,,,,,
2024-06-28,1.3700000047683716,1.5199999809265137,1.3700000047683716,1.440000057220459,5763600.0,,,,,
2024-07-01,1.350000023841858,1.4049999713897705,1.2899999618530271,1.340000033378601,1045000.0,,,,,
2024-07-02,1.3200000524520874,1.409999966621399,1.2599999904632568,1.3600000143051147,923500.0,,,,,
2024-07-03,1.4299999475479126,1.4500000476837158,1.2899999618530271,1.340000033378601,825800.0,,,,,
2024-07-05,1.3200000524520874,1.4299999475479126,1.3200000524520874,1.4299999475479126,643400.0,,,,,
2024-07-08,1.2699999809265137,1.3700000047683716,1.2400000095367432,1.3200000524520874,640200.0,,,,,
2024-07-09,1.1699999570846558,1.309999942779541,1.1399999856948853,1.309999942779541,1713600.0,,,,,
2024-07-10,1.4199999570846558,1.4470000267028809,1.190000057220459,1.2699999809265137,1075900.0,,,,,
2024-07-11,1.600000023841858,1.659999966621399,1.440000057220459,1.4800000190734863,754400.0,,,,,
2024-07-12,1.7999999523162842,1.8200000524520876,1.5800000429153442,1.6299999952316284,887300.0,,,,,
2024-07-15,1.75,1.919999957084656,1.659999966621399,1.850000023841858,941000.0,,,,,
2024-07-16,2.049999952316284,2.0899999141693115,1.75,1.7799999713897705,1199400.0,,,,,
2024-07-17,1.809999942779541,2.0,1.5700000524520874,2.0,1549900.0,,,,,
2024-07-18,1.7799999713897705,1.8650000095367432,1.7100000381469729,1.8600000143051147,431400.0,,,,,
2024-07-19,1.7000000476837158,1.7799999713897705,1.6299999952316284,1.75,527500.0,,,,,
2024-07-22,1.7400000095367432,1.7799999713897705,1.6699999570846558,1.690000057220459,289700.0,,,,,
