Date,Close,High,Low,Open,Volume,"('Close', 'MGX')","('High', 'MGX')","('Low', 'MGX')","('Open', 'MGX')","('Volume', 'MGX')"
2024-06-03,6.690000057220459,6.889999866485596,6.400000095367432,6.400000095367432,270000.0,,,,,
2024-06-04,6.559999942779541,6.698999881744385,6.510000228881836,6.690000057220459,21600.0,,,,,
2024-06-05,6.550000190734863,6.715000152587891,6.550000190734863,6.599999904632568,15200.0,,,,,
2024-06-06,6.630000114440918,6.744999885559082,6.572000026702881,6.639999866485596,15200.0,,,,,
2024-06-07,6.079999923706055,6.663000106811523,6.079999923706055,6.663000106811523,57500.0,,,,,
2024-06-10,6.440000057220459,6.440000057220459,6.079999923706055,6.079999923706055,27300.0,,,,,
2024-06-11,6.409999847412109,6.610000133514404,6.389999866485596,6.440000057220459,34500.0,,,,,
2024-06-12,6.050000190734863,6.900000095367432,6.050000190734863,6.510000228881836,20500.0,,,,,
2024-06-13,6.0,6.590000152587891,5.929999828338623,6.050000190734863,54100.0,,,,,
2024-06-14,5.550000190734863,6.247000217437744,5.400000095367432,6.0,60000.0,,,,,
2024-06-17,4.210000038146973,5.629000186920166,4.199999809265137,5.489999771118164,161200.0,,,,,
2024-06-18,3.880000114440918,4.380000114440918,3.799999952316284,4.329999923706055,124600.0,,,,,
2024-06-20,3.799999952316284,4.0,3.799999952316284,3.9600000381469727,145700.0,,,,,
2024-06-21,3.5799999237060547,3.9800000190734863,3.3399999141693115,3.809999942779541,178900.0,,,,,
2024-06-24,3.5999999046325684,3.7899999618530273,3.4800000190734863,3.549999952316284,114000.0,,,,,
2024-06-25,3.7300000190734863,3.910000085830689,3.619999885559082,3.670000076293945,59400.0,,,,,
2024-06-26,3.799999952316284,3.91100001335144,3.509999990463257,3.7100000381469727,35500.0,,,,,
2024-06-27,3.7699999809265137,4.260000228881836,3.619999885559082,3.690000057220459,49100.0,,,,,
2024-06-28,4.079999923706055,4.28000020980835,3.700000047683716,3.700000047683716,770800.0,,,,,
2024-07-01,4.420000076293945,4.429999828338623,3.920000076293945,4.019999980926514,77800.0,,,,,
2024-07-02,4.230000019073486,4.429999828338623,4.159999847412109,4.429999828338623,41400.0,,,,,
