Date,Close,High,Low,Open,Volume,"('Close', 'FLUT')","('High', 'FLUT')","('Low', 'FLUT')","('Open', 'FLUT')","('Volume', 'FLUT')"
2024-06-03,189.13999938964844,191.4850006103516,187.77999877929688,190.7899932861328,1068800.0,,,,,
2024-06-04,191.6999969482422,192.3999938964844,189.92999267578125,190.5500030517578,1183400.0,,,,,
2024-06-05,186.50999450683597,191.1999969482422,186.22000122070312,191.1999969482422,2117000.0,,,,,
2024-06-06,190.52999877929688,191.7400054931641,188.13999938964844,188.25,3837400.0,,,,,
2024-06-07,191.5500030517578,192.0200042724609,187.80999755859372,187.9900054931641,1038600.0,,,,,
2024-06-10,186.8300018310547,189.19000244140625,186.6000061035156,189.19000244140625,876500.0,,,,,
2024-06-11,183.1499938964844,186.1199951171875,182.00999450683597,185.72000122070312,2128800.0,,,,,
2024-06-12,181.8300018310547,187.8500061035156,181.7050018310547,187.80999755859372,1322100.0,,,,,
2024-06-13,178.5800018310547,183.17999267578125,178.1300048828125,182.6499938964844,1032800.0,,,,,
2024-06-14,177.9600067138672,178.4949951171875,174.02999877929688,176.02999877929688,1159400.0,,,,,
2024-06-17,188.80999755859372,189.91000366210935,178.8300018310547,179.8000030517578,2749800.0,,,,,
2024-06-18,184.7700042724609,186.5500030517578,182.13999938964844,185.0500030517578,1188400.0,,,,,
2024-06-20,190.3999938964844,191.0500030517578,185.5330047607422,186.1000061035156,1039300.0,,,,,
2024-06-21,189.02999877929688,191.18499755859372,188.8249969482422,189.47000122070312,1728600.0,,,,,
2024-06-24,187.30999755859372,187.6699981689453,185.1699981689453,185.77999877929688,1341400.0,,,,,
2024-06-25,186.0500030517578,188.72999572753903,185.38999938964844,188.02999877929688,648100.0,,,,,
2024-06-26,181.00999450683597,183.6100006103516,180.7899932861328,183.17999267578125,762900.0,,,,,
2024-06-27,182.80999755859372,185.2899932861328,182.41000366210935,183.1100006103516,475900.0,,,,,
2024-06-28,182.3600006103516,184.8300018310547,181.0399932861328,183.69000244140625,3251000.0,,,,,
2024-07-01,186.30999755859372,187.0,183.5200042724609,186.3300018310547,1031500.0,,,,,
2024-07-02,190.3800048828125,191.2400054931641,186.66000366210935,186.88999938964844,2316200.0,,,,,
2024-07-03,193.9199981689453,194.97000122070312,191.97000122070312,192.9600067138672,479400.0,,,,,
2024-07-05,195.16000366210935,198.7100067138672,193.94000244140625,198.42999267578125,956700.0,,,,,
2024-07-08,197.4499969482422,200.9900054931641,197.2100067138672,199.5500030517578,986100.0,,,,,
2024-07-09,198.92999267578125,199.75,196.9199981689453,197.5500030517578,524500.0,,,,,
2024-07-10,198.47999572753903,201.4499969482422,198.1999969482422,200.9600067138672,849500.0,,,,,
2024-07-11,203.47000122070312,203.77999877929688,200.1000061035156,200.88999938964844,1441800.0,,,,,
2024-07-12,207.22999572753903,209.17999267578125,203.3999938964844,203.41000366210935,2322200.0,,,,,
2024-07-15,207.2100067138672,208.58999633789065,205.07000732421875,205.6199951171875,1793200.0,,,,,
2024-07-16,207.9499969482422,209.13999938964844,205.1000061035156,206.05999755859372,2158800.0,,,,,
2024-07-17,203.5200042724609,206.7400054931641,203.5200042724609,204.6300048828125,699400.0,,,,,
2024-07-18,199.77999877929688,202.6199951171875,199.3999938964844,201.7899932861328,776900.0,,,,,
2024-07-19,200.9499969482422,201.41000366210935,196.72999572753903,197.3500061035156,901100.0,,,,,
2024-07-22,203.2899932861328,203.9900054931641,200.1100006103516,201.0,946300.0,,,,,
2024-07-23,203.0399932861328,203.8300018310547,201.6300048828125,203.8300018310547,498700.0,,,,,
2024-07-24,195.00999450683597,202.17999267578125,194.72000122070312,201.6999969482422,593600.0,,,,,
2024-07-25,195.1199951171875,196.47000122070312,191.1100006103516,192.80999755859372,1448100.0,,,,,
2024-07-26,198.6300048828125,198.7899932861328,196.0800018310547,197.52999877929688,379400.0,,,,,
2024-07-29,193.5,195.2350006103516,193.19000244140625,193.91000366210935,937600.0,,,,,
2024-07-30,192.6300048828125,194.6499938964844,191.2100067138672,193.3999938964844,769500.0,,,,,
2024-07-31,197.3999938964844,199.72999572753903,195.55999755859372,197.5,911400.0,,,,,
