Date,Close,High,Low,Open,Volume,"('Close', 'REGN')","('High', 'REGN')","('Low', 'REGN')","('Open', 'REGN')","('Volume', 'REGN')"
2024-06-03,985.2562255859376,996.7668774305226,975.0798804760652,975.9760022161398,533000.0,,,,,
2024-06-04,989.0499877929688,995.8807511602968,982.4284106662236,985.56492800796,340400.0,,,,,
2024-06-05,1001.5762329101562,1010.6672644961152,985.5449833693744,989.1993002053892,385500.0,,,,,
2024-06-06,996.5179443359376,1011.6630398727372,993.4710088712424,1000.8991865349972,439700.0,,,,,
2024-06-07,998.6688232421876,1003.1296804817516,990.1951392749132,994.7356720436472,250100.0,,,,,
2024-06-10,997.4539184570312,998.6687422735464,987.9845038540576,994.1879513213216,250900.0,,,,,
2024-06-11,1006.2263793945312,1012.6488590304195,993.5806393307796,993.8196051410156,448200.0,,,,,
2024-06-12,1023.283203125,1025.6032132380008,1004.8422404643392,1010.4780527399432,453700.0,,,,,
2024-06-13,1022.1680297851562,1026.4296674349064,1013.525028491389,1018.3144936843934,315400.0,,,,,
2024-06-14,1032.0953369140625,1038.20914115115,1013.6145680216064,1019.9275306563258,353900.0,,,,,
2024-06-17,1040.9075927734375,1045.019967780173,1021.6302499737096,1032.0953953444982,446100.0,,,,,
2024-06-18,1034.67431640625,1047.847821800812,1031.5776067094678,1042.0327851558477,379300.0,,,,,
2024-06-20,1039.931884765625,1041.823798650575,1023.6118332660678,1034.007210271945,590500.0,,,,,
2024-06-21,1048.6446533203125,1055.2762589343022,1036.8053915739565,1043.2377779646954,1269900.0,,,,,
2024-06-24,1059.3486328125,1063.4410740452488,1047.768272434476,1055.4752233033369,518400.0,,,,,
2024-06-25,1066.617431640625,1076.5549328495613,1061.489512306469,1063.560589805632,518600.0,,,,,
2024-06-26,1064.5960693359375,1070.7098738660582,1045.1095404852672,1062.4452557778054,533700.0,,,,,
2024-06-27,1046.374267578125,1068.469610194137,1042.5407260596692,1066.6473439699482,507700.0,,,,,
2024-06-28,1046.5435791015625,1052.7070979860414,1037.3330638576113,1050.307472881179,750600.0,,,,,
2024-07-01,1052.508056640625,1065.1238960798426,1040.539345392158,1042.6403241256528,383200.0,,,,,
2024-07-02,1040.2008056640625,1053.65314669649,1025.8323479794728,1049.5009029715975,364300.0,,,,,
2024-07-03,1019.718505859375,1042.7697114116204,1007.351539246438,1037.8309227064142,378300.0,,,,,
2024-07-05,1029.815185546875,1035.6104099076006,1021.421238571268,1023.0840320872444,418300.0,,,,,
2024-07-08,1047.75830078125,1050.0982451165307,1032.891978417986,1035.07269325458,366200.0,,,,,
2024-07-09,1049.53076171875,1054.4894844775297,1035.5705885083528,1051.3230052494443,268400.0,,,,,
2024-07-10,1066.5478515625,1067.7526477050872,1048.7840367664546,1052.657446640933,263900.0,,,,,
2024-07-11,1075.65869140625,1086.7411858485063,1061.379938325811,1061.379938325811,444400.0,,,,,
2024-07-12,1095.3543701171875,1101.438274357104,1080.3087617695287,1087.418298518514,471500.0,,,,,
2024-07-15,1077.4908447265625,1095.3343944114854,1074.6729687424372,1092.6061002157526,434600.0,,,,,
2024-07-16,1090.31591796875,1095.3841567702898,1074.4837643697629,1083.246249325587,282400.0,,,,,
2024-07-17,1080.98583984375,1095.304461207689,1072.173641897517,1088.3443089463171,464500.0,,,,,
2024-07-18,1062.7042236328125,1094.2788250524918,1060.8820790658049,1086.7411924039802,396100.0,,,,,
2024-07-19,1059.059814453125,1072.1337716307748,1056.2120374455185,1067.6131125131471,452200.0,,,,,
