Date,Close,High,Low,Open,Volume,"('Close', 'DECK')","('High', 'DECK')","('Low', 'DECK')","('Open', 'DECK')","('Volume', 'DECK')"
2024-06-03,181.09500122070312,184.48167419433597,179.2383270263672,182.30833435058597,1587000.0,,,,,
2024-06-04,177.80499267578125,182.0333404541016,177.37167358398438,180.1983337402344,1351200.0,,,,,
2024-06-05,182.2100067138672,182.6583404541016,177.16000366210938,177.6266632080078,1372800.0,,,,,
2024-06-06,177.57167053222656,183.6283264160156,177.26499938964844,182.93333435058597,1527600.0,,,,,
2024-06-07,174.05166625976562,177.10499572753906,172.24000549316406,177.10499572753906,1488000.0,,,,,
2024-06-10,175.8249969482422,176.14666748046875,171.9116668701172,172.68333435058594,1686600.0,,,,,
2024-06-11,173.72166442871094,175.57167053222656,172.72999572753906,175.29666137695312,1449600.0,,,,,
2024-06-12,173.25332641601562,174.56500244140625,171.6683349609375,174.43833923339844,2136600.0,,,,,
2024-06-13,171.69332885742188,172.62832641601562,169.28334045410156,172.2616729736328,1990800.0,,,,,
2024-06-14,170.625,172.0366668701172,169.5,171.13499450683594,1208400.0,,,,,
2024-06-17,169.5816650390625,172.84165954589844,168.6649932861328,170.3766632080078,2242200.0,,,,,
2024-06-18,168.06500244140625,171.06832885742188,167.51666259765625,168.60667419433594,2521800.0,,,,,
2024-06-20,164.9066619873047,168.74166870117188,163.3333282470703,168.01666259765625,2290200.0,,,,,
2024-06-21,163.35667419433594,164.69833374023438,160.9199981689453,164.69833374023438,3744600.0,,,,,
2024-06-24,163.01333618164062,165.23167419433594,162.1366729736328,163.3333282470703,1615800.0,,,,,
2024-06-25,162.55332946777344,164.72500610351562,161.53500366210938,164.69667053222656,1434000.0,,,,,
2024-06-26,163.5433349609375,165.3866729736328,162.5,162.91000366210938,1767000.0,,,,,
2024-06-27,166.65167236328125,167.17333984375,162.4250030517578,162.4250030517578,1971600.0,,,,,
2024-06-28,161.3249969482422,167.38499450683594,160.9250030517578,163.0066680908203,3535800.0,,,,,
2024-07-01,157.71665954589844,163.27000427246094,153.2066650390625,162.61666870117188,2159400.0,,,,,
2024-07-02,156.77333068847656,158.81333923339844,154.17166137695312,157.26832580566406,1805400.0,,,,,
2024-07-03,155.94833374023438,158.8383331298828,154.913330078125,157.06500244140625,996000.0,,,,,
2024-07-05,156.55332946777344,156.6649932861328,154.5833282470703,156.05499267578125,1073400.0,,,,,
2024-07-08,158.78334045410156,159.00833129882812,155.85333251953125,157.4116668701172,1821600.0,,,,,
2024-07-09,156.50833129882812,159.19166564941406,156.3816680908203,158.28500366210938,1356600.0,,,,,
2024-07-10,148.89500427246094,154.5833282470703,141.97500610351562,154.1666717529297,3773400.0,,,,,
2024-07-11,148.10667419433594,149.22999572753906,146.11500549316406,149.14166259765625,2966400.0,,,,,
2024-07-12,149.67666625976562,151.6666717529297,147.97332763671875,149.85000610351562,2373000.0,,,,,
2024-07-15,149.92999267578125,152.06333923339844,149.36666870117188,149.6666717529297,2434200.0,,,,,
2024-07-16,152.14500427246094,152.1566619873047,148.89999389648438,151.6666717529297,2289600.0,,,,,
2024-07-17,148.27000427246094,155.5433349609375,148.25332641601562,151.27667236328125,2183400.0,,,,,
2024-07-18,147.80999755859375,152.8000030517578,146.8316650390625,149.7516632080078,2086200.0,,,,,
2024-07-19,145.2066650390625,148.72000122070312,144.98167419433594,147.85833740234375,1538400.0,,,,,
2024-07-22,147.31832885742188,148.31832885742188,145.4683380126953,146.6666717529297,1890600.0,,,,,
2024-07-23,147.07167053222656,151.1233367919922,147.0416717529297,147.8350067138672,2299200.0,,,,,
2024-07-24,141.0066680908203,147.163330078125,140.9166717529297,146.38499450683594,2683800.0,,,,,
2024-07-25,140.25,142.59500122070312,136.75332641601562,141.6666717529297,5346000.0,,,,,
2024-07-26,149.11666870117188,163.3333282470703,148.8333282470703,159.9683380126953,7816200.0,,,,,
2024-07-29,153.5366668701172,155.37832641601562,148.5749969482422,149.5833282470703,3219600.0,,,,,
2024-07-30,151.87167358398438,155.0,151.17666625976562,153.73666381835938,1952400.0,,,,,
2024-07-31,153.77166748046875,155.5,152.78500366210938,153.86166381835938,1846200.0,,,,,
2024-08-01,151.03500366210938,155.47666931152344,149.1699981689453,153.7949981689453,1522200.0,,,,,
2024-08-02,144.22166442871094,147.15167236328125,142.39666748046875,147.15167236328125,1846200.0,,,,,
2024-08-05,141.74667358398438,143.8333282470703,134.48333740234375,137.43833923339844,2247000.0,,,,,
2024-08-06,144.86666870117188,147.05999755859375,142.12832641601562,143.875,1873800.0,,,,,
2024-08-07,140.54666137695312,147.3333282470703,140.24667358398438,146.9983367919922,2365200.0,,,,,
2024-08-08,147.32167053222656,147.62167358398438,141.07333374023438,142.36166381835938,2382000.0,,,,,
2024-08-09,148.375,148.72332763671875,145.76832580566406,146.80499267578125,1294200.0,,,,,
2024-08-12,153.0500030517578,153.15499877929688,148.336669921875,148.336669921875,2084400.0,,,,,
