Date,Close,High,Low,Open,Volume,"('Close', 'PG')","('High', 'PG')","('Low', 'PG')","('Open', 'PG')","('Volume', 'PG')"
2024-06-03,159.62939453125,161.17092260828846,158.6405075909727,158.9313479889898,5828400.0,,,,,
2024-06-04,161.91741943359375,162.02406583530666,159.38700462341345,159.76511190339403,6277000.0,,,,,
2024-06-05,160.98670959472656,161.91742843093104,159.94932955737394,161.91742843093104,5243300.0,,,,,
2024-06-06,163.3329315185547,163.43957793647695,160.0463016488723,160.77343228193044,6302000.0,,,,,
2024-06-07,161.9658966064453,163.81765920776246,161.75260380453923,163.2650329136854,4558200.0,,,,,
2024-06-10,162.2470703125,162.60578331879933,161.0157917646899,161.6944439901923,4110600.0,,,,,
2024-06-11,162.37307739257812,162.39247168063247,160.95760502826326,161.87863399849672,3947700.0,,,,,
2024-06-12,160.14321899414062,162.528213614398,159.2125002107536,162.39248317542453,5474500.0,,,,,
2024-06-13,161.33572387695312,161.90772967085726,159.4548772251926,159.4548772251926,4902200.0,,,,,
2024-06-14,161.70413208007812,161.83986252378648,160.21109719928614,160.9285379980354,3695000.0,,,,,
2024-06-17,162.3925018310547,163.56561238327717,160.3565302190524,160.7928204169886,6759400.0,,,,,
2024-06-18,163.420166015625,163.50741813173738,161.8495687515662,161.9368208676786,5112600.0,,,,,
2024-06-20,162.5572967529297,163.63345051080734,161.77199816081782,163.23594894404437,8483600.0,,,,,
2024-06-21,163.12930297851562,163.73040760097177,162.0822332550686,162.37308842161082,14682000.0,,,,,
2024-06-24,163.31349182128906,164.24422528198306,162.37306861384542,163.61403669909976,7565200.0,,,,,
2024-06-25,161.76231384277344,163.75949669802517,160.84126998801378,163.4880358124672,7968200.0,,,,,
2024-06-26,162.34400939941406,162.69303265134505,160.60859768149894,160.98670497163178,5164000.0,,,,,
2024-06-27,161.539306640625,162.9741881407943,160.45346316461178,162.38278807757112,5007000.0,,,,,
2024-06-28,159.8911590576172,162.14042333247787,159.56153009118347,160.93822882762038,9253100.0,,,,,
