Date,Close,High,Low,Open,Volume,"('Close', 'ACRS')","('High', 'ACRS')","('Low', 'ACRS')","('Open', 'ACRS')","('Volume', 'ACRS')"
2024-06-03,1.0399999618530271,1.059999942779541,1.0199999809265137,1.0399999618530271,378900.0,,,,,
2024-06-04,1.0099999904632568,1.0299999713897705,1.0,1.0299999713897705,289800.0,,,,,
2024-06-05,1.0499999523162842,1.0499999523162842,1.0099999904632568,1.0399999618530271,241800.0,,,,,
2024-06-06,1.0299999713897705,1.059999942779541,1.0099999904632568,1.0499999523162842,269500.0,,,,,
2024-06-07,1.0099999904632568,1.0299999713897705,1.0,1.0199999809265137,307300.0,,,,,
2024-06-10,1.059999942779541,1.0700000524520874,0.9900000095367432,0.99099999666214,298400.0,,,,,
2024-06-11,1.1200000047683716,1.1349999904632568,1.0099999904632568,1.059999942779541,1444100.0,,,,,
2024-06-12,1.149999976158142,1.1749999523162842,1.090000033378601,1.1100000143051147,521100.0,,,,,
2024-06-13,1.190000057220459,1.2200000286102295,1.1100000143051147,1.1399999856948853,974100.0,,,,,
2024-06-14,1.1799999475479126,1.2300000190734863,1.149999976158142,1.2200000286102295,1003900.0,,,,,
2024-06-17,1.1299999952316284,1.2000000476837158,1.0950000286102295,1.2000000476837158,905200.0,,,,,
2024-06-18,1.1299999952316284,1.1799999475479126,1.1150000095367432,1.1200000047683716,564700.0,,,,,
2024-06-20,1.1299999952316284,1.1649999618530271,1.100000023841858,1.159999966621399,493700.0,,,,,
2024-06-21,1.149999976158142,1.149999976158142,1.1100000143051147,1.1399999856948853,470300.0,,,,,
2024-06-24,1.2899999618530271,1.2899999618530271,1.1399999856948853,1.149999976158142,982800.0,,,,,
2024-06-25,1.2899999618530271,1.2899999618530271,1.2400000095367432,1.2799999713897705,731800.0,,,,,
2024-06-26,1.1150000095367432,1.2799999713897705,1.1100000143051147,1.2799999713897705,830900.0,,,,,
2024-06-27,1.1100000143051147,1.1799999475479126,1.100000023841858,1.1200000047683716,894100.0,,,,,
2024-06-28,1.100000023841858,1.159999966621399,1.100000023841858,1.1299999952316284,9375800.0,,,,,
