Date,Close,High,Low,Open,Volume,"('Close', 'ENVX')","('High', 'ENVX')","('Low', 'ENVX')","('Open', 'ENVX')","('Volume', 'ENVX')"
2024-06-03,10.649999618530272,11.18000030517578,10.300000190734863,10.914999961853027,4979300.0,,,,,
2024-06-04,10.229999542236328,10.699999809265137,10.119999885559082,10.600000381469728,2776300.0,,,,,
2024-06-05,10.850000381469728,10.890000343322754,10.140000343322754,10.229999542236328,3047300.0,,,,,
2024-06-06,10.770000457763672,11.170000076293944,10.550000190734863,10.75,2925300.0,,,,,
2024-06-07,10.479999542236328,10.8100004196167,10.300000190734863,10.5,3406400.0,,,,,
2024-06-10,11.390000343322754,11.699999809265137,10.30500030517578,10.399999618530272,6428900.0,,,,,
2024-06-11,12.359999656677246,12.5,10.880000114440918,11.260000228881836,8174400.0,,,,,
2024-06-12,13.220000267028809,14.1899995803833,12.779999732971191,12.789999961853027,12566500.0,,,,,
2024-06-13,12.890000343322754,13.670000076293944,12.75100040435791,13.369999885559082,4475300.0,,,,,
2024-06-14,12.199999809265137,12.68000030517578,11.96500015258789,12.56999969482422,4750400.0,,,,,
2024-06-17,12.210000038146973,12.550000190734863,11.68000030517578,12.010000228881836,5133300.0,,,,,
2024-06-18,12.460000038146973,12.604999542236328,11.960000038146973,12.039999961853027,3087400.0,,,,,
2024-06-20,11.93000030517578,12.390000343322754,11.673999786376951,12.390000343322754,3134000.0,,,,,
2024-06-21,12.0,12.020000457763672,11.4399995803833,11.93000030517578,4449800.0,,,,,
2024-06-24,12.039999961853027,12.449999809265137,11.619999885559082,11.93000030517578,3381200.0,,,,,
2024-06-25,16.260000228881836,17.1200008392334,13.75,14.050000190734863,33339400.0,,,,,
2024-06-26,15.029999732971191,16.329999923706055,14.75,15.770000457763672,13595800.0,,,,,
2024-06-27,15.6899995803833,15.84000015258789,14.59000015258789,15.0,6532400.0,,,,,
2024-06-28,15.460000038146973,16.05500030517578,14.885000228881836,15.699999809265137,8479300.0,,,,,
2024-07-01,15.100000381469728,15.8100004196167,15.0600004196167,15.25,4835000.0,,,,,
2024-07-02,14.1899995803833,15.640000343322754,14.109999656677246,15.210000038146973,6083400.0,,,,,
2024-07-03,15.279999732971191,15.720000267028809,14.470000267028809,14.489999771118164,6241100.0,,,,,
2024-07-05,16.0,16.190000534057617,15.020000457763672,15.199999809265137,5727600.0,,,,,
