Date,Close,High,Low,Open,Volume,"('Close', 'ADTX')","('High', 'ADTX')","('Low', 'ADTX')","('Open', 'ADTX')","('Volume', 'ADTX')"
2024-06-03,19900.0,20050.0,19500.0,20000.0,1.0,,,,,
2024-06-04,19100.0,19700.0,19100.0,19700.0,2.0,,,,,
2024-06-05,20100.0,20100.0,19500.0,19700.0,5.0,,,,,
2024-06-06,19380.0,20100.0,19260.0,19900.0,1.0,,,,,
2024-06-07,19300.0,19690.0,19100.0,19600.0,2.0,,,,,
2024-06-10,19100.0,19700.0,19100.0,19400.0,1.0,,,,,
2024-06-11,19000.0,19800.0,19000.0,19200.0,10.0,,,,,
2024-06-12,19200.0,19500.0,18800.0,19230.0,3.0,,,,,
2024-06-13,17800.0,19000.0,16500.0,19000.0,6.0,,,,,
2024-06-14,16200.0,17700.0,15600.0,17600.0,8.0,,,,,
2024-06-17,15600.0,16900.0,15600.0,16900.0,4.0,,,,,
2024-06-18,14400.0,15600.0,14400.0,15600.0,6.0,,,,,
2024-06-20,14800.0,15700.0,14400.0,14400.0,8.0,,,,,
2024-06-21,14000.0,15800.0,13500.0,15100.0,4.0,,,,,
2024-06-24,14100.0,14800.0,13810.0,14100.0,1.0,,,,,
2024-06-25,14360.0,15000.0,14100.0,14300.0,2.0,,,,,
2024-06-26,13900.0,14350.0,13700.0,14350.0,3.0,,,,,
2024-06-27,13900.0,14100.0,13700.0,14100.0,3.0,,,,,
2024-06-28,13700.0,14500.0,13600.0,14000.0,2.0,,,,,
2024-07-01,15800.0,16700.0,13780.0,13860.0,29.0,,,,,
2024-07-02,14650.0,15900.0,14500.0,15900.0,1.0,,,,,
2024-07-03,15000.0,15000.0,14600.0,14850.0,1.0,,,,,
2024-07-05,14600.0,15200.0,14500.0,15000.0,1.0,,,,,
2024-07-08,14900.0,15100.0,14710.0,15100.0,1.0,,,,,
2024-07-09,16900.0,18400.0,14700.0,15300.0,28.0,,,,,
2024-07-10,16700.0,17300.0,15900.0,16200.0,7.0,,,,,
2024-07-11,16000.0,16700.0,15320.0,16700.0,3.0,,,,,
2024-07-12,16100.0,16600.0,15400.0,16000.0,2.0,,,,,
2024-07-15,15100.0,16200.0,14500.0,16200.0,4.0,,,,,
2024-07-16,16000.0,16000.0,15100.0,15100.0,3.0,,,,,
2024-07-17,23200.0,27200.0,19800.0,26600.0,3062.0,,,,,
2024-07-18,18800.0,21000.0,18500.0,20400.0,132.0,,,,,
2024-07-19,16000.0,17400.0,15500.0,16600.0,59.0,,,,,
2024-07-22,14000.0,16100.0,13600.0,16100.0,39.0,,,,,
2024-07-23,14800.0,19100.0,13000.0,13900.0,180.0,,,,,
2024-07-24,14100.0,15000.0,13900.0,14800.0,26.0,,,,,
2024-07-25,13800.0,14900.0,13600.0,13600.0,20.0,,,,,
