Date,Close,High,Low,Open,Volume,"('Close', 'AISP')","('High', 'AISP')","('Low', 'AISP')","('Open', 'AISP')","('Volume', 'AISP')"
2024-06-03,3.7899999618530273,4.21999979019165,3.700000047683716,4.179999828338623,427800.0,,,,,
2024-06-04,3.569999933242798,3.809999942779541,3.509999990463257,3.7200000286102295,240300.0,,,,,
2024-06-05,3.400000095367432,3.640000104904175,3.380000114440918,3.5899999141693115,266800.0,,,,,
2024-06-06,3.509999990463257,3.569999933242798,3.380000114440918,3.400000095367432,173000.0,,,,,
2024-06-07,3.470000028610229,3.819999933242798,3.390000104904175,3.390000104904175,322900.0,,,,,
2024-06-10,3.140000104904175,3.400000095367432,3.009999990463257,3.390000104904175,332700.0,,,,,
2024-06-11,4.619999885559082,5.380000114440918,3.640000104904175,3.680000066757202,96582300.0,,,,,
2024-06-12,4.380000114440918,4.599999904632568,4.050000190734863,4.489999771118164,3662700.0,,,,,
2024-06-13,4.019999980926514,4.679999828338623,3.829999923706055,4.340000152587891,2111700.0,,,,,
2024-06-14,3.7699999809265137,3.924999952316284,3.650000095367432,3.900000095367432,715000.0,,,,,
2024-06-17,4.010000228881836,4.139999866485596,3.5899999141693115,3.670000076293945,763600.0,,,,,
2024-06-18,4.670000076293945,4.849999904632568,3.9800000190734863,4.230000019073486,2457000.0,,,,,
2024-06-20,5.269999980926514,5.5,4.28000020980835,4.619999885559082,2252200.0,,,,,
2024-06-21,4.340000152587891,5.349999904632568,4.25,5.300000190734863,1418700.0,,,,,
2024-06-24,3.9700000286102295,4.340000152587891,3.619999885559082,4.340000152587891,1437200.0,,,,,
2024-06-25,3.869999885559082,4.480000019073486,3.829999923706055,4.150000095367432,732900.0,,,,,
2024-06-26,3.4100000858306885,3.920000076293945,3.319999933242798,3.910000085830689,1044400.0,,,,,
2024-06-27,3.3399999141693115,3.4800000190734863,3.2699999809265137,3.4200000762939453,544600.0,,,,,
2024-06-28,3.5899999141693115,3.5999999046325684,3.289999961853028,3.3299999237060547,1258000.0,,,,,
2024-07-01,3.7899999618530273,3.829999923706055,3.4200000762939453,3.559999942779541,661100.0,,,,,
2024-07-02,3.7300000190734863,3.809999942779541,3.670000076293945,3.809999942779541,342900.0,,,,,
2024-07-03,3.7799999713897705,3.819999933242798,3.619999885559082,3.7899999618530273,353000.0,,,,,
2024-07-05,3.7799999713897705,3.819999933242798,3.5199999809265137,3.809999942779541,540900.0,,,,,
2024-07-08,3.910000085830689,3.940000057220459,3.5,3.650000095367432,550400.0,,,,,
2024-07-09,3.9600000381469727,4.309999942779541,3.7200000286102295,3.839999914169312,960300.0,,,,,
2024-07-10,3.740000009536743,4.119999885559082,3.680000066757202,3.9800000190734863,475600.0,,,,,
2024-07-11,3.799999952316284,3.9600000381469727,3.7200000286102295,3.7899999618530273,438400.0,,,,,
2024-07-12,3.7899999618530273,3.9600000381469727,3.7699999809265137,3.809999942779541,418800.0,,,,,
2024-07-15,3.950000047683716,4.026000022888184,3.839999914169312,3.839999914169312,350200.0,,,,,
2024-07-16,4.230000019073486,4.25,3.849999904632568,3.950000047683716,340300.0,,,,,
2024-07-17,4.050000190734863,4.189000129699707,3.900000095367432,4.150000095367432,329800.0,,,,,
