Date,Close,High,Low,Open,Volume,"('Close', 'KZIA')","('High', 'KZIA')","('Low', 'KZIA')","('Open', 'KZIA')","('Volume', 'KZIA')"
2024-07-18,29.5,33.0,29.5,31.0,84734.0,,,,,
2024-07-19,26.5,30.5,25.5,30.5,71158.0,,,,,
2024-07-22,23.0,28.5,23.0,28.5,90062.0,,,,,
2024-07-23,19.0,23.0,19.0,22.5,87376.0,,,,,
2024-07-24,18.0,20.5,17.5,18.5,44414.0,,,,,
2024-07-25,21.0,21.5,17.0,18.5,52168.0,,,,,
2024-07-26,20.0,21.5,19.5,21.0,24852.0,,,,,
2024-07-29,20.0,21.0,19.0,20.0,17698.0,,,,,
2024-07-30,19.0,19.5,17.5,19.0,14552.0,,,,,
2024-07-31,18.5,19.0,18.0,18.5,15710.0,,,,,
2024-08-01,17.5,19.0,17.0,18.0,12442.0,,,,,
2024-08-02,16.0,17.5,15.5,17.5,20298.0,,,,,
2024-08-05,16.0,16.5,15.0,15.0,8790.0,,,,,
2024-08-06,16.0,17.5,16.0,16.5,9462.0,,,,,
2024-08-07,17.5,17.5,16.0,16.0,10302.0,,,,,
2024-08-08,19.5,21.5,17.0,17.0,33302.0,,,,,
2024-08-09,21.5,23.0,20.0,20.5,28116.0,,,,,
2024-08-12,20.5,23.0,20.0,22.0,13624.0,,,,,
2024-08-13,20.0,21.0,19.0,20.5,21024.0,,,,,
2024-08-14,18.0,20.0,17.5,20.0,11238.0,,,,,
2024-08-15,19.5,19.5,18.5,18.5,4668.0,,,,,
2024-08-16,20.0,21.0,19.0,20.5,10158.0,,,,,
2024-08-19,19.0,20.5,18.5,20.0,12622.0,,,,,
2024-08-20,18.5,19.0,18.0,18.5,5048.0,,,,,
2024-08-21,18.5,19.0,17.5,18.5,6836.0,,,,,
2024-08-22,17.5,18.5,17.0,18.5,7750.0,,,,,
2024-08-23,18.0,18.5,17.0,17.5,4846.0,,,,,
2024-08-26,18.0,18.5,17.5,18.0,7672.0,,,,,
2024-08-27,22.0,22.5,17.0,18.5,53642.0,,,,,
2024-08-28,19.5,21.5,19.0,20.5,14928.0,,,,,
2024-08-29,19.5,20.0,18.5,19.5,3906.0,,,,,
2024-08-30,21.0,22.0,19.0,19.5,24404.0,,,,,
2024-09-03,19.0,22.5,18.0,20.5,15128.0,,,,,
2024-09-04,19.0,20.5,19.0,19.0,4318.0,,,,,
2024-09-05,20.5,20.5,18.0,19.5,7074.0,,,,,
2024-09-06,18.5,20.0,18.5,19.5,9916.0,,,,,
2024-09-09,19.0,19.5,18.5,18.5,2436.0,,,,,
2024-09-10,18.5,19.0,18.5,19.0,3722.0,,,,,
2024-09-11,18.5,19.0,17.5,18.5,4908.0,,,,,
2024-09-12,17.5,19.0,16.0,18.5,434444.0,,,,,
2024-09-13,17.0,18.0,16.0,16.5,28892.0,,,,,
2024-09-16,17.0,17.5,16.5,17.5,11536.0,,,,,
2024-09-17,16.0,17.0,16.0,17.0,18592.0,,,,,
2024-09-18,17.0,17.5,15.5,16.5,10946.0,,,,,
2024-09-19,16.5,17.0,16.0,16.5,9152.0,,,,,
2024-09-20,16.0,16.5,16.0,16.5,4190.0,,,,,
2024-09-23,16.5,16.5,15.5,16.0,6562.0,,,,,
2024-09-24,16.5,16.5,16.0,16.5,4856.0,,,,,
2024-09-25,16.5,17.0,15.5,16.5,10474.0,,,,,
2024-09-26,18.0,18.5,17.0,17.5,16698.0,,,,,
2024-09-27,19.5,20.0,18.0,18.5,16466.0,,,,,
2024-09-30,21.5,22.5,19.5,20.0,24022.0,,,,,
2024-10-01,21.5,22.0,20.0,21.5,12688.0,,,,,
2024-10-02,22.0,25.5,21.5,22.5,35580.0,,,,,
2024-10-03,21.5,22.0,19.0,21.5,8950.0,,,,,
2024-10-04,22.0,23.0,21.5,21.5,7268.0,,,,,
2024-10-07,21.0,22.0,20.5,22.0,7160.0,,,,,
2024-10-08,21.5,21.5,20.0,20.5,3288.0,,,,,
2024-10-09,20.0,20.5,19.5,20.5,6506.0,,,,,
2024-10-10,20.0,20.0,19.5,20.0,3382.0,,,,,
2024-10-11,20.5,20.5,19.5,20.0,2966.0,,,,,
2024-10-14,20.0,20.5,20.0,20.5,2946.0,,,,,
2024-10-15,16.5,20.5,16.5,20.0,28190.0,,,,,
2024-10-16,16.5,17.0,16.5,17.0,9314.0,,,,,
2024-10-17,26.5,28.0,18.5,18.5,341226.0,,,,,
2024-10-18,25.0,28.5,23.5,24.5,57230.0,,,,,
2024-10-21,28.0,32.5,25.5,26.0,67092.0,,,,,
2024-10-22,28.5,29.0,26.5,29.0,13686.0,,,,,
2024-10-23,29.0,31.5,28.0,29.0,15814.0,,,,,
2024-10-24,26.5,29.0,26.0,28.5,16086.0,,,,,
2024-10-25,26.0,27.0,25.5,26.5,9066.0,,,,,
2024-10-28,23.299999237060547,26.049999237060547,22.399999618530277,23.399999618530277,49900.0,,,,,
2024-10-29,26.950000762939453,27.799999237060547,23.5,23.549999237060547,36280.0,,,,,
2024-10-30,28.399999618530277,28.899999618530277,25.799999237060547,25.799999237060547,26200.0,,,,,
2024-10-31,27.0,28.5,26.75,27.649999618530277,8040.0,,,,,
2024-11-01,27.600000381469727,28.799999237060547,27.0,27.0,7300.0,,,,,
2024-11-04,32.900001525878906,39.04999923706055,28.25,28.25,112880.0,,,,,
2024-11-05,30.649999618530277,36.29999923706055,30.049999237060547,31.899999618530277,44480.0,,,,,
2024-11-06,32.0,34.79999923706055,31.0,31.399999618530277,41120.0,,,,,
2024-11-07,29.299999237060547,32.5,28.549999237060547,31.799999237060547,16100.0,,,,,
2024-11-08,28.700000762939453,30.049999237060547,28.149999618530277,29.899999618530277,11760.0,,,,,
2024-11-11,33.900001525878906,34.25,28.75,28.75,15380.0,,,,,
2024-11-12,31.950000762939453,34.400001525878906,31.75,33.45000076293945,16280.0,,,,,
2024-11-13,28.5,31.950000762939453,27.549999237060547,31.950000762939453,20280.0,,,,,
2024-11-14,26.350000381469727,28.5,26.049999237060547,28.0,8680.0,,,,,
2024-11-15,22.850000381469727,27.049999237060547,21.5,26.350000381469727,19800.0,,,,,
2024-11-18,25.399999618530277,27.450000762939453,22.299999237060547,22.5,9580.0,,,,,
2024-11-19,28.549999237060547,29.350000381469727,25.0,25.25,14580.0,,,,,
2024-11-20,28.049999237060547,30.049999237060547,27.5,28.350000381469727,8340.0,,,,,
2024-11-21,27.649999618530277,29.350000381469727,26.850000381469727,28.149999618530277,3600.0,,,,,
2024-11-22,28.799999237060547,29.850000381469727,27.850000381469727,28.200000762939453,10580.0,,,,,
2024-11-25,27.450000762939453,29.299999237060547,27.0,28.799999237060547,5540.0,,,,,
2024-11-26,27.899999618530277,28.25,27.0,27.399999618530277,5620.0,,,,,
2024-11-27,27.299999237060547,29.0,27.0,27.700000762939453,5200.0,,,,,
2024-11-29,25.850000381469727,28.75,25.799999237060547,28.100000381469727,6240.0,,,,,
2024-12-02,25.0,26.299999237060547,23.0,25.850000381469727,28220.0,,,,,
2024-12-03,24.700000762939453,26.0,23.899999618530277,25.0,6440.0,,,,,
2024-12-04,22.649999618530277,25.399999618530277,22.600000381469727,24.700000762939453,9420.0,,,,,
2024-12-05,22.399999618530277,23.600000381469727,21.0,22.5,15180.0,,,,,
2024-12-06,21.899999618530277,23.25,20.5,22.299999237060547,27100.0,,,,,
2024-12-09,18.5,22.600000381469727,18.350000381469727,21.399999618530277,28520.0,,,,,
2024-12-10,17.950000762939453,20.5,17.149999618530273,19.399999618530277,29720.0,,,,,
2024-12-11,18.350000381469727,18.75,16.049999237060547,18.200000762939453,15680.0,,,,,
2024-12-12,18.350000381469727,19.049999237060547,17.549999237060547,18.0,6160.0,,,,,
2024-12-13,17.75,19.149999618530277,16.75,18.549999237060547,8820.0,,,,,
2024-12-16,16.649999618530273,21.0,16.450000762939453,17.700000762939453,38080.0,,,,,
2024-12-17,17.0,18.200000762939453,15.0,18.200000762939453,26720.0,,,,,
2024-12-18,14.25,16.850000381469727,13.899999618530272,16.75,28320.0,,,,,
2024-12-19,15.149999618530272,16.299999237060547,14.350000381469728,14.899999618530272,29800.0,,,,,
2024-12-20,15.100000381469728,15.800000190734863,14.449999809265137,15.550000190734863,11940.0,,,,,
2024-12-23,14.850000381469728,15.699999809265137,14.800000190734863,14.800000190734863,4380.0,,,,,
2024-12-24,14.550000190734863,15.0,14.550000190734863,14.649999618530272,3320.0,,,,,
2024-12-26,15.100000381469728,16.0,14.25,14.75,8500.0,,,,,
2024-12-27,15.350000381469728,15.850000381469728,14.800000190734863,15.149999618530272,6740.0,,,,,
2024-12-30,15.5,15.850000381469728,14.850000381469728,15.0,7000.0,,,,,
2024-12-31,8.850000381469727,14.649999618530272,8.75,14.25,141800.0,,,,,
2025-01-02,8.75,9.699999809265137,8.5,8.850000381469727,48240.0,,,,,
2025-01-03,9.0,9.199999809265137,8.399999618530273,8.75,43640.0,,,,,
2025-01-06,9.0,9.300000190734863,8.800000190734863,9.25,21780.0,,,,,
2025-01-07,8.75,9.449999809265137,8.550000190734863,9.050000190734863,13000.0,,,,,
2025-01-08,8.449999809265137,9.199999809265137,8.199999809265137,9.199999809265137,13000.0,,,,,
2025-01-10,7.900000095367432,8.300000190734863,7.099999904632568,8.149999618530273,30880.0,,,,,
2025-01-13,7.550000190734863,8.0,7.25,7.900000095367432,16460.0,,,,,
2025-01-14,7.650000095367432,7.949999809265137,7.349999904632568,7.550000190734863,8420.0,,,,,
2025-01-15,7.75,7.900000095367432,7.25,7.699999809265137,10280.0,,,,,
2025-01-16,7.300000190734863,7.900000095367432,7.25,7.900000095367432,9860.0,,,,,
2025-01-17,7.099999904632568,7.599999904632568,6.949999809265137,7.5,7340.0,,,,,
2025-01-21,7.199999809265137,7.5,6.949999809265137,7.5,7240.0,,,,,
2025-01-22,6.849999904632568,7.25,6.75,7.099999904632568,14940.0,,,,,
2025-01-23,7.349999904632568,7.349999904632568,6.599999904632568,7.0,11380.0,,,,,
2025-01-24,8.5,8.649999618530273,7.199999809265137,7.199999809265137,23380.0,,,,,
2025-01-27,7.75,8.649999618530273,7.5,8.449999809265137,13720.0,,,,,
2025-01-28,6.949999809265137,8.050000190734863,6.849999904632568,7.849999904632568,13820.0,,,,,
2025-01-29,6.900000095367432,8.399999618530273,6.699999809265137,7.150000095367432,17060.0,,,,,
2025-01-30,9.5,13.199999809265137,8.649999618530273,10.800000190734863,20794540.0,,,,,
2025-01-31,7.900000095367432,8.550000190734863,7.150000095367432,8.449999809265137,439880.0,,,,,
2025-02-03,7.449999809265137,7.800000190734863,7.050000190734863,7.25,96760.0,,,,,
2025-02-04,7.0,7.400000095367432,6.949999809265137,7.25,56880.0,,,,,
2025-02-05,7.0,7.349999904632568,6.550000190734863,6.949999809265137,92240.0,,,,,
2025-02-06,7.5,8.0,7.099999904632568,7.25,85660.0,,,,,
2025-02-07,6.300000190734863,7.5,6.25,7.5,92280.0,,,,,
2025-02-10,5.400000095367432,6.849999904632568,5.349999904632568,6.300000190734863,107700.0,,,,,
2025-02-11,5.050000190734863,5.699999809265137,4.949999809265137,5.5,52260.0,,,,,
2025-02-12,4.900000095367432,5.25,4.5,5.0,48240.0,,,,,
2025-02-13,4.699999809265137,5.050000190734863,4.599999904632568,5.0,37560.0,,,,,
2025-02-14,4.449999809265137,4.949999809265137,4.449999809265137,4.75,37340.0,,,,,
2025-02-18,4.5,4.800000190734863,4.349999904632568,4.650000095367432,25120.0,,,,,
2025-02-19,4.449999809265137,4.75,4.25,4.699999809265137,49260.0,,,,,
2025-02-20,4.400000095367432,4.599999904632568,4.25,4.599999904632568,46520.0,,,,,
2025-02-21,4.400000095367432,4.5,4.25,4.349999904632568,24260.0,,,,,
2025-02-24,4.349999904632568,4.550000190734863,4.25,4.550000190734863,21620.0,,,,,
2025-02-25,4.099999904632568,4.449999809265137,3.900000095367432,4.349999904632568,25420.0,,,,,
2025-02-26,4.349999904632568,4.349999904632568,4.0,4.050000190734863,19780.0,,,,,
2025-02-27,4.199999809265137,4.300000190734863,4.150000095367432,4.300000190734863,13820.0,,,,,
2025-02-28,4.25,4.400000095367432,4.0,4.0,9660.0,,,,,
2025-03-03,4.050000190734863,4.400000095367432,4.0,4.400000095367432,4160.0,,,,,
2025-03-04,3.799999952316284,4.150000095367432,3.799999952316284,3.900000095367432,18560.0,,,,,
2025-03-05,3.950000047683716,4.050000190734863,3.799999952316284,4.050000190734863,17360.0,,,,,
2025-03-06,4.25,4.25,3.950000047683716,3.950000047683716,16460.0,,,,,
2025-03-07,5.900000095367432,7.199999809265137,4.0,4.050000190734863,900900.0,,,,,
2025-03-10,4.75,5.949999809265137,4.5,5.949999809265137,175660.0,,,,,
2025-03-11,4.5,4.900000095367432,4.449999809265137,4.800000190734863,50500.0,,,,,
2025-03-12,4.900000095367432,4.949999809265137,4.300000190734863,4.449999809265137,42340.0,,,,,
2025-03-13,4.800000190734863,4.849999904632568,4.599999904632568,4.800000190734863,5680.0,,,,,
2025-03-14,5.0,5.150000095367432,4.550000190734863,4.550000190734863,10700.0,,,,,
2025-03-17,5.0,5.349999904632568,4.800000190734863,5.150000095367432,13260.0,,,,,
2025-03-18,4.800000190734863,5.050000190734863,4.699999809265137,5.050000190734863,6300.0,,,,,
2025-03-19,4.849999904632568,4.900000095367432,4.699999809265137,4.75,4180.0,,,,,
2025-03-20,4.900000095367432,5.0,4.449999809265137,4.75,19000.0,,,,,
2025-03-21,4.900000095367432,5.150000095367432,4.75,5.150000095367432,11100.0,,,,,
2025-03-24,4.75,5.150000095367432,4.550000190734863,5.099999904632568,7180.0,,,,,
2025-03-25,4.949999809265137,5.150000095367432,4.75,5.150000095367432,16940.0,,,,,
2025-03-26,4.949999809265137,5.25,4.800000190734863,5.25,9120.0,,,,,
2025-03-27,4.75,4.849999904632568,4.650000095367432,4.650000095367432,4560.0,,,,,
2025-03-28,4.400000095367432,4.75,4.400000095367432,4.75,13980.0,,,,,
2025-03-31,3.900000095367432,4.449999809265137,3.900000095367432,4.400000095367432,22180.0,,,,,
2025-04-01,4.0,4.150000095367432,3.849999904632568,3.900000095367432,9280.0,,,,,
2025-04-02,4.0,4.150000095367432,3.799999952316284,3.950000047683716,6060.0,,,,,
2025-04-03,3.950000047683716,4.150000095367432,3.849999904632568,4.0,9960.0,,,,,
2025-04-04,3.549999952316284,3.849999904632568,3.25,3.849999904632568,20540.0,,,,,
2025-04-07,3.549999952316284,3.5999999046325684,3.200000047683716,3.25,15000.0,,,,,
2025-04-08,3.450000047683716,3.900000095367432,3.3499999046325684,3.400000095367432,14020.0,,,,,
2025-04-09,3.450000047683716,3.75,3.299999952316284,3.450000047683716,15280.0,,,,,
2025-04-10,3.650000095367432,3.700000047683716,3.450000047683716,3.549999952316284,12980.0,,,,,
2025-04-11,3.849999904632568,3.849999904632568,3.5999999046325684,3.75,6540.0,,,,,
2025-04-14,3.950000047683716,3.950000047683716,3.799999952316284,3.799999952316284,4780.0,,,,,
2025-04-15,3.650000095367432,3.900000095367432,3.400000095367432,3.900000095367432,15880.0,,,,,
2025-04-16,3.549999952316284,3.549999952316284,3.0,3.5,14560.0,,,,,
2025-04-17,3.299999952316284,4.159999847412109,2.859999895095825,3.4100000858306885,196400.0,,,,,
2025-04-21,3.0899999141693115,3.25,2.900000095367432,3.25,31000.0,,,,,
2025-04-22,3.440000057220459,3.5799999237060547,3.0,3.0,51300.0,,,,,
2025-04-23,3.3299999237060547,3.7699999809265137,3.220000028610229,3.4600000381469727,57400.0,,,,,
2025-04-24,3.4200000762939453,3.4200000762939453,3.0999999046325684,3.2799999713897705,33100.0,,,,,
2025-04-25,3.640000104904175,3.880000114440918,3.0999999046325684,3.390000104904175,87700.0,,,,,
2025-04-28,3.559999942779541,3.799999952316284,3.390000104904175,3.670000076293945,50600.0,,,,,
2025-04-29,3.470000028610229,3.5299999713897705,3.4200000762939453,3.4200000762939453,9400.0,,,,,
2025-04-30,3.5899999141693115,3.7699999809265137,3.259999990463257,3.2799999713897705,66800.0,,,,,
2025-05-01,3.930000066757202,3.940000057220459,3.690000057220459,3.690000057220459,68000.0,,,,,
2025-05-02,3.819999933242798,4.28000020980835,3.7699999809265137,3.7699999809265137,48400.0,,,,,
2025-05-05,3.559999942779541,3.9800000190734863,3.509999990463257,3.7100000381469727,40700.0,,,,,
2025-05-06,3.220000028610229,3.759999990463257,3.0999999046325684,3.490000009536743,20600.0,,,,,
2025-05-07,3.140000104904175,3.4200000762939453,3.109999895095825,3.2300000190734863,25800.0,,,,,
2025-05-08,3.259999990463257,3.5,3.049999952316284,3.0899999141693115,51700.0,,,,,
2025-05-09,3.619999885559082,3.799999952316284,3.190000057220459,3.190000057220459,61600.0,,,,,
2025-05-12,3.559999942779541,3.609999895095825,3.450000047683716,3.569999933242798,10600.0,,,,,
2025-05-13,3.5999999046325684,3.640000104904175,3.569999933242798,3.569999933242798,6300.0,,,,,
2025-05-14,3.640000104904175,3.839999914169312,3.539999961853028,3.549999952316284,3400.0,,,,,
2025-05-15,3.400000095367432,3.5999999046325684,3.220000028610229,3.5999999046325684,25100.0,,,,,
2025-05-16,3.5899999141693115,3.5899999141693115,3.450000047683716,3.450000047683716,8600.0,,,,,
2025-05-19,3.640000104904175,3.670000076293945,3.4600000381469727,3.5999999046325684,23800.0,,,,,
2025-05-20,3.539999961853028,3.650000095367432,3.240000009536743,3.240000009536743,8200.0,,,,,
2025-05-21,3.450000047683716,3.5299999713897705,3.319999933242798,3.400000095367432,9700.0,,,,,
2025-05-22,3.490000009536743,3.700000047683716,3.299999952316284,3.440000057220459,14800.0,,,,,
2025-05-23,3.5799999237060547,3.640000104904175,3.299999952316284,3.380000114440918,12100.0,,,,,
2025-05-27,3.740000009536743,3.75,3.4100000858306885,3.5999999046325684,8300.0,,,,,
2025-05-28,3.559999942779541,3.700000047683716,3.490000009536743,3.5799999237060547,7900.0,,,,,
2025-05-29,3.7799999713897705,3.799999952316284,3.549999952316284,3.549999952316284,10100.0,,,,,
2025-05-30,3.799999952316284,4.0,3.559999942779541,3.7699999809265137,13900.0,,,,,
2025-06-02,3.7799999713897705,3.7799999713897705,3.539999961853028,3.75,9300.0,,,,,
2025-06-03,4.789999961853027,5.349999904632568,3.75,3.75,134100.0,,,,,
2025-06-04,5.360000133514404,5.5,4.650000095367432,4.820000171661377,51700.0,,,,,
2025-06-05,5.349999904632568,5.849999904632568,4.949999809265137,5.550000190734863,37700.0,,,,,
2025-06-06,5.650000095367432,6.039999961853027,5.460000038146973,5.679999828338623,32900.0,,,,,
2025-06-09,5.300000190734863,6.110000133514404,5.300000190734863,5.420000076293945,136200.0,,,,,
2025-06-10,5.260000228881836,5.5,5.03000020980835,5.5,13000.0,,,,,
2025-06-11,9.539999961853027,12.859999656677246,8.699999809265137,10.5,49671800.0,,,,,
2025-06-12,9.789999961853027,10.050000190734863,8.600000381469727,9.0,946800.0,,,,,
2025-06-13,9.300000190734863,10.18000030517578,9.0,9.260000228881836,381400.0,,,,,
2025-06-16,9.050000190734863,10.0,8.829999923706055,9.25,256800.0,,,,,
2025-06-17,9.329999923706056,9.5,8.819999694824219,8.880000114440918,135400.0,,,,,
2025-06-18,8.90999984741211,9.4399995803833,8.899999618530273,8.989999771118164,99700.0,,,,,
2025-06-20,9.149999618530272,9.600000381469728,8.829999923706055,8.829999923706055,147600.0,,,,,
2025-06-23,6.769999980926514,9.300000190734863,6.610000133514404,9.050000190734863,250500.0,,,,,
2025-06-24,6.110000133514404,7.289999961853027,5.829999923706055,6.769999980926514,108700.0,,,,,
2025-06-25,6.590000152587891,6.869999885559082,6.079999923706055,6.079999923706055,42100.0,,,,,
2025-06-26,6.53000020980835,6.590000152587891,6.309999942779541,6.579999923706055,13700.0,,,,,
2025-06-27,6.340000152587891,6.53000020980835,6.0,6.53000020980835,60200.0,,,,,
2025-06-30,6.269999980926514,6.369999885559082,5.980000019073486,6.199999809265137,29400.0,,,,,
2025-07-01,6.630000114440918,6.650000095367432,6.010000228881836,6.110000133514404,31100.0,,,,,
2025-07-02,6.579999923706055,6.599999904632568,6.119999885559082,6.429999828338623,11700.0,,,,,
2025-07-03,6.75,7.199999809265137,6.360000133514404,6.480000019073486,294300.0,,,,,
2025-07-07,6.550000190734863,7.010000228881836,6.5,6.699999809265137,272100.0,,,,,
2025-07-08,6.829999923706055,7.170000076293945,5.860000133514404,5.980000019073486,322700.0,,,,,
2025-07-09,9.529999732971191,10.789999961853027,7.800000190734863,9.800000190734863,10698200.0,,,,,
2025-07-10,10.359999656677246,11.34000015258789,8.699999809265137,8.899999618530273,764000.0,,,,,
2025-07-11,10.800000190734863,10.800000190734863,10.010000228881836,10.15999984741211,119400.0,,,,,
2025-07-14,11.43000030517578,12.0,10.119999885559082,10.239999771118164,153400.0,,,,,
2025-07-15,10.800000190734863,11.43000030517578,10.109999656677246,11.43000030517578,50500.0,,,,,
2025-07-16,10.1899995803833,10.800000190734863,9.59000015258789,10.789999961853027,42800.0,,,,,
2025-07-17,10.270000457763672,10.420000076293944,9.720000267028809,10.18000030517578,18600.0,,,,,
2025-07-18,10.149999618530272,10.229999542236328,9.260000228881836,10.0,49000.0,,,,,
2025-07-21,8.970000267028809,10.039999961853027,8.699999809265137,10.0,50600.0,,,,,
2025-07-22,9.859999656677246,10.0,8.65999984741211,8.890000343322754,79200.0,,,,,
2025-07-23,10.279999732971191,10.369999885559082,9.850000381469728,9.9399995803833,36000.0,,,,,
2025-07-24,9.960000038146973,10.3100004196167,9.890000343322754,10.260000228881836,23000.0,,,,,
2025-07-25,9.81999969482422,9.949999809265137,9.720000267028809,9.899999618530272,10400.0,,,,,
2025-07-28,8.569999694824219,10.079999923706056,8.40999984741211,9.210000038146973,71100.0,,,,,
2025-07-29,8.619999885559082,8.850000381469727,8.399999618530273,8.5600004196167,15700.0,,,,,
2025-07-30,8.470000267028809,8.800000190734863,8.300000190734863,8.800000190734863,12300.0,,,,,
2025-07-31,8.380000114440918,8.649999618530273,8.109999656677246,8.210000038146973,27400.0,,,,,
2025-08-01,8.180000305175781,8.399999618530273,7.400000095367432,8.399999618530273,936500.0,,,,,
2025-08-04,8.34000015258789,8.65999984741211,7.849999904632568,7.900000095367432,26100.0,,,,,
2025-08-05,8.680000305175781,8.680000305175781,8.210000038146973,8.479999542236328,10600.0,,,,,
2025-08-06,8.670000076293945,8.989999771118164,8.420000076293945,8.819999694824219,23100.0,,,,,
2025-08-07,8.239999771118164,8.739999771118164,8.239999771118164,8.739999771118164,12800.0,,,,,
2025-08-08,8.119999885559082,8.460000038146973,7.860000133514404,8.170000076293945,9900.0,,,,,
2025-08-11,8.170000076293945,8.300000190734863,7.579999923706055,8.069999694824219,24900.0,,,,,
2025-08-12,8.5,8.520000457763672,7.800000190734863,7.980000019073486,16800.0,,,,,
2025-08-13,8.329999923706055,8.880000114440918,8.279999732971191,8.289999961853027,10600.0,,,,,
2025-08-14,8.270000457763672,8.329999923706055,8.010000228881836,8.020000457763672,6400.0,,,,,
2025-08-15,8.039999961853027,8.1899995803833,7.800000190734863,7.880000114440918,10300.0,,,,,
2025-08-18,7.420000076293945,8.0,7.239999771118164,7.909999847412109,31900.0,,,,,
2025-08-19,7.300000190734863,7.699999809265137,7.300000190734863,7.659999847412109,16300.0,,,,,
2025-08-20,7.0,7.570000171661377,6.21999979019165,7.340000152587891,49500.0,,,,,
2025-08-21,7.300000190734863,7.699999809265137,7.150000095367432,7.159999847412109,17200.0,,,,,
2025-08-22,7.710000038146973,7.710000038146973,7.309999942779541,7.380000114440918,4300.0,,,,,
2025-08-25,7.5,7.769999980926514,7.150000095367432,7.599999904632568,5400.0,,,,,
2025-08-26,8.079999923706055,8.899999618530273,7.510000228881836,7.510000228881836,36300.0,,,,,
2025-08-27,7.809999942779541,8.069999694824219,7.539999961853027,8.0600004196167,12600.0,,,,,
2025-08-28,7.730000019073486,8.199999809265137,7.650000095367432,8.029999732971191,17300.0,,,,,
2025-08-29,8.069999694824219,8.329999923706055,7.920000076293945,7.920000076293945,4700.0,,,,,
2025-09-02,7.789999961853027,8.300000190734863,7.519999980926514,7.71999979019165,72900.0,,,,,
2025-09-03,8.029999732971191,8.390000343322754,7.889999866485596,7.900000095367432,9200.0,,,,,
2025-09-04,8.09000015258789,8.279999732971191,7.690000057220459,8.069999694824219,16300.0,,,,,
2025-09-05,7.760000228881836,8.039999961853027,7.710000038146973,7.710000038146973,7400.0,,,,,
2025-09-08,8.100000381469727,8.100000381469727,7.829999923706055,8.0,3300.0,,,,,
2025-09-09,8.050000190734863,8.050000190734863,7.829999923706055,7.840000152587891,5600.0,,,,,
2025-09-10,8.25,8.25,7.920000076293945,7.949999809265137,3900.0,,,,,
2025-09-11,8.149999618530273,8.880000114440918,7.599999904632568,8.40999984741211,2337400.0,,,,,
2025-09-12,8.0,8.279999732971191,7.78000020980835,8.0,85000.0,,,,,
2025-09-15,7.989999771118164,8.25,7.599999904632568,7.599999904632568,33300.0,,,,,
2025-09-16,8.010000228881836,8.279999732971191,7.769999980926514,7.900000095367432,16400.0,,,,,
2025-09-17,7.940000057220459,8.1899995803833,7.900000095367432,8.0,15600.0,,,,,
2025-09-18,7.730000019073486,8.010000228881836,7.699999809265137,7.849999904632568,16000.0,,,,,
2025-09-19,7.760000228881836,8.050000190734863,7.599999904632568,7.96999979019165,14000.0,,,,,
