Date,Close,High,Low,Open,Volume,"('Close', 'KZIA')","('High', 'KZIA')","('Low', 'KZIA')","('Open', 'KZIA')","('Volume', 'KZIA')"
2024-05-28,13.5,14.5,13.0,14.0,3744.0,,,,,
2024-05-29,12.0,14.0,10.0,13.5,6216.0,,,,,
2024-05-30,12.5,13.0,12.0,12.0,2272.0,,,,,
2024-05-31,13.0,14.0,12.0,12.5,3752.0,,,,,
2024-06-03,13.5,13.5,12.5,13.0,1202.0,,,,,
2024-06-04,12.5,13.0,12.0,13.0,1608.0,,,,,
2024-06-05,13.5,13.5,12.5,12.5,942.0,,,,,
2024-06-06,12.5,13.5,12.0,13.5,3516.0,,,,,
2024-06-07,12.5,13.0,12.0,12.5,1636.0,,,,,
2024-06-10,13.5,13.5,12.5,13.0,1432.0,,,,,
2024-06-11,13.0,13.5,12.5,13.0,340.0,,,,,
2024-06-12,12.5,13.0,12.0,13.0,2764.0,,,,,
2024-06-13,12.0,13.0,12.0,13.0,1874.0,,,,,
2024-06-14,11.5,13.0,9.5,13.0,10168.0,,,,,
2024-06-17,11.5,12.5,11.5,11.5,4136.0,,,,,
2024-06-18,12.0,13.0,11.5,12.5,6274.0,,,,,
2024-06-20,13.5,14.0,12.0,12.5,3156.0,,,,,
2024-06-21,13.5,13.5,12.5,12.5,1302.0,,,,,
2024-06-24,11.5,14.0,11.0,13.5,8256.0,,,,,
2024-06-25,10.0,11.5,10.0,11.5,11466.0,,,,,
2024-06-26,10.5,11.5,10.0,10.5,7526.0,,,,,
2024-06-27,11.0,12.0,10.5,12.0,5680.0,,,,,
2024-06-28,11.5,12.0,11.0,11.5,3042.0,,,,,
2024-07-01,11.0,12.0,11.0,12.0,2940.0,,,,,
2024-07-02,10.5,11.5,10.5,11.0,2920.0,,,,,
2024-07-03,10.5,11.0,10.0,10.5,1782.0,,,,,
2024-07-05,10.0,11.0,9.5,10.5,7036.0,,,,,
2024-07-08,10.0,10.5,10.0,10.0,4120.0,,,,,
2024-07-09,9.5,10.5,9.5,10.0,2108.0,,,,,
2024-07-10,33.5,54.0,13.5,15.0,9004864.0,,,,,
2024-07-11,62.0,79.0,45.5,51.5,4534866.0,,,,,
2024-07-12,45.0,55.5,43.0,53.5,512368.0,,,,,
2024-07-15,28.0,41.0,27.5,37.5,306892.0,,,,,
2024-07-16,28.5,34.0,27.5,30.0,497936.0,,,,,
2024-07-17,33.0,39.0,27.0,28.0,480062.0,,,,,
