Date,Close,High,Low,Open,Volume,"('Close', 'DHY')","('High', 'DHY')","('Low', 'DHY')","('Open', 'DHY')","('Volume', 'DHY')"
2024-06-03,1.811284422874451,1.811284422874451,1.793699153497646,1.793699153497646,221800.0,,,,,
2024-06-04,1.811284422874451,1.811284422874451,1.8024917881860485,1.811284422874451,173200.0,,,,,
2024-06-05,1.8024919033050537,1.811284538555012,1.8024919033050537,1.811284538555012,288100.0,,,,,
2024-06-06,1.8024919033050537,1.811284538555012,1.7936992680550958,1.811284538555012,162000.0,,,,,
2024-06-07,1.8024919033050537,1.8024919033050537,1.7936992680550958,1.8024919033050537,188800.0,,,,,
2024-06-10,1.811284422874451,1.811284422874451,1.8024917881860485,1.8024917881860485,114200.0,,,,,
2024-06-11,1.811284422874451,1.811284422874451,1.8024917881860485,1.8024917881860485,176900.0,,,,,
2024-06-12,1.820076823234558,1.820076823234558,1.8112841896781755,1.8112841896781755,185900.0,,,,,
2024-06-13,1.820076823234558,1.820076823234558,1.802491556121793,1.820076823234558,297600.0,,,,,
2024-06-14,1.811284422874451,1.820077057562853,1.8024917881860485,1.820077057562853,129500.0,,,,,
2024-06-17,1.811284422874451,1.811284422874451,1.8024917881860485,1.811284422874451,165000.0,,,,,
2024-06-18,1.816601514816284,1.816601514816284,1.8077400522571387,1.8077400522571387,235200.0,,,,,
2024-06-20,1.816601514816284,1.8254629773754296,1.8077400522571387,1.816601514816284,361100.0,,,,,
2024-06-21,1.816601514816284,1.8254629773754296,1.7900171271388476,1.816601514816284,398500.0,,,,,
2024-06-24,1.8343238830566408,1.8343238830566408,1.8077395034498915,1.8077395034498915,308700.0,,,,,
2024-06-25,1.8343238830566408,1.8609082626633895,1.816600963318808,1.8343238830566408,375400.0,,,,,
2024-06-26,1.816601514816284,1.8431859024937205,1.816601514816284,1.834324439934575,238000.0,,,,,
2024-06-27,1.8254625797271729,1.8343240403559888,1.8166011190983569,1.8166011190983569,186600.0,,,,,
2024-06-28,1.7900168895721436,1.8343241964875123,1.7900168895721436,1.8254627351044388,496400.0,,,,,
2024-07-01,1.8254625797271729,1.8343240403559888,1.807739658469541,1.807739658469541,236400.0,,,,,
2024-07-02,1.8343238830566408,1.8343238830566408,1.8254624231877243,1.8343238830566408,175200.0,,,,,
2024-07-03,1.8343238830566408,1.8431853429255567,1.8254624231877243,1.8431853429255567,249700.0,,,,,
2024-07-05,1.8343238830566408,1.8431853429255567,1.8254624231877243,1.8254624231877243,903300.0,,,,,
2024-07-08,1.8343238830566408,1.8431853429255567,1.8254624231877243,1.8343238830566408,607400.0,,,,,
2024-07-09,1.8431854248046875,1.8431854248046875,1.8254625042795565,1.8343239645421217,1017200.0,,,,,
2024-07-10,1.8343238830566408,1.8431853429255567,1.8254624231877243,1.8431853429255567,495700.0,,,,,
2024-07-11,1.8254625797271729,1.8520469616136208,1.8254625797271729,1.8431855009848048,997900.0,,,,,
2024-07-12,1.8343238830566408,1.8431853429255567,1.8254624231877243,1.8254624231877243,852900.0,,,,,
2024-07-15,1.8431854248046875,1.8520468850672531,1.8343239645421217,1.8343239645421217,454900.0,,,,,
2024-07-16,1.8609085083007808,1.8609085083007808,1.852047047262164,1.852047047262164,196600.0,,,,,
2024-07-17,1.8662660121917725,1.8662660121917725,1.8573365178902208,1.8573365178902208,280500.0,,,,,
2024-07-18,1.8484069108963013,1.8662658984105904,1.8394774171391568,1.8573364046534455,385300.0,,,,,
