Date,Close,High,Low,Open,Volume,"('Close', 'SLMT')","('High', 'SLMT')","('Low', 'SLMT')","('Open', 'SLMT')","('Volume', 'SLMT')"
2024-06-03,9.800000190734863,10.0,9.199999809265137,9.550000190734863,1180.0,,,,,
2024-06-04,9.729999542236328,10.0,9.3100004196167,10.0,2290.0,,,,,
2024-06-05,10.220000267028809,10.5,9.899999618530272,9.899999618530272,1100.0,,,,,
2024-06-06,9.890000343322754,10.399999618530272,9.56999969482422,10.399999618530272,1380.0,,,,,
2024-06-07,9.390000343322754,10.300000190734863,8.0,9.5,2540.0,,,,,
2024-06-10,9.880000114440918,10.100000381469728,9.09000015258789,9.09000015258789,6500.0,,,,,
2024-06-11,9.869999885559082,10.0,9.100000381469728,9.869999885559082,400.0,,,,,
2024-06-12,9.800000190734863,10.0,9.100000381469728,9.5,850.0,,,,,
2024-06-13,9.5,10.300000190734863,9.5,9.800000190734863,6080.0,,,,,
2024-06-14,9.350000381469728,9.979999542236328,9.300000190734863,9.5,540.0,,,,,
2024-06-17,8.479999542236328,10.0,8.100000381469727,9.300000190734863,3350.0,,,,,
2024-06-18,7.5,8.729999542236328,7.010000228881836,8.479999542236328,7260.0,,,,,
2024-06-20,8.420000076293945,8.5,7.5,7.559999942779541,1450.0,,,,,
2024-06-21,8.100000381469727,8.420000076293945,8.0,8.170000076293945,2720.0,,,,,
2024-06-24,8.109999656677246,8.5,7.820000171661377,7.820000171661377,580.0,,,,,
2024-06-25,7.420000076293945,8.399999618530273,7.199999809265137,8.399999618530273,3430.0,,,,,
2024-06-26,7.800000190734863,8.1899995803833,7.679999828338623,7.679999828338623,790.0,,,,,
2024-06-27,8.0,8.5,7.809999942779541,8.199999809265137,3120.0,,,,,
2024-06-28,8.300000190734863,8.5,8.199999809265137,8.239999771118164,1810.0,,,,,
2024-07-01,7.809999942779541,8.300000190734863,6.900000095367432,8.300000190734863,1670.0,,,,,
2024-07-02,7.46999979019165,7.809999942779541,7.300000190734863,7.800000190734863,960.0,,,,,
2024-07-03,7.880000114440918,7.880000114440918,7.429999828338623,7.429999828338623,170.0,,,,,
2024-07-05,8.199999809265137,8.199999809265137,7.309999942779541,7.309999942779541,1400.0,,,,,
2024-07-08,7.5,7.829999923706055,7.5,7.75,580.0,,,,,
2024-07-09,7.699999809265137,8.0,7.5,8.0,340.0,,,,,
2024-07-10,7.5,7.699999809265137,6.550000190734863,7.699999809265137,1800.0,,,,,
2024-07-11,7.349999904632568,7.5,7.0,7.0,1440.0,,,,,
2024-07-12,7.150000095367432,7.349999904632568,7.0,7.130000114440918,1160.0,,,,,
2024-07-15,7.010000228881836,7.400000095367432,6.699999809265137,6.699999809265137,2090.0,,,,,
2024-07-16,7.010000228881836,7.300000190734863,6.789999961853027,6.789999961853027,550.0,,,,,
2024-07-17,7.210000038146973,7.21999979019165,6.960000038146973,6.989999771118164,310.0,,,,,
2024-07-18,7.03000020980835,7.230000019073486,6.099999904632568,6.699999809265137,850.0,,,,,
2024-07-19,6.800000190734863,7.170000076293945,6.710000038146973,6.710000038146973,580.0,,,,,
2024-07-22,7.369999885559082,7.630000114440918,6.789999961853027,6.800000190734863,18100.0,,,,,
2024-07-23,7.360000133514404,7.5,5.519999980926514,6.0,243290.0,,,,,
2024-07-24,6.409999847412109,6.900000095367432,6.0,6.639999866485596,8370.0,,,,,
2024-07-25,6.5,6.5,6.059999942779541,6.5,4900.0,,,,,
2024-07-26,6.650000095367432,6.800000190734863,5.900000095367432,6.480000019073486,2580.0,,,,,
