Date,Close,High,Low,Open,Volume,"('Close', 'NXDR')","('High', 'NXDR')","('Low', 'NXDR')","('Open', 'NXDR')","('Volume', 'NXDR')"
2024-06-03,2.5299999713897705,2.539999961853028,2.450000047683716,2.450000047683716,1628500.0,,,,,
2024-06-04,2.390000104904175,2.515000104904175,2.369999885559082,2.5,2618200.0,,,,,
2024-06-05,2.539999961853028,2.549999952316284,2.390000104904175,2.4100000858306885,1983200.0,,,,,
2024-06-06,2.359999895095825,2.509999990463257,2.3399999141693115,2.5,3415300.0,,,,,
2024-06-07,2.2100000381469727,2.369999885559082,2.190000057220459,2.3299999237060547,4551000.0,,,,,
2024-06-10,2.4100000858306885,2.430000066757202,2.190000057220459,2.200000047683716,2732200.0,,,,,
2024-06-11,2.4600000381469727,2.5199999809265137,2.359999895095825,2.359999895095825,2287100.0,,,,,
2024-06-12,2.5899999141693115,2.6600000858306885,2.4800000190734863,2.4800000190734863,2185700.0,,,,,
2024-06-13,2.5,2.640000104904175,2.490000009536743,2.5999999046325684,1682800.0,,,,,
2024-06-14,2.5299999713897705,2.58899998664856,2.470000028610229,2.4800000190734863,1437300.0,,,,,
2024-06-17,2.559999942779541,2.625,2.509999990463257,2.509999990463257,1566900.0,,,,,
2024-06-18,2.549999952316284,2.650000095367432,2.549999952316284,2.549999952316284,1828500.0,,,,,
2024-06-20,2.470000028610229,2.559999942779541,2.470000028610229,2.5299999713897705,1656000.0,,,,,
2024-06-21,2.539999961853028,2.569999933242798,2.450000047683716,2.4800000190734863,2293500.0,,,,,
2024-06-24,2.559999942779541,2.680000066757202,2.549999952316284,2.569999933242798,1804000.0,,,,,
2024-06-25,2.640000104904175,2.6600000858306885,2.549999952316284,2.549999952316284,1451500.0,,,,,
2024-06-26,2.6600000858306885,2.7100000381469727,2.609999895095825,2.619999885559082,2076200.0,,,,,
2024-06-27,2.7300000190734863,2.7799999713897705,2.680000066757202,2.690000057220459,1755300.0,,,,,
2024-06-28,2.7799999713897705,2.799999952316284,2.744999885559082,2.759999990463257,8197700.0,,,,,
2024-07-01,2.650000095367432,2.799999952316284,2.5850000381469727,2.7799999713897705,1641900.0,,,,,
2024-07-02,2.5999999046325684,2.634999990463257,2.549999952316284,2.630000114440918,1004200.0,,,,,
2024-07-03,2.569999933242798,2.630000114440918,2.559999942779541,2.630000114440918,492400.0,,,,,
2024-07-05,2.569999933242798,2.609999895095825,2.539999961853028,2.549999952316284,695700.0,,,,,
2024-07-08,2.6700000762939453,2.700000047683716,2.569999933242798,2.569999933242798,1180600.0,,,,,
2024-07-09,2.6700000762939453,2.690000057220459,2.609999895095825,2.680000066757202,789000.0,,,,,
2024-07-10,2.7300000190734863,2.747999906539917,2.630000114440918,2.6700000762939453,1458300.0,,,,,
2024-07-11,2.789999961853028,2.859999895095825,2.650000095367432,2.650000095367432,1925200.0,,,,,
2024-07-12,2.75,2.825000047683716,2.740000009536743,2.799999952316284,1711700.0,,,,,
2024-07-15,2.8399999141693115,2.890000104904175,2.759999990463257,2.799999952316284,1301700.0,,,,,
2024-07-16,2.9100000858306885,2.924999952316284,2.8299999237060547,2.8499999046325684,1385100.0,,,,,
2024-07-17,2.809999942779541,2.950000047683716,2.789999961853028,2.880000114440918,1130300.0,,,,,
2024-07-18,2.759999990463257,2.8399999141693115,2.7300000190734863,2.8299999237060547,936300.0,,,,,
2024-07-19,2.759999990463257,2.809999942779541,2.7100000381469727,2.759999990463257,968300.0,,,,,
2024-07-22,2.900000095367432,2.9100000858306885,2.759999990463257,2.799999952316284,1159400.0,,,,,
2024-07-23,2.930000066757202,2.990000009536743,2.890000104904175,2.900000095367432,1453300.0,,,,,
2024-07-24,2.809999942779541,2.9200000762939453,2.809999942779541,2.900000095367432,1008200.0,,,,,
2024-07-25,2.8499999046325684,2.9200000762939453,2.753999948501587,2.819999933242798,1583800.0,,,,,
