Date,Close,High,Low,Open,Volume,"('Close', 'RDW')","('High', 'RDW')","('Low', 'RDW')","('Open', 'RDW')","('Volume', 'RDW')"
2024-06-03,5.039999961853027,5.239999771118164,4.849999904632568,5.239999771118164,216500.0,,,,,
2024-06-04,5.150000095367432,5.179999828338623,4.840000152587891,5.019999980926514,169400.0,,,,,
2024-06-05,5.170000076293945,5.25,5.099999904632568,5.190000057220459,181400.0,,,,,
2024-06-06,5.369999885559082,5.420000076293945,5.159999847412109,5.179999828338623,216200.0,,,,,
2024-06-07,5.25,5.449999809265137,5.230000019073486,5.320000171661377,227600.0,,,,,
2024-06-10,6.300000190734863,6.300000190734863,5.230000019073486,5.230000019073486,915400.0,,,,,
2024-06-11,5.889999866485596,6.349999904632568,5.860000133514404,6.179999828338623,801400.0,,,,,
2024-06-12,6.019999980926514,6.309999942779541,5.989999771118164,6.079999923706055,329400.0,,,,,
2024-06-13,6.579999923706055,7.039999961853027,5.900000095367432,6.090000152587891,1862500.0,,,,,
2024-06-14,6.019999980926514,6.800000190734863,5.915999889373779,6.630000114440918,839200.0,,,,,
2024-06-17,5.900000095367432,6.110000133514404,5.699999809265137,6.110000133514404,353600.0,,,,,
2024-06-18,6.099999904632568,6.25,5.840000152587891,5.869999885559082,302600.0,,,,,
2024-06-20,5.760000228881836,6.179999828338623,5.710000038146973,6.150000095367432,299000.0,,,,,
2024-06-21,5.829999923706055,5.829999923706055,5.630000114440918,5.71999979019165,368800.0,,,,,
2024-06-24,6.460000038146973,6.980000019073486,5.909999847412109,5.909999847412109,1140400.0,,,,,
2024-06-25,6.360000133514404,6.590000152587891,6.289999961853027,6.519999980926514,296100.0,,,,,
2024-06-26,6.550000190734863,6.559999942779541,6.25,6.300000190734863,424100.0,,,,,
2024-06-27,6.840000152587891,6.889999866485596,6.369999885559082,6.510000228881836,512600.0,,,,,
2024-06-28,7.170000076293945,7.360000133514404,6.813000202178955,6.929999828338623,3699000.0,,,,,
2024-07-01,6.940000057220459,7.375,6.809999942779541,7.210000038146973,796100.0,,,,,
2024-07-02,6.909999847412109,7.054999828338623,6.710000038146973,6.960000038146973,412700.0,,,,,
2024-07-03,6.989999771118164,7.0879998207092285,6.869999885559082,6.869999885559082,217500.0,,,,,
