Date,Close,High,Low,Open,Volume,"('Close', 'SEDG')","('High', 'SEDG')","('Low', 'SEDG')","('Open', 'SEDG')","('Volume', 'SEDG')"
2024-06-03,48.0099983215332,50.59999847412109,47.70000076293945,50.59999847412109,1808600.0,,,,,
2024-06-04,47.369998931884766,49.09999847412109,47.13999938964844,48.63999938964844,1614500.0,,,,,
2024-06-05,48.91999816894531,50.83000183105469,47.63999938964844,47.93999862670898,1925900.0,,,,,
2024-06-06,48.31999969482422,48.900001525878906,47.5099983215332,48.400001525878906,1255200.0,,,,,
2024-06-07,46.290000915527344,47.65999984741211,46.04999923706055,47.060001373291016,1960300.0,,,,,
2024-06-10,46.88999938964844,47.220001220703125,44.06999969482422,45.04999923706055,2129800.0,,,,,
2024-06-11,45.88999938964844,46.47999954223633,44.92100143432617,46.310001373291016,1513400.0,,,,,
2024-06-12,44.66999816894531,49.56999969482422,44.56999969482422,48.25,2693100.0,,,,,
2024-06-13,43.27000045776367,45.15999984741211,43.18000030517578,44.720001220703125,1859200.0,,,,,
2024-06-14,39.86000061035156,43.13999938964844,39.84000015258789,42.75,3082700.0,,,,,
2024-06-17,38.22999954223633,40.470001220703125,37.06999969482422,39.63999938964844,4111000.0,,,,,
2024-06-18,37.06999969482422,38.47999954223633,36.55500030517578,37.75,2817400.0,,,,,
2024-06-20,34.310001373291016,35.290000915527344,32.81999969482422,33.81999969482422,7053000.0,,,,,
2024-06-21,33.0099983215332,34.23099899291992,32.540000915527344,34.0099983215332,6362500.0,,,,,
2024-06-24,33.25,33.7400016784668,31.950000762939453,32.88999938964844,5190800.0,,,,,
2024-06-25,26.399999618530277,28.71999931335449,24.71999931335449,27.399999618530277,24806300.0,,,,,
2024-06-26,24.989999771118164,26.6299991607666,24.82999992370605,26.26000022888184,9989400.0,,,,,
2024-06-27,25.270000457763672,26.32999992370605,24.440000534057617,24.799999237060547,6968900.0,,,,,
2024-06-28,25.26000022888184,25.46999931335449,24.5,25.190000534057617,4422400.0,,,,,
