Date,Close,High,Low,Open,Volume,"('Close', 'ETHZ')","('High', 'ETHZ')","('Low', 'ETHZ')","('Open', 'ETHZ')","('Volume', 'ETHZ')"
2024-06-03,17.100000381469727,17.799999237060547,16.200000762939453,16.200000762939453,4248.0,,,,,
2024-06-04,16.850000381469727,17.100000381469727,16.600000381469727,16.60099983215332,1250.0,,,,,
2024-06-05,17.700000762939453,18.149999618530277,16.799999237060547,16.799999237060547,3872.0,,,,,
2024-06-06,17.399999618530273,18.0,17.399999618530273,17.899999618530273,1112.0,,,,,
2024-06-07,16.200000762939453,17.10099983215332,16.0,16.700000762939453,4128.0,,,,,
2024-06-10,15.300000190734863,16.299999237060547,15.300000190734863,16.299999237060547,1649.0,,,,,
2024-06-11,15.5,16.049999237060547,14.699999809265137,16.049999237060547,2441.0,,,,,
2024-06-12,15.399999618530272,16.5,15.0,15.899999618530272,4747.0,,,,,
2024-06-13,15.899999618530272,18.499000549316406,15.300000190734863,16.639999389648438,12269.0,,,,,
2024-06-14,15.5,16.700000762939453,14.710000038146973,15.399999618530272,3468.0,,,,,
2024-06-17,18.299999237060547,19.79400062561035,15.6899995803833,16.149999618530273,66344.0,,,,,
2024-06-18,16.399999618530273,17.9950008392334,16.200000762939453,17.5,7056.0,,,,,
2024-06-20,16.299999237060547,16.625,15.800000190734863,16.100000381469727,2221.0,,,,,
2024-06-21,14.600000381469728,16.299999237060547,14.600000381469728,16.000999450683594,5422.0,,,,,
2024-06-24,14.899999618530272,15.600000381469728,14.600000381469728,15.600000381469728,1562.0,,,,,
2024-06-25,15.0,16.100000381469727,14.800000190734863,14.805999755859377,4077.0,,,,,
2024-06-26,15.300000190734863,15.880000114440918,15.00100040435791,15.66100025177002,4398.0,,,,,
2024-06-27,15.199999809265137,15.33199977874756,14.800000190734863,14.899999618530272,1492.0,,,,,
2024-06-28,16.5,17.149999618530273,14.800000190734863,14.800000190734863,9654.0,,,,,
2024-07-01,15.0,16.882999420166016,15.0,15.5,1501.0,,,,,
2024-07-02,16.5,16.5,14.814000129699709,15.300000190734863,1702.0,,,,,
2024-07-03,16.100000381469727,16.399999618530273,15.300000190734863,15.609999656677246,1201.0,,,,,
