Date,Close,High,Low,Open,Volume,"('Close', 'ZNB')","('High', 'ZNB')","('Low', 'ZNB')","('Open', 'ZNB')","('Volume', 'ZNB')"
2024-06-03,600.0,600.0,525.0,550.0,95.0,,,,,
2024-06-04,575.0,900.0,525.0,575.0,4619.0,,,,,
2024-06-05,550.0,575.0,525.0,525.0,341.0,,,,,
2024-06-06,525.0,575.0,525.0,550.0,177.0,,,,,
2024-06-07,525.0,550.0,500.0,550.0,75.0,,,,,
2024-06-10,525.0,550.0,500.0,525.0,57.0,,,,,
2024-06-11,525.0,525.0,500.0,525.0,64.0,,,,,
2024-06-12,575.0,650.0,475.0,525.0,1692.0,,,,,
2024-06-13,525.0,550.0,500.0,525.0,278.0,,,,,
2024-06-14,550.0,550.0,500.0,500.0,181.0,,,,,
2024-06-17,525.0,550.0,500.0,525.0,105.0,,,,,
2024-06-18,550.0,575.0,500.0,525.0,131.0,,,,,
2024-06-20,525.0,550.0,525.0,550.0,50.0,,,,,
2024-06-21,550.0,550.0,525.0,525.0,119.0,,,,,
2024-06-24,525.0,550.0,525.0,550.0,47.0,,,,,
2024-06-25,550.0,550.0,525.0,550.0,125.0,,,,,
2024-06-26,550.0,600.0,550.0,550.0,100.0,,,,,
2024-06-27,550.0,600.0,525.0,575.0,121.0,,,,,
2024-06-28,525.0,600.0,525.0,550.0,120.0,,,,,
2024-07-01,525.0,775.0,525.0,550.0,2828.0,,,,,
2024-07-02,525.0,525.0,525.0,525.0,187.0,,,,,
2024-07-03,525.0,525.0,500.0,525.0,89.0,,,,,
2024-07-05,525.0,550.0,500.0,550.0,97.0,,,,,
2024-07-08,475.0,550.0,475.0,525.0,143.0,,,,,
2024-07-09,475.0,500.0,450.0,475.0,174.0,,,,,
2024-07-10,500.0,550.0,475.0,500.0,289.0,,,,,
2024-07-11,525.0,525.0,475.0,500.0,171.0,,,,,
2024-07-12,500.0,525.0,500.0,525.0,120.0,,,,,
2024-07-15,550.0,600.0,500.0,500.0,537.0,,,,,
2024-07-16,550.0,600.0,550.0,575.0,144.0,,,,,
2024-07-17,550.0,550.0,525.0,525.0,78.0,,,,,
2024-07-18,550.0,550.0,525.0,525.0,141.0,,,,,
2024-07-19,500.0,525.0,475.0,525.0,76.0,,,,,
2024-07-22,500.0,575.0,500.0,525.0,272.0,,,,,
2024-07-23,500.0,500.0,475.0,500.0,111.0,,,,,
2024-07-24,500.0,525.0,500.0,500.0,82.0,,,,,
2024-07-25,525.0,525.0,475.0,475.0,93.0,,,,,
2024-07-26,525.0,525.0,475.0,525.0,122.0,,,,,
2024-07-29,625.0,675.0,525.0,525.0,1261.0,,,,,
2024-07-30,650.0,750.0,625.0,625.0,795.0,,,,,
2024-07-31,750.0,750.0,625.0,675.0,634.0,,,,,
