Date,Close,High,Low,Open,Volume,"('Close', 'CNP')","('High', 'CNP')","('Low', 'CNP')","('Open', 'CNP')","('Volume', 'CNP')"
2024-06-03,29.76060676574707,29.847711128349523,29.460581653438037,29.528329080800177,5116200.0,,,,,
2024-06-04,29.84770965576172,29.92513554692408,29.567039646561383,29.692857873437003,3849700.0,,,,,
2024-06-05,29.45090103149414,29.81867354426288,29.431544097669786,29.75092612185644,2639200.0,,,,,
2024-06-06,29.27669334411621,29.57671844498348,29.2283028538398,29.33476230164368,2274900.0,,,,,
2024-06-07,29.199268341064453,29.392834000020997,28.889564763517136,28.928276787721085,5935900.0,,,,,
2024-06-10,29.45090103149414,29.518648453900585,29.083126672746587,29.199266429713923,3946400.0,,,,,
2024-06-11,29.828351974487305,29.85738737518813,29.170230993099096,29.218623327600472,6090300.0,,,,,
2024-06-12,29.992883682250977,30.196127805109064,29.644466240767912,30.15741393562033,9721300.0,,,,,
2024-06-13,29.905780792236328,30.14773695050034,29.644467698276237,30.00256362473773,8317400.0,,,,,
2024-06-14,29.85738754272461,29.905778031518704,29.54768398409324,29.663821895590598,5105800.0,,,,,
2024-06-17,29.702537536621094,29.98320571114433,29.644466731426828,29.76060649583643,3674800.0,,,,,
2024-06-18,30.0025634765625,30.021920412162977,29.57672012324685,29.60575552664757,4129500.0,,,,,
2024-06-20,30.2735538482666,30.34130127422903,29.92513640505536,30.031597700698555,4886100.0,,,,,
2024-06-21,30.0025634765625,30.5542232193233,29.9348160479398,30.399371426477423,8376300.0,,,,,
2024-06-24,30.30258560180664,30.399368424271906,30.012238980389657,30.012238980389657,3018900.0,,,,,
2024-06-25,29.412187576293945,30.26387421672081,29.218623773272448,30.24451728262501,6235800.0,,,,,
2024-06-26,29.51865005493164,29.596075948449684,29.17991107854812,29.2766939069404,3063700.0,,,,,
2024-06-27,29.81867408752441,29.86706642296696,29.538005925873023,29.596074882425235,3297000.0,,,,,
2024-06-28,29.983203887939453,30.05095131056761,29.6735003296514,29.91545646531129,6589500.0,,,,,
2024-07-01,29.567041397094727,30.17677194132925,29.499293969063995,30.147736538182237,2946500.0,,,,,
2024-07-02,29.47993850708008,29.66382571091083,29.470261884859724,29.567042874895748,2806500.0,,,,,
2024-07-03,29.3541202545166,29.721892792921384,29.31540823014823,29.4702600195796,1489500.0,,,,,
2024-07-05,29.50897216796875,29.65414549042343,29.276694482845464,29.392834248396586,5291500.0,,,,,
2024-07-08,29.344438552856445,29.547682657822275,29.14119629386936,29.52832572478196,5404000.0,,,,,
2024-07-09,28.6766414642334,29.38315480986445,28.6766414642334,29.32508400601825,8258900.0,,,,,
2024-07-10,28.637928009033203,28.81213671990329,28.14433727689422,28.78310131943201,9594900.0,,,,,
2024-07-11,28.72503662109375,29.14120152629093,28.599218379719265,28.763748648146542,7549500.0,,,,,
2024-07-12,29.325084686279297,29.63479010937337,28.75406802373115,28.83149576398887,7825600.0,,,,,
