Date,Close,High,Low,Open,Volume,"('Close', 'FSM')","('High', 'FSM')","('Low', 'FSM')","('Open', 'FSM')","('Volume', 'FSM')"
2024-06-03,6.199999809265137,6.28000020980835,6.099999904632568,6.25,4206400.0,,,,,
2024-06-04,5.909999847412109,6.079999923706055,5.860000133514404,6.070000171661377,6886300.0,,,,,
2024-06-05,5.070000171661377,5.340000152587891,4.820000171661377,5.309999942779541,31118800.0,,,,,
2024-06-06,5.289999961853027,5.369999885559082,5.039999961853027,5.110000133514404,26640300.0,,,,,
2024-06-07,4.96999979019165,5.119999885559082,4.96999979019165,5.079999923706055,10187800.0,,,,,
2024-06-10,5.070000171661377,5.099999904632568,4.920000076293945,5.039999961853027,7541200.0,,,,,
2024-06-11,4.960000038146973,5.099999904632568,4.940000057220459,5.0,5870300.0,,,,,
2024-06-12,5.010000228881836,5.179999828338623,4.989999771118164,5.119999885559082,6992400.0,,,,,
2024-06-13,4.880000114440918,5.03000020980835,4.800000190734863,4.989999771118164,8749700.0,,,,,
2024-06-14,4.889999866485596,4.989999771118164,4.860000133514404,4.989999771118164,6603600.0,,,,,
2024-06-17,4.869999885559082,4.940000057220459,4.820000171661377,4.860000133514404,5320700.0,,,,,
2024-06-18,4.989999771118164,5.010000228881836,4.820000171661377,4.860000133514404,5698200.0,,,,,
2024-06-20,5.090000152587891,5.159999847412109,5.03000020980835,5.079999923706055,7365900.0,,,,,
2024-06-21,5.039999961853027,5.099999904632568,4.980000019073486,5.059999942779541,7663000.0,,,,,
2024-06-24,4.929999828338623,5.110000133514404,4.929999828338623,5.070000171661377,4816600.0,,,,,
2024-06-25,4.909999847412109,4.980000019073486,4.889999866485596,4.909999847412109,3324900.0,,,,,
2024-06-26,4.880000114440918,4.960000038146973,4.820000171661377,4.869999885559082,3094800.0,,,,,
2024-06-27,4.880000114440918,5.0,4.849999904632568,4.96999979019165,2542300.0,,,,,
2024-06-28,4.889999866485596,4.980000019073486,4.820000171661377,4.929999828338623,3727200.0,,,,,
2024-07-01,4.840000152587891,4.960000038146973,4.809999942779541,4.940000057220459,2197200.0,,,,,
2024-07-02,4.949999809265137,4.960000038146973,4.849999904632568,4.880000114440918,5660800.0,,,,,
2024-07-03,5.050000190734863,5.159999847412109,5.039999961853027,5.039999961853027,5996700.0,,,,,
2024-07-05,5.019999980926514,5.239999771118164,5.019999980926514,5.099999904632568,8621700.0,,,,,
2024-07-08,5.03000020980835,5.070000171661377,4.920000076293945,4.960000038146973,5868600.0,,,,,
2024-07-09,4.940000057220459,5.050000190734863,4.920000076293945,5.03000020980835,4170500.0,,,,,
2024-07-10,5.28000020980835,5.289999961853027,4.989999771118164,5.0,7240900.0,,,,,
2024-07-11,5.400000095367432,5.46999979019165,5.21999979019165,5.449999809265137,7339200.0,,,,,
2024-07-12,5.329999923706055,5.420000076293945,5.25,5.269999980926514,5240800.0,,,,,
