Date,Close,High,Low,Open,Volume,"('Close', 'TIVC')","('High', 'TIVC')","('Low', 'TIVC')","('Open', 'TIVC')","('Volume', 'TIVC')"
2024-05-29,7.054999828338623,7.309999942779541,6.630000114440918,6.664000034332275,13659.0,,,,,
2024-05-30,6.986999988555908,7.139999866485596,6.96999979019165,7.072000026702881,5224.0,,,,,
2024-05-31,7.004000186920166,7.190999984741211,6.800000190734863,7.105999946594238,5988.0,,,,,
2024-06-03,6.800000190734863,7.105999946594238,6.460000038146973,7.038000106811523,9124.0,,,,,
2024-06-04,6.715000152587891,6.800000190734863,6.460000038146973,6.5960001945495605,6394.0,,,,,
2024-06-05,6.511000156402588,6.765999794006348,6.460000038146973,6.765999794006348,5318.0,,,,,
2024-06-06,6.561999797821045,6.765999794006348,6.460000038146973,6.511000156402588,5682.0,,,,,
2024-06-07,6.935999870300293,6.953000068664551,6.527999877929688,6.800000190734863,36594.0,,,,,
2024-06-10,6.800000190734863,6.96999979019165,6.630000114440918,6.630000114440918,14747.0,,,,,
2024-06-11,6.816999912261963,6.96999979019165,6.460000038146973,6.646999835968018,6512.0,,,,,
2024-06-12,6.749000072479248,7.054999828338623,6.73199987411499,6.7829999923706055,12582.0,,,,,
2024-06-13,7.224999904632568,7.4629998207092285,6.765999794006348,6.919000148773193,9188.0,,,,,
2024-06-14,6.868000030517578,7.224999904632568,6.868000030517578,7.208000183105469,3218.0,,,,,
2024-06-17,6.953000068664551,7.089000225067139,6.545000076293945,7.089000225067139,12924.0,,,,,
2024-06-18,6.61299991607666,6.800000190734863,6.5960001945495605,6.800000190734863,5529.0,,,,,
2024-06-20,6.630000114440918,6.800000190734863,6.630000114440918,6.800000190734863,2965.0,,,,,
2024-06-21,6.664000034332275,7.089000225067139,6.630000114440918,6.800000190734863,11441.0,,,,,
2024-06-24,6.96999979019165,7.139999866485596,6.664000034332275,6.664000034332275,5929.0,,,,,
2024-06-25,6.765999794006348,6.986999988555908,6.664000034332275,6.901999950408936,3312.0,,,,,
2024-06-26,6.800000190734863,7.004000186920166,6.561999797821045,6.630000114440918,6929.0,,,,,
2024-06-27,6.697999954223633,6.800000190734863,6.61299991607666,6.800000190734863,3912.0,,,,,
2024-06-28,6.630000114440918,6.800000190734863,6.49399995803833,6.511000156402588,3988.0,,,,,
2024-07-01,6.49399995803833,6.61299991607666,6.375,6.561999797821045,3165.0,,,,,
2024-07-02,6.341000080108643,6.61299991607666,6.323999881744385,6.392000198364258,7429.0,,,,,
2024-07-03,6.289999961853027,6.460000038146973,6.15399980545044,6.341000080108643,5724.0,,,,,
2024-07-05,6.25600004196167,6.460000038146973,5.9670000076293945,6.289999961853027,3729.0,,,,,
2024-07-08,5.864999771118164,6.25600004196167,5.814000129699707,6.25600004196167,6635.0,,,,,
2024-07-09,5.864999771118164,6.034999847412109,5.440000057220459,5.864999771118164,7782.0,,,,,
2024-07-10,5.949999809265137,6.000999927520752,5.626999855041504,5.864999771118164,5671.0,,,,,
2024-07-11,6.103000164031982,6.119999885559082,5.745999813079834,5.830999851226807,7500.0,,,,,
2024-07-12,5.830999851226807,6.034999847412109,5.626999855041504,6.034999847412109,7335.0,,,,,
2024-07-15,5.881999969482422,6.068999767303467,5.644000053405762,5.8480000495910645,4447.0,,,,,
2024-07-16,6.204999923706055,6.578999996185303,5.8480000495910645,5.949999809265137,23759.0,,,,,
2024-07-17,6.341000080108643,7.327000141143799,5.984000205993652,6.289999961853027,91671.0,,,,,
