Date,Close,High,Low,Open,Volume,"('Close', 'WDAY')","('High', 'WDAY')","('Low', 'WDAY')","('Open', 'WDAY')","('Volume', 'WDAY')"
2024-06-03,210.8300018310547,211.83999633789065,207.55999755859372,210.07000732421875,3238200.0,,,,,
2024-06-04,211.1199951171875,212.82000732421875,209.0399932861328,211.8500061035156,3602000.0,,,,,
2024-06-05,212.4600067138672,215.57000732421875,211.16000366210935,211.88999938964844,2558300.0,,,,,
2024-06-06,214.9499969482422,216.7700042724609,212.3699951171875,212.77999877929688,2614900.0,,,,,
2024-06-07,215.55999755859372,217.16000366210935,213.13999938964844,213.72000122070312,2412800.0,,,,,
2024-06-10,212.72999572753903,215.0800018310547,209.83999633789065,213.3800048828125,2627600.0,,,,,
2024-06-11,214.1300048828125,214.83999633789065,212.5,213.75,1915400.0,,,,,
2024-06-12,210.92999267578125,215.2700042724609,210.4900054931641,215.25999450683597,2992200.0,,,,,
2024-06-13,207.0800018310547,211.6999969482422,207.0,211.6999969482422,1928900.0,,,,,
2024-06-14,209.47999572753903,210.8800048828125,207.1100006103516,208.07000732421875,1641800.0,,,,,
2024-06-17,212.4600067138672,213.6499938964844,207.17999267578125,207.75999450683597,2039500.0,,,,,
2024-06-18,207.69000244140625,212.8500061035156,207.3699951171875,211.0,2148300.0,,,,,
2024-06-20,214.58999633789065,216.33999633789065,209.3500061035156,210.0,2843100.0,,,,,
2024-06-21,219.08999633789065,219.6999969482422,216.2700042724609,216.77999877929688,5458100.0,,,,,
2024-06-24,218.6999969482422,220.0,217.41000366210935,218.22000122070312,2369700.0,,,,,
2024-06-25,217.3800048828125,219.58999633789065,216.91000366210935,219.27999877929688,1567100.0,,,,,
2024-06-26,216.77999877929688,219.00999450683597,215.80999755859372,216.47999572753903,1827900.0,,,,,
2024-06-27,223.3600006103516,224.13999938964844,217.25999450683597,217.5500030517578,1974000.0,,,,,
2024-06-28,223.55999755859372,225.41000366210935,221.9600067138672,223.3500061035156,2677000.0,,,,,
2024-07-01,224.72000122070312,225.41000366210935,219.57000732421875,223.0,1496000.0,,,,,
2024-07-02,226.75999450683597,226.7899932861328,223.0200042724609,223.1199951171875,1715300.0,,,,,
2024-07-03,225.5500030517578,228.9499969482422,225.3500061035156,227.1999969482422,882800.0,,,,,
2024-07-05,229.1300048828125,229.3500061035156,224.00999450683597,224.9499969482422,1692700.0,,,,,
2024-07-08,226.5399932861328,228.9900054931641,223.8300018310547,226.50999450683597,1674000.0,,,,,
2024-07-09,223.08999633789065,226.22999572753903,221.5200042724609,225.32000732421875,1907500.0,,,,,
2024-07-10,223.0800018310547,224.42999267578125,220.33999633789065,223.3600006103516,1769100.0,,,,,
2024-07-11,226.80999755859372,228.13999938964844,222.75,223.7100067138672,2483000.0,,,,,
2024-07-12,230.0200042724609,230.33999633789065,226.0200042724609,226.77999877929688,1686900.0,,,,,
2024-07-15,232.47000122070312,233.8600006103516,230.0,230.6999969482422,2889500.0,,,,,
2024-07-16,235.6300048828125,237.25,232.6499938964844,233.3000030517578,1652200.0,,,,,
2024-07-17,231.6300048828125,237.47999572753903,231.2700042724609,233.6000061035156,2087200.0,,,,,
2024-07-18,230.5800018310547,235.0,229.1499938964844,232.75999450683597,1724800.0,,,,,
2024-07-19,227.4900054931641,227.97000122070312,218.4600067138672,219.3300018310547,2787300.0,,,,,
2024-07-22,228.9900054931641,229.9499969482422,225.5200042724609,228.9199981689453,2292300.0,,,,,
2024-07-23,226.0399932861328,232.2400054931641,225.8300018310547,230.0,1465200.0,,,,,
2024-07-24,220.5200042724609,225.47000122070312,220.4600067138672,225.16000366210935,1657600.0,,,,,
2024-07-25,227.0800018310547,232.8699951171875,223.5500030517578,224.0,2264000.0,,,,,
2024-07-26,228.63999938964844,231.2100067138672,227.97999572753903,228.33999633789065,1003300.0,,,,,
2024-07-29,227.1300048828125,229.9900054931641,226.33999633789065,228.6300048828125,1026200.0,,,,,
2024-07-30,226.47999572753903,229.5200042724609,224.91000366210935,228.0,1470100.0,,,,,
2024-07-31,227.1199951171875,231.2400054931641,225.88999938964844,229.6499938964844,1556900.0,,,,,
2024-08-01,222.5800018310547,228.41000366210935,220.38999938964844,227.3300018310547,1349100.0,,,,,
2024-08-02,214.8600006103516,220.0,212.1300048828125,218.47999572753903,2456500.0,,,,,
2024-08-05,207.75,212.0,199.80999755859372,199.9900054931641,3103800.0,,,,,
