Date,Close,High,Low,Open,Volume,"('Close', 'MCD')","('High', 'MCD')","('Low', 'MCD')","('Open', 'MCD')","('Volume', 'MCD')"
2024-06-03,252.35731506347656,252.55163476914092,248.32543318764743,250.5891065486134,4342800.0,,,,,
2024-06-04,255.2428131103516,255.6022779174056,251.87157046055964,251.95900544208408,4592700.0,,,,,
2024-06-05,252.5904693603516,254.2906629754293,251.29833525846288,254.0575030530491,4136800.0,,,,,
2024-06-06,253.2997131347656,254.3392672426504,251.56064958454084,253.48430796323208,3354300.0,,,,,
2024-06-07,248.9180908203125,253.9603824644856,248.07285632198776,252.66824816283383,2290100.0,,,,,
2024-06-10,246.5863800048828,248.71405338033196,245.94516052812855,248.71405338033196,2866200.0,,,,,
2024-06-11,247.04299926757807,247.44133391790237,244.9250508186567,245.80914026939675,2729400.0,,,,,
2024-06-12,247.23731994628903,249.01523866604248,246.1977805912827,247.62594456576477,3169600.0,,,,,
2024-06-13,246.47950744628903,247.4899165790277,244.0312243587436,246.37263753464387,3153000.0,,,,,
2024-06-14,246.3629302978516,246.4017853459341,243.4774574749272,245.66342083626307,2806600.0,,,,,
2024-06-17,246.294921875,247.2761860527754,244.7113229013702,245.1193676272173,2532900.0,,,,,
2024-06-18,243.65234375,247.11103624155297,242.2533395576185,246.72241161212992,2956300.0,,,,,
2024-06-20,246.57669067382807,248.4128994574034,242.40877854912435,243.1471579448464,4046500.0,,,,,
2024-06-21,252.00759887695312,254.0186627395289,248.33516660252536,250.92917481241625,8425800.0,,,,,
2024-06-24,252.9694061279297,253.9312205413483,250.46281814583244,251.62867715829995,3901200.0,,,,,
2024-06-25,250.05479431152344,252.72652743496397,248.31573063126552,252.72652743496397,3903800.0,,,,,
2024-06-26,250.49197387695312,250.82232334223409,247.43163089931596,249.34556457659835,2796100.0,,,,,
2024-06-27,250.82232666015625,251.4635165390532,249.6564675822877,250.6571519253308,2651000.0,,,,,
2024-06-28,247.58706665039065,252.10471837428372,245.6634230261311,250.21023456698708,8958700.0,,,,,
