Date,Close,High,Low,Open,Volume,"('Close', 'ANF')","('High', 'ANF')","('Low', 'ANF')","('Open', 'ANF')","('Volume', 'ANF')"
2024-06-03,175.66000366210938,179.52999877929688,172.5500030517578,174.91000366210938,2037600.0,,,,,
2024-06-04,169.64999389648438,173.75999450683594,167.0,173.75,1286400.0,,,,,
2024-06-05,172.6999969482422,173.67999267578125,167.85000610351562,168.69000244140625,1133600.0,,,,,
2024-06-06,175.72999572753906,178.85000610351562,171.1199951171875,171.64999389648438,1531500.0,,,,,
2024-06-07,175.19000244140625,177.3000030517578,173.0,175.66000366210938,1073300.0,,,,,
2024-06-10,185.1300048828125,185.5500030517578,173.6699981689453,174.55999755859375,2365400.0,,,,,
2024-06-11,185.7899932861328,187.7100067138672,180.4199981689453,186.5200042724609,1458200.0,,,,,
2024-06-12,192.33999633789065,193.1100006103516,184.4600067138672,188.4199981689453,1356200.0,,,,,
2024-06-13,190.82000732421875,194.3800048828125,186.30999755859372,192.33999633789065,1175500.0,,,,,
2024-06-14,186.05999755859372,189.82000732421875,183.66000366210935,189.1000061035156,1072800.0,,,,,
2024-06-17,185.88999938964844,189.0,180.07000732421875,186.02999877929688,1149600.0,,,,,
2024-06-18,185.27999877929688,187.8000030517578,181.1999969482422,184.97999572753903,1144900.0,,,,,
2024-06-20,175.55999755859375,184.47999572753903,173.25999450683594,184.47999572753903,1704000.0,,,,,
2024-06-21,174.5,175.13999938964844,171.1300048828125,175.13999938964844,1725700.0,,,,,
2024-06-24,169.91000366210938,176.74000549316406,169.3300018310547,174.5,1154100.0,,,,,
2024-06-25,173.24000549316406,175.08999633789062,169.61000061035156,170.3800048828125,956200.0,,,,,
2024-06-26,173.4199981689453,176.63999938964844,171.49000549316406,173.25,1186600.0,,,,,
2024-06-27,172.52999877929688,174.4199981689453,170.11000061035156,171.99000549316406,986400.0,,,,,
2024-06-28,177.83999633789062,179.27000427246094,173.00999450683594,173.00999450683594,2870200.0,,,,,
2024-07-01,184.58999633789065,186.4499969482422,177.14999389648438,179.6999969482422,1947700.0,,,,,
2024-07-02,183.3600006103516,185.47999572753903,180.32000732421875,184.58999633789065,1191000.0,,,,,
2024-07-03,179.75,183.72000122070312,178.44000244140625,183.3500061035156,637500.0,,,,,
2024-07-05,171.5399932861328,181.08999633789065,171.4499969482422,179.9499969482422,1254100.0,,,,,
2024-07-08,178.52999877929688,178.72999572753906,171.24000549316406,173.30999755859375,997500.0,,,,,
2024-07-09,179.24000549316406,183.6999969482422,177.77000427246094,179.60000610351562,885100.0,,,,,
2024-07-10,174.10000610351562,182.9499969482422,173.3300018310547,182.66000366210935,1190800.0,,,,,
2024-07-11,173.7899932861328,177.4199981689453,167.0,174.52999877929688,2336700.0,,,,,
2024-07-12,173.24000549316406,179.89999389648438,171.1699981689453,173.4600067138672,1210800.0,,,,,
2024-07-15,167.3300018310547,173.69000244140625,167.0500030517578,172.1300048828125,1525200.0,,,,,
2024-07-16,170.0800018310547,172.89999389648438,168.7100067138672,170.1199951171875,1305500.0,,,,,
2024-07-17,155.77999877929688,167.3699951171875,155.47999572753906,163.6699981689453,3062800.0,,,,,
