Date,Close,High,Low,Open,Volume,"('Close', 'FLR')","('High', 'FLR')","('Low', 'FLR')","('Open', 'FLR')","('Volume', 'FLR')"
2024-06-03,43.59999847412109,44.470001220703125,42.79999923706055,44.0,1781700.0,,,,,
2024-06-04,42.869998931884766,43.650001525878906,41.970001220703125,43.27999877929688,1916400.0,,,,,
2024-06-05,44.560001373291016,44.75,42.869998931884766,42.91999816894531,1794600.0,,,,,
2024-06-06,44.34000015258789,44.88999938964844,43.93999862670898,43.93999862670898,2209100.0,,,,,
2024-06-07,44.22999954223633,44.45000076293945,43.65999984741211,44.04999923706055,1757900.0,,,,,
2024-06-10,44.45000076293945,44.709999084472656,43.52999877929688,43.810001373291016,1100200.0,,,,,
2024-06-11,44.43000030517578,44.45000076293945,43.63999938964844,44.15999984741211,1071600.0,,,,,
2024-06-12,45.09999847412109,45.59999847412109,44.52000045776367,45.0,1862200.0,,,,,
2024-06-13,44.34999847412109,45.09999847412109,43.709999084472656,44.93000030517578,1754500.0,,,,,
2024-06-14,44.63999938964844,44.88999938964844,43.77999877929688,43.77999877929688,1474500.0,,,,,
2024-06-17,45.02000045776367,45.4900016784668,44.34000015258789,44.54999923706055,1215600.0,,,,,
2024-06-18,45.34999847412109,45.61000061035156,44.790000915527344,44.97999954223633,1511900.0,,,,,
2024-06-20,44.709999084472656,45.75,44.459999084472656,45.34999847412109,1330500.0,,,,,
2024-06-21,45.02000045776367,45.27999877929688,44.0099983215332,44.5,2052200.0,,,,,
2024-06-24,44.75,45.68000030517578,44.63999938964844,45.130001068115234,1269300.0,,,,,
2024-06-25,44.0099983215332,44.72999954223633,43.77999877929688,44.720001220703125,1615900.0,,,,,
2024-06-26,43.61000061035156,43.880001068115234,42.68999862670898,43.7400016784668,1617500.0,,,,,
2024-06-27,43.04999923706055,44.08000183105469,42.9900016784668,43.790000915527344,1216300.0,,,,,
2024-06-28,43.54999923706055,43.91999816894531,42.95000076293945,43.459999084472656,6868400.0,,,,,
2024-07-01,43.2400016784668,43.9900016784668,42.90999984741211,43.90999984741211,1406500.0,,,,,
2024-07-02,43.220001220703125,43.70000076293945,42.77000045776367,43.70000076293945,988400.0,,,,,
2024-07-03,44.13999938964844,44.38999938964844,43.27000045776367,43.27000045776367,733300.0,,,,,
2024-07-05,44.31999969482422,44.65999984741211,43.75,43.93000030517578,1109500.0,,,,,
2024-07-08,44.209999084472656,44.9900016784668,44.11000061035156,44.5,1421400.0,,,,,
2024-07-09,43.68000030517578,44.619998931884766,43.66999816894531,44.040000915527344,1520500.0,,,,,
2024-07-10,44.77000045776367,44.880001068115234,43.56999969482422,43.86000061035156,1007500.0,,,,,
2024-07-11,46.54999923706055,46.790000915527344,45.560001373291016,45.619998931884766,2060900.0,,,,,
2024-07-12,47.63999938964844,48.470001220703125,46.81999969482422,47.09999847412109,2304100.0,,,,,
2024-07-15,48.459999084472656,49.22999954223633,47.93999862670898,48.04999923706055,2872700.0,,,,,
2024-07-16,50.2599983215332,50.630001068115234,48.970001220703125,48.970001220703125,2746300.0,,,,,
2024-07-17,48.68000030517578,51.63999938964844,48.59000015258789,50.45000076293945,3305600.0,,,,,
