Date,Close,High,Low,Open,Volume,"('Close', 'JFBR')","('High', 'JFBR')","('Low', 'JFBR')","('Open', 'JFBR')","('Volume', 'JFBR')"
2024-06-03,8.041000366210938,11.185999870300291,6.816999912261963,7.4629998207092285,628535.0,,,,,
2024-06-04,7.190999984741211,8.329999923706055,7.020999908447266,7.785999774932861,99894.0,,,,,
2024-06-05,6.5960001945495605,7.666999816894531,5.269999980926514,7.139999866485596,167612.0,,,,,
2024-06-06,6.7829999923706055,8.670000076293945,6.000999927520752,6.460000038146973,351735.0,,,,,
2024-06-07,6.103000164031982,7.139999866485596,5.949999809265137,6.561999797821045,61300.0,,,,,
2024-06-10,6.545000076293945,6.96999979019165,5.355000019073486,6.119999885559082,107282.0,,,,,
2024-06-11,6.204999923706055,6.630000114440918,6.034999847412109,6.61299991607666,37876.0,,,,,
2024-06-12,6.204999923706055,6.715000152587891,5.644000053405762,6.289999961853027,53265.0,,,,,
2024-06-13,5.9670000076293945,6.052000045776367,5.456999778747559,6.052000045776367,26641.0,,,,,
2024-06-14,6.800000190734863,8.84000015258789,6.289999961853027,6.935999870300293,1192182.0,,,,,
2024-06-17,6.630000114440918,6.96999979019165,6.034999847412109,6.800000190734863,192494.0,,,,,
2024-06-18,6.323999881744385,6.61299991607666,5.440000057220459,6.289999961853027,116812.0,,,,,
2024-06-20,5.541999816894531,6.2729997634887695,5.440000057220459,6.119999885559082,64624.0,,,,,
2024-06-21,5.202000141143799,5.864999771118164,5.151000022888184,5.473999977111816,40412.0,,,,,
2024-06-24,5.0320000648498535,5.440000057220459,4.760000228881836,5.117000102996826,43641.0,,,,,
2024-06-25,4.998000144958496,5.099999904632568,4.760000228881836,5.099999904632568,29129.0,,,,,
2024-06-26,4.84499979019165,5.065999984741211,4.6579999923706055,5.065999984741211,16953.0,,,,,
2024-06-27,5.269999980926514,5.507999897003174,4.84499979019165,4.998000144958496,37824.0,,,,,
2024-06-28,5.117000102996826,5.984000205993652,4.895999908447266,5.252999782562256,49035.0,,,,,
2024-07-01,4.828000068664551,5.117000102996826,4.760000228881836,5.117000102996826,18918.0,,,,,
2024-07-02,5.525000095367432,6.96999979019165,4.929999828338623,4.929999828338623,918512.0,,,,,
2024-07-03,5.269999980926514,5.677999973297119,4.998000144958496,5.677999973297119,83471.0,,,,,
2024-07-05,5.117000102996826,5.218999862670898,5.0320000648498535,5.117000102996826,28200.0,,,,,
2024-07-08,5.559000015258789,6.289999961853027,5.269999980926514,5.372000217437744,180000.0,,,,,
2024-07-09,5.473999977111816,5.695000171661377,5.3379998207092285,5.541999816894531,18012.0,,,,,
2024-07-10,5.151000022888184,5.491000175476074,4.929999828338623,5.406000137329102,58059.0,,,,,
