Date,Close,High,Low,Open,Volume,"('Close', 'IRDM')","('High', 'IRDM')","('Low', 'IRDM')","('Open', 'IRDM')","('Volume', 'IRDM')"
2024-06-03,27.685955047607425,29.300888627666147,27.260464912883023,29.17517605251026,1399800.0,,,,,
2024-06-04,28.749685287475582,28.89473883246001,27.637605649987123,27.695626699089715,1284400.0,,,,,
2024-06-05,28.34353256225586,28.788365497360708,28.072766452975834,28.75935405231394,681700.0,,,,,
2024-06-06,27.637605667114254,28.38221620147322,27.579584617975712,28.08243862905885,789900.0,,,,,
2024-06-07,27.06705665588379,27.531228678418607,26.95101457247792,27.2217806633954,1141000.0,,,,,
2024-06-10,26.970355987548828,27.06705896159515,26.448162878827976,26.834972930557463,719300.0,,,,,
2024-06-11,27.23145294189453,27.260464386888795,26.30310883554748,26.670577916529243,1015500.0,,,,,
2024-06-12,26.612558364868164,27.90837346939216,26.55453547162257,27.74397896077476,735900.0,,,,,
2024-06-13,26.20640563964844,26.699589133606235,26.196735158066232,26.43849166425403,1057200.0,,,,,
2024-06-14,25.71066093444824,25.94395214660617,25.292680150735965,25.934231447678705,817400.0,,,,,
2024-06-17,25.525972366333008,25.730101489732963,25.26351904707551,25.662058448599645,976600.0,,,,,
2024-06-18,24.90386390686035,25.65233925736271,24.78721736232156,25.50653246721466,923800.0,,,,,
2024-06-20,24.417837142944336,25.03022633059772,23.71796166673052,24.64140765160877,1172700.0,,,,,
2024-06-21,24.36923599243164,24.515042779317785,24.019298220677783,24.36923599243164,2537000.0,,,,,
2024-06-24,24.37895393371582,24.971903567868043,24.33035229493081,24.505319306977047,974700.0,,,,,
2024-06-25,24.583086013793945,24.67056859677989,24.029017294657905,24.262308508699192,776300.0,,,,,
2024-06-26,25.759262084960938,25.798144879931023,24.592804192330355,24.62196628855792,1384800.0,,,,,
2024-06-27,26.050878524780277,26.488300746613135,25.63289955662588,25.74954424642536,1059200.0,,,,,
2024-06-28,25.87590980529785,26.2938887462376,25.4870892538586,26.167523364843497,3567000.0,,,,,
2024-07-01,25.81758689880371,26.44941754537858,25.66205941207863,25.856469697501925,1112600.0,,,,,
2024-07-02,25.91479110717773,26.07031858829539,25.77870502470824,25.905070407853653,553400.0,,,,,
2024-07-03,26.07032012939453,26.284171819098127,25.875911693522276,26.118923628888044,325900.0,,,,,
2024-07-05,25.81758689880371,26.118923026613203,25.720381756092063,26.118923026613203,491600.0,,,,,
2024-07-08,25.87590980529785,26.148081966464776,25.7884253666274,25.953673544778944,637800.0,,,,,
