Date,Close,High,Low,Open,Volume,"('Close', 'TRIB')","('High', 'TRIB')","('Low', 'TRIB')","('Open', 'TRIB')","('Volume', 'TRIB')"
2024-06-03,1.7300000190734863,1.7699999809265137,1.6799999475479126,1.690000057220459,25800.0,,,,,
2024-06-04,1.809999942779541,1.940000057220459,1.7400000095367432,1.7400000095367432,41900.0,,,,,
2024-06-05,2.0,2.130000114440918,1.850000023841858,1.940000057220459,140100.0,,,,,
2024-06-06,2.0999999046325684,2.190000057220459,2.0,2.059999942779541,47900.0,,,,,
2024-06-07,2.0999999046325684,2.319999933242798,2.049999952316284,2.119999885559082,44600.0,,,,,
2024-06-10,2.2799999713897705,2.390000104904175,2.1600000858306885,2.369999885559082,76800.0,,,,,
2024-06-11,2.900000095367432,2.9600000381469727,2.3499999046325684,2.3499999046325684,308500.0,,,,,
2024-06-12,2.8299999237060547,3.549999952316284,2.700000047683716,3.039999961853028,313800.0,,,,,
2024-06-13,3.4600000381469727,3.4800000190734863,2.8299999237060547,2.8499999046325684,198000.0,,,,,
2024-06-14,2.7799999713897705,3.5,2.569999933242798,3.5,158000.0,,,,,
2024-06-17,2.549999952316284,2.630000114440918,2.3499999046325684,2.549999952316284,81800.0,,,,,
2024-06-18,2.5899999141693115,2.640000104904175,2.369999885559082,2.509999990463257,33000.0,,,,,
2024-06-20,2.470000028610229,2.5999999046325684,2.430000066757202,2.5999999046325684,30200.0,,,,,
2024-06-21,2.4800000190734863,2.549999952316284,2.289999961853028,2.400000095367432,19000.0,,,,,
2024-06-24,2.4100000858306885,2.5799999237060547,2.299999952316284,2.319999933242798,18900.0,,,,,
2024-06-25,2.0799999237060547,2.359999895095825,1.919999957084656,2.2699999809265137,73700.0,,,,,
2024-06-26,2.059999942779541,2.0799999237060547,1.9800000190734863,1.9900000095367432,22000.0,,,,,
2024-06-27,2.0799999237060547,2.25,1.9800000190734863,2.059999942779541,36600.0,,,,,
2024-06-28,2.130000114440918,2.289999961853028,2.009999990463257,2.009999990463257,36100.0,,,,,
2024-07-01,2.200000047683716,2.25,1.9800000190734863,2.0899999141693115,15800.0,,,,,
2024-07-02,2.0299999713897705,2.190000057220459,2.0299999713897705,2.0299999713897705,39900.0,,,,,
2024-07-03,2.140000104904175,2.200000047683716,2.0,2.0,19200.0,,,,,
