Date,Close,High,Low,Open,Volume,"('Close', 'NXE')","('High', 'NXE')","('Low', 'NXE')","('Open', 'NXE')","('Volume', 'NXE')"
2024-06-03,7.5,7.820000171661377,7.434999942779541,7.800000190734863,4939200.0,,,,,
2024-06-04,7.320000171661377,7.474999904632568,7.239999771118164,7.420000076293945,6209100.0,,,,,
2024-06-05,7.159999847412109,7.485000133514404,7.125,7.400000095367432,4414900.0,,,,,
2024-06-06,7.199999809265137,7.355000019073486,7.139999866485596,7.170000076293945,4249600.0,,,,,
2024-06-07,6.900000095367432,7.110000133514404,6.840000152587891,7.110000133514404,6915400.0,,,,,
2024-06-10,7.039999961853027,7.179999828338623,6.909999847412109,6.949999809265137,4155400.0,,,,,
2024-06-11,6.670000076293945,6.949999809265137,6.590000152587891,6.949999809265137,6096500.0,,,,,
2024-06-12,6.829999923706055,6.880000114440918,6.690000057220459,6.829999923706055,4960800.0,,,,,
2024-06-13,7.059999942779541,7.15500020980835,6.840000152587891,6.840000152587891,4807000.0,,,,,
2024-06-14,7.039999961853027,7.179999828338623,6.994999885559082,7.039999961853027,3247500.0,,,,,
2024-06-17,7.039999961853027,7.135000228881836,6.940000057220459,7.010000228881836,2459200.0,,,,,
2024-06-18,7.059999942779541,7.21999979019165,7.0,7.0,2755800.0,,,,,
2024-06-20,7.110000133514404,7.150000095367432,6.940000057220459,7.110000133514404,2705100.0,,,,,
2024-06-21,6.900000095367432,7.099999904632568,6.760000228881836,7.079999923706055,6936400.0,,,,,
2024-06-24,6.739999771118164,6.929999828338623,6.670000076293945,6.880000114440918,3512000.0,,,,,
2024-06-25,6.71999979019165,6.789999961853027,6.565000057220459,6.739999771118164,4613100.0,,,,,
2024-06-26,6.849999904632568,6.96999979019165,6.710000038146973,6.730000019073486,4334300.0,,,,,
2024-06-27,7.090000152587891,7.119999885559082,6.849999904632568,6.849999904632568,3195000.0,,,,,
2024-06-28,6.980000019073486,7.230000019073486,6.929999828338623,7.159999847412109,5167600.0,,,,,
2024-07-01,6.909999847412109,7.039999961853027,6.71999979019165,7.039999961853027,3032900.0,,,,,
2024-07-02,6.889999866485596,6.985000133514404,6.760000228881836,6.909999847412109,2437200.0,,,,,
2024-07-03,7.099999904632568,7.164999961853027,7.0,7.010000228881836,2117700.0,,,,,
2024-07-05,6.960000038146973,7.139999866485596,6.909999847412109,7.110000133514404,1980300.0,,,,,
2024-07-08,6.860000133514404,7.054999828338623,6.775000095367432,6.940000057220459,2790400.0,,,,,
