Date,Close,High,Low,Open,Volume,"('Close', 'NIU')","('High', 'NIU')","('Low', 'NIU')","('Open', 'NIU')","('Volume', 'NIU')"
2024-06-03,1.9700000286102293,2.039999961853028,1.9700000286102293,2.039999961853028,173400.0,,,,,
2024-06-04,1.9600000381469729,2.0,1.9299999475479128,2.0,160400.0,,,,,
2024-06-05,1.9900000095367432,2.039999961853028,1.950000047683716,1.9700000286102293,157200.0,,,,,
2024-06-06,2.009999990463257,2.0299999713897705,1.9600000381469729,1.9900000095367432,134000.0,,,,,
2024-06-07,1.919999957084656,2.009999990463257,1.899999976158142,1.9800000190734863,178600.0,,,,,
2024-06-10,1.919999957084656,1.9700000286102293,1.909999966621399,1.919999957084656,90100.0,,,,,
2024-06-11,1.809999942779541,1.940000057220459,1.7999999523162842,1.899999976158142,337800.0,,,,,
2024-06-12,1.7599999904632568,1.8899999856948853,1.75,1.8200000524520876,196800.0,,,,,
2024-06-13,1.7999999523162842,1.840000033378601,1.7599999904632568,1.7699999809265137,185900.0,,,,,
2024-06-14,1.7999999523162842,1.830000042915344,1.7799999713897705,1.7799999713897705,126800.0,,,,,
2024-06-17,1.7999999523162842,1.8600000143051147,1.7799999713897705,1.7999999523162842,114000.0,,,,,
2024-06-18,1.7799999713897705,1.830000042915344,1.7699999809265137,1.7999999523162842,106400.0,,,,,
2024-06-20,1.7899999618530271,1.809999942779541,1.75,1.7899999618530271,157300.0,,,,,
2024-06-21,1.840000033378601,1.850000023841858,1.7699999809265137,1.7699999809265137,173100.0,,,,,
2024-06-24,1.7699999809265137,1.850000023841858,1.7599999904632568,1.830000042915344,122800.0,,,,,
2024-06-25,1.75,1.8200000524520876,1.7200000286102295,1.809999942779541,97300.0,,,,,
2024-06-26,1.7400000095367432,1.7699999809265137,1.7100000381469729,1.75,79300.0,,,,,
2024-06-27,1.690000057220459,1.75,1.690000057220459,1.7200000286102295,130900.0,,,,,
2024-06-28,1.7400000095367432,1.7400000095367432,1.649999976158142,1.690000057220459,169100.0,,,,,
2024-07-01,1.7000000476837158,1.7799999713897705,1.690000057220459,1.7699999809265137,136700.0,,,,,
2024-07-02,1.7699999809265137,1.7799999713897705,1.690000057220459,1.690000057220459,187100.0,,,,,
2024-07-03,1.8200000524520876,1.840000033378601,1.7300000190734863,1.7699999809265137,234000.0,,,,,
2024-07-05,1.909999966621399,1.9900000095367432,1.8200000524520876,1.940000057220459,547100.0,,,,,
2024-07-08,2.2100000381469727,2.309999942779541,1.909999966621399,1.950000047683716,1321700.0,,,,,
2024-07-09,2.2799999713897705,2.4600000381469727,2.25,2.299999952316284,1418200.0,,,,,
2024-07-10,2.180000066757202,2.319999933242798,2.150000095367432,2.2300000190734863,387100.0,,,,,
2024-07-11,2.319999933242798,2.369999885559082,2.190000057220459,2.190000057220459,521400.0,,,,,
2024-07-12,2.240000009536743,2.3399999141693115,2.190000057220459,2.289999961853028,338100.0,,,,,
2024-07-15,2.130000114440918,2.220000028610229,2.069999933242798,2.220000028610229,589300.0,,,,,
2024-07-16,2.1700000762939453,2.240000009536743,2.0899999141693115,2.0899999141693115,261700.0,,,,,
2024-07-17,2.150000095367432,2.190000057220459,2.0999999046325684,2.1700000762939453,144300.0,,,,,
2024-07-18,2.069999933242798,2.190000057220459,2.069999933242798,2.130000114440918,337400.0,,,,,
2024-07-19,2.049999952316284,2.0799999237060547,1.919999957084656,2.049999952316284,294600.0,,,,,
2024-07-22,2.0299999713897705,2.0899999141693115,2.0,2.049999952316284,103600.0,,,,,
2024-07-23,1.9700000286102293,2.009999990463257,1.9299999475479128,2.0,243000.0,,,,,
2024-07-24,1.899999976158142,2.0,1.8799999952316284,1.940000057220459,136800.0,,,,,
2024-07-25,1.9600000381469729,1.9900000095367432,1.8899999856948853,1.8899999856948853,132000.0,,,,,
2024-07-26,2.039999961853028,2.0799999237060547,1.950000047683716,1.9600000381469729,186000.0,,,,,
2024-07-29,2.0199999809265137,2.109999895095825,2.0,2.049999952316284,149700.0,,,,,
2024-07-30,1.950000047683716,2.0199999809265137,1.940000057220459,2.0,154000.0,,,,,
2024-07-31,1.9800000190734863,2.049999952316284,1.9700000286102293,1.9800000190734863,343700.0,,,,,
2024-08-01,1.940000057220459,2.0199999809265137,1.8899999856948853,2.009999990463257,338700.0,,,,,
2024-08-02,1.909999966621399,1.950000047683716,1.8600000143051147,1.909999966621399,293100.0,,,,,
2024-08-05,1.830000042915344,1.909999966621399,1.7699999809265137,1.7699999809265137,259100.0,,,,,
2024-08-06,1.840000033378601,1.870000004768372,1.809999942779541,1.8200000524520876,188100.0,,,,,
2024-08-07,1.7999999523162842,1.870000004768372,1.7799999713897705,1.809999942779541,135100.0,,,,,
2024-08-08,1.840000033378601,1.8899999856948853,1.7899999618530271,1.7999999523162842,185900.0,,,,,
2024-08-09,1.830000042915344,1.899999976158142,1.8200000524520876,1.840000033378601,188900.0,,,,,
2024-08-12,1.7999999523162842,2.009999990463257,1.75,2.009999990463257,372700.0,,,,,
2024-08-13,1.850000023841858,1.8600000143051147,1.7999999523162842,1.809999942779541,158800.0,,,,,
2024-08-14,1.809999942779541,1.870000004768372,1.7999999523162842,1.8600000143051147,132600.0,,,,,
2024-08-15,1.840000033378601,1.8799999952316284,1.830000042915344,1.830000042915344,203700.0,,,,,
2024-08-16,1.830000042915344,1.8799999952316284,1.8200000524520876,1.8200000524520876,94600.0,,,,,
2024-08-19,1.870000004768372,1.899999976158142,1.830000042915344,1.830000042915344,160400.0,,,,,
2024-08-20,1.8200000524520876,1.870000004768372,1.7899999618530271,1.870000004768372,158900.0,,,,,
2024-08-21,1.8200000524520876,1.850000023841858,1.809999942779541,1.830000042915344,100500.0,,,,,
2024-08-22,1.809999942779541,1.850000023841858,1.7999999523162842,1.830000042915344,180700.0,,,,,
