Date,Close,High,Low,Open,Volume,"('Close', 'BTCS')","('High', 'BTCS')","('Low', 'BTCS')","('Open', 'BTCS')","('Volume', 'BTCS')"
2024-06-03,1.6218583583831787,1.670316346473919,1.6020796166050644,1.6020796166050644,73900.0,,,,,
2024-06-04,1.5625221729278564,1.6663605699131423,1.532853941612886,1.6614158843424145,78400.0,,,,,
2024-06-05,1.503185749053955,1.5951570372964292,1.465606117116666,1.562522090669557,162700.0,,,,,
2024-06-06,1.5229644775390625,1.5526327070436567,1.4834069953870648,1.4932963659250642,107600.0,,,,,
2024-06-07,1.4636282920837402,1.5625221179065387,1.4339601797040804,1.48340703367018,154200.0,,,,,
2024-06-10,1.4834070205688477,1.5526327334005905,1.4339601670394586,1.4834070205688477,93100.0,,,,,
2024-06-11,1.4537389278411863,1.508130467448989,1.42407081532784,1.4834070403545334,100200.0,,,,,
2024-06-12,1.4438495635986328,1.503185788896363,1.4438495635986328,1.4932964180134078,76500.0,,,,,
2024-06-13,1.4537389278411863,1.4784623549356422,1.414181326599458,1.4636282986789688,63200.0,,,,,
2024-06-14,1.4438495635986328,1.4834070471304528,1.4042919621762129,1.4834070471304528,161500.0,,,,,
2024-06-17,1.3944026231765747,1.4438495966125655,1.3944026231765747,1.41418136539473,99700.0,,,,,
2024-06-18,1.3449556827545166,1.433960135009977,1.3449556827545166,1.3845131646944568,64000.0,,,,,
2024-06-20,1.4042919874191284,1.45373896061334,1.364734503176241,1.364734503176241,111500.0,,,,,
2024-06-21,1.384513258934021,1.404292001250269,1.3449557743015244,1.374623887775897,104100.0,,,,,
2024-06-24,1.3449556827545166,1.4250596308391337,1.3449556827545166,1.3845131646944568,76000.0,,,,,
2024-06-25,1.3647345304489136,1.3944026442239628,1.344955787932214,1.344955787932214,51100.0,,,,,
2024-06-26,1.335066318511963,1.3845131711680891,1.335066318511963,1.3449556890431882,31300.0,,,,,
2024-06-27,1.384513258934021,1.3944026300921453,1.325177031985276,1.325177031985276,69200.0,,,,,
2024-06-28,1.3647345304489136,1.4042920154823124,1.3350664166738644,1.384513272965613,60600.0,,,,,
2024-07-01,1.4636282920837402,1.50318577525662,1.3746238370541617,1.3746238370541617,159300.0,,,,,
