Date,Close,High,Low,Open,Volume,"('Close', 'BKR')","('High', 'BKR')","('Low', 'BKR')","('Open', 'BKR')","('Volume', 'BKR')"
2024-06-03,31.259796142578125,32.59186100396842,30.987548429703992,32.55296767875676,7403200.0,,,,,
2024-06-04,30.75419044494629,31.094499603122788,30.3652664875456,31.094499603122788,5407600.0,,,,,
2024-06-05,30.870868682861328,31.045884928025316,30.67640577611563,30.86114535207047,4661400.0,,,,,
2024-06-06,30.870868682861328,30.95837680544332,30.53055952332421,30.744469091651627,8449300.0,,,,,
2024-06-07,30.763914108276367,30.96810034720394,30.64723784706267,30.84169890059741,6770500.0,,,,,
2024-06-10,31.54176139831543,31.68760950370839,30.76391349071957,30.87086827346489,11739400.0,,,,,
2024-06-11,31.347301483154297,31.39591628081144,30.870867564343136,31.230621517891574,7952700.0,,,,,
2024-06-12,31.347301483154297,31.697330251728523,31.07505193994593,31.52231401290576,6306800.0,,,,,
2024-06-13,30.75419044494629,31.38619210753938,30.42360647205749,31.38619210753938,4681300.0,,,,,
2024-06-14,30.229143142700195,30.73474520750749,30.073573561918828,30.676405223812715,5243300.0,,,,,
2024-06-17,31.143115997314453,31.24034930981399,30.0735755233209,30.15136031878472,5642100.0,,,,,
2024-06-18,31.25007057189941,31.59038159970307,31.123669121053965,31.15284096913928,5903500.0,,,,,
2024-06-20,32.057090759277344,32.13487370061741,31.230624289475298,31.2792390914468,5775000.0,,,,,
2024-06-21,32.01819610595703,32.290441952961984,31.872347997020672,32.28072047659959,14462800.0,,,,,
2024-06-24,33.45721435546875,33.57389061249575,32.20293253794659,32.24182585997937,6892100.0,,,,,
2024-06-25,33.88502883911133,33.953090296262005,33.2627505399787,33.447491960020166,6342200.0,,,,,
2024-06-26,33.51555252075195,33.88502793281031,33.34053629016804,33.87530645736504,5758100.0,,,,,
2024-06-27,33.46693801879883,33.79752385954147,33.3113684295712,33.65167945599334,5117600.0,,,,,
2024-06-28,34.1961669921875,34.32256842710019,33.67112201076388,33.787798261183454,10110700.0,,,,,
2024-07-01,33.97254180908203,34.45869726335146,33.739189268112895,34.37118913322009,4998800.0,,,,,
2024-07-02,33.729461669921875,34.322571875168194,33.60306393138232,34.12810896555229,4665300.0,,,,,
2024-07-03,33.51555252075195,33.97253604810227,33.418319220943594,33.72945836218807,2796600.0,,,,,
2024-07-05,33.27247619628906,33.68084494498049,33.000226654756815,33.49610723139217,3822100.0,,,,,
2024-07-08,33.22385787963867,33.29192304721399,32.97105870649109,33.19468974287161,4252800.0,,,,,
2024-07-09,32.50434875488281,33.22385663469905,32.426562114323666,33.05856558711762,4475200.0,,,,,
2024-07-10,32.90299987792969,33.048847991565275,32.38767630547473,32.523799233363086,3274900.0,,,,,
2024-07-11,33.554443359375,33.632230002067935,32.77659547780203,32.90299691764241,6845900.0,,,,,
2024-07-12,33.54472351074219,33.836416016847394,33.408600588497855,33.75863307945268,4748000.0,,,,,
2024-07-15,34.72121810913086,35.207373513769724,33.54472292008193,33.651677702553904,8736500.0,,,,,
2024-07-16,35.29487991333008,35.59629758476912,34.46841724938631,34.57537202664117,8267700.0,,,,,
2024-07-17,35.15876007080078,35.59630069366109,35.032358622180794,35.3337763199449,4747300.0,,,,,
2024-07-18,34.896236419677734,35.54768662921962,34.85734309482445,35.12959265972583,4572700.0,,,,,
