Date,Close,High,Low,Open,Volume,"('Close', 'MIST')","('High', 'MIST')","('Low', 'MIST')","('Open', 'MIST')","('Volume', 'MIST')"
2024-06-03,1.5099999904632568,1.5399999618530271,1.4900000095367432,1.5099999904632568,109700.0,,,,,
2024-06-04,1.5199999809265137,1.5199999809265137,1.4550000429153442,1.5,213300.0,,,,,
2024-06-05,1.4800000190734863,1.5299999713897705,1.4600000381469729,1.5299999713897705,175900.0,,,,,
2024-06-06,1.4800000190734863,1.4850000143051147,1.4600000381469729,1.4600000381469729,70300.0,,,,,
2024-06-07,1.4600000381469729,1.5,1.4500000476837158,1.5,118400.0,,,,,
2024-06-10,1.4600000381469729,1.468999981880188,1.3899999856948853,1.4600000381469729,147600.0,,,,,
2024-06-11,1.440000057220459,1.4500000476837158,1.399999976158142,1.409999966621399,115300.0,,,,,
2024-06-12,1.4199999570846558,1.4600000381469729,1.399999976158142,1.4600000381469729,71500.0,,,,,
2024-06-13,1.4299999475479126,1.440000057220459,1.3799999952316284,1.409999966621399,92900.0,,,,,
2024-06-14,1.409999966621399,1.437000036239624,1.3600000143051147,1.4299999475479126,81600.0,,,,,
2024-06-17,1.3899999856948853,1.4199999570846558,1.3899999856948853,1.3899999856948853,61500.0,,,,,
2024-06-18,1.3899999856948853,1.440000057220459,1.3700000047683716,1.440000057220459,120400.0,,,,,
2024-06-20,1.3899999856948853,1.4299999475479126,1.3700000047683716,1.3799999952316284,82300.0,,,,,
2024-06-21,1.3799999952316284,1.409999966621399,1.3700000047683716,1.399999976158142,44700.0,,,,,
2024-06-24,1.3899999856948853,1.399999976158142,1.3600000143051147,1.399999976158142,99200.0,,,,,
2024-06-25,1.2899999618530271,1.3899999856948853,1.2200000286102295,1.3600000143051147,209000.0,,,,,
2024-06-26,1.340000033378601,1.3799999952316284,1.2599999904632568,1.2999999523162842,159000.0,,,,,
2024-06-27,1.2899999618530271,1.3380000591278076,1.2699999809265137,1.3200000524520874,47500.0,,,,,
2024-06-28,1.3200000524520874,1.340000033378601,1.2799999713897705,1.2799999713897705,40100.0,,,,,
2024-07-01,1.340000033378601,1.3899999856948853,1.3200000524520874,1.3700000047683716,66000.0,,,,,
2024-07-02,1.350000023841858,1.3700000047683716,1.1200000047683716,1.340000033378601,89500.0,,,,,
2024-07-03,1.3250000476837158,1.340000033378601,1.2999999523162842,1.340000033378601,35200.0,,,,,
