Date,Close,High,Low,Open,Volume,"('Close', 'TMCI')","('High', 'TMCI')","('Low', 'TMCI')","('Open', 'TMCI')","('Volume', 'TMCI')"
2024-06-03,5.480000019073486,6.0,5.429999828338623,5.889999866485596,2132600.0,,,,,
2024-06-04,5.429999828338623,5.789999961853027,5.380000114440918,5.789999961853027,1086600.0,,,,,
2024-06-05,6.110000133514404,6.119999885559082,5.349999904632568,5.429999828338623,1132400.0,,,,,
2024-06-06,6.110000133514404,6.309999942779541,5.849999904632568,5.949999809265137,947200.0,,,,,
2024-06-07,5.909999847412109,6.070000171661377,5.800000190734863,5.980000019073486,1139200.0,,,,,
2024-06-10,5.75,5.920000076293945,5.610000133514404,5.699999809265137,3834000.0,,,,,
2024-06-11,5.849999904632568,6.0,5.510000228881836,5.619999885559082,1482800.0,,,,,
2024-06-12,6.070000171661377,6.446000099182129,5.980000019073486,6.329999923706055,840600.0,,,,,
2024-06-13,6.0,6.119999885559082,5.920000076293945,6.119999885559082,412300.0,,,,,
2024-06-14,6.050000190734863,6.059999942779541,5.820000171661377,5.949999809265137,669100.0,,,,,
2024-06-17,6.079999923706055,6.150000095367432,5.75,5.96999979019165,979900.0,,,,,
2024-06-18,6.03000020980835,6.159999847412109,5.869999885559082,6.0,973900.0,,,,,
2024-06-20,5.860000133514404,6.081999778747559,5.761000156402588,6.0,754400.0,,,,,
2024-06-21,5.940000057220459,6.0,5.769999980926514,5.869999885559082,1405400.0,,,,,
2024-06-24,5.789999961853027,5.980000019073486,5.670000076293945,5.710000038146973,1281500.0,,,,,
2024-06-25,5.909999847412109,5.949999809265137,5.570000171661377,5.71999979019165,1035900.0,,,,,
2024-06-26,6.289999961853027,6.340000152587891,5.739999771118164,5.829999923706055,1208000.0,,,,,
2024-06-27,6.639999866485596,6.650000095367432,6.239999771118164,6.320000171661377,687700.0,,,,,
2024-06-28,6.650000095367432,6.816999912261963,6.5,6.690000057220459,1332400.0,,,,,
2024-07-01,6.489999771118164,6.750999927520752,6.420000076293945,6.650000095367432,632200.0,,,,,
2024-07-02,6.630000114440918,6.715000152587891,6.349999904632568,6.460000038146973,475600.0,,,,,
2024-07-03,6.610000133514404,6.800000190734863,6.53000020980835,6.559999942779541,404900.0,,,,,
2024-07-05,6.739999771118164,6.739999771118164,6.449999809265137,6.590000152587891,373200.0,,,,,
