Date,Close,High,Low,Open,Volume,"('Close', 'POM')","('High', 'POM')","('Low', 'POM')","('Open', 'POM')","('Volume', 'POM')"
2025-10-08,4.03000020980835,5.039999961853027,3.470000028610229,4.5,6989400.0,,,,,
2025-10-09,4.769999980926514,4.880000114440918,3.900000095367432,3.900000095367432,1568200.0,,,,,
2025-10-10,4.349999904632568,4.890999794006348,4.110000133514404,4.889999866485596,3203900.0,,,,,
2025-10-13,4.400000095367432,4.570000171661377,4.070000171661377,4.570000171661377,3172200.0,,,,,
2025-10-14,4.699999809265137,4.699999809265137,4.369999885559082,4.449999809265137,2844900.0,,,,,
2025-10-15,4.639999866485596,4.699999809265137,4.199999809265137,4.699999809265137,6280600.0,,,,,
2025-10-16,4.409999847412109,4.659999847412109,4.309999942779541,4.639999866485596,2546200.0,,,,,
2025-10-17,4.179999828338623,4.400000095367432,3.869999885559082,4.400000095367432,604700.0,,,,,
2025-10-20,,,,,,4.28000020980835,4.300000190734863,4.179999828338623,4.179999828338623,250200.0
2025-10-21,,,,,,4.300000190734863,4.389999866485596,4.090000152587891,4.21999979019165,5144000.0
2025-10-22,,,,,,4.380000114440918,4.550000190734863,4.239999771118164,4.400000095367432,4910400.0
2025-10-23,,,,,,4.610000133514404,4.679999828338623,4.420000076293945,4.5,3764100.0
2025-10-24,,,,,,4.639999866485596,4.738999843597412,4.349999904632568,4.710000038146973,1646000.0
2025-10-27,,,,,,4.699999809265137,4.699999809265137,4.400000095367432,4.599999904632568,2404000.0
2025-10-28,,,,,,4.820000171661377,4.833000183105469,4.429999828338623,4.699999809265137,2526600.0
2025-10-29,,,,,,4.929999828338623,4.940000057220459,4.699999809265137,4.820000171661377,1809300.0
2025-10-30,,,,,,5.449999809265137,5.449999809265137,5.0,5.0,7867200.0
2025-10-31,,,,,,5.409999847412109,5.525000095367432,5.210000038146973,5.449999809265137,1489200.0
2025-11-03,,,,,,5.630000114440918,5.670000076293945,5.250999927520752,5.360000133514404,1496100.0
2025-11-04,,,,,,5.789999961853027,5.880000114440918,5.510000228881836,5.630000114440918,4626100.0
2025-11-05,,,,,,6.070000171661377,6.130000114440918,5.800000190734863,5.900000095367432,3267000.0
2025-11-06,,,,,,6.090000152587891,6.429999828338623,5.699999809265137,6.190000057220459,4475700.0
2025-11-07,,,,,,5.340000152587891,6.28000020980835,5.0,6.28000020980835,2325300.0
2025-11-10,,,,,,5.380000114440918,5.75,5.03000020980835,5.5,471700.0
2025-11-11,,,,,,5.300000190734863,5.425000190734863,5.03000020980835,5.300000190734863,275700.0
2025-11-12,,,,,,4.519999980926514,5.400000095367432,4.110000133514404,5.300000190734863,1452300.0
2025-11-13,,,,,,3.5799999237060547,4.409999847412109,3.3499999046325684,4.190000057220459,2576800.0
2025-11-14,,,,,,3.809999942779541,3.940000057220459,3.5,3.5799999237060547,706700.0
2025-11-17,,,,,,4.329999923706055,4.605000019073486,3.6449999809265137,3.9700000286102295,438900.0
2025-11-18,,,,,,4.210000038146973,4.519999980926514,3.9000000953674316,4.170000076293945,514000.0
2025-11-19,,,,,,4.289999961853027,4.300000190734863,4.050000190734863,4.199999809265137,161700.0
2025-11-20,,,,,,4.440000057220459,4.449999809265137,4.090000152587891,4.289999961853027,339700.0
2025-11-21,,,,,,4.550000190734863,4.75,4.300000190734863,4.400000095367432,203900.0
2025-11-24,,,,,,4.590000152587891,5.0,4.550000190734863,4.550000190734863,1288800.0
2025-11-25,,,,,,4.269999980926514,4.710000038146973,4.199999809265137,4.599999904632568,136700.0
2025-11-26,,,,,,3.9000000953674316,4.239999771118164,3.9000000953674316,4.070000171661377,130400.0
2025-11-28,,,,,,4.320000171661377,4.550000190734863,3.9100000858306885,3.9700000286102295,322200.0
2025-12-01,,,,,,4.46999979019165,4.829999923706055,4.329999923706055,4.440000057220459,2527400.0
2025-12-02,,,,,,4.659999847412109,4.849999904632568,4.429999828338623,4.579999923706055,4051700.0
2025-12-03,,,,,,4.909999847412109,5.079999923706055,4.510000228881836,4.710000038146973,7454500.0
2025-12-04,,,,,,4.739999771118164,5.539999961853027,4.679999828338623,4.940000057220459,4731000.0
2025-12-05,,,,,,5.449999809265137,5.480000019073486,4.679999828338623,4.78000020980835,18113400.0
2025-12-08,,,,,,5.570000171661377,5.690000057220459,5.139999866485596,5.400000095367432,17259800.0
2025-12-09,,,,,,5.420000076293945,5.544000148773193,5.079999923706055,5.539999961853027,8698700.0
2025-12-10,,,,,,0.5,1.7300000190734863,0.5,1.5199999809265137,28468700.0
2025-12-11,,,,,,0.3840000033378601,0.47999998927116394,0.25999999046325684,0.3709999918937683,12550000.0
2025-12-12,,,,,,0.421999990940094,0.5199999809265137,0.367000013589859,0.367000013589859,4373600.0
2025-12-15,,,,,,0.3700000047683716,0.44999998807907104,0.3630000054836273,0.4399999976158142,2235200.0
2025-12-16,,,,,,0.32499998807907104,0.3709999918937683,0.31299999356269836,0.3700000047683716,1204000.0
2025-12-17,,,,,,0.3059999942779541,0.3499999940395355,0.29499998688697815,0.3190000057220459,1307800.0
2025-12-18,,,,,,0.3059999942779541,0.31200000643730164,0.25999999046325684,0.28999999165534973,3030900.0
2025-12-19,,,,,,0.30000001192092896,0.30399999022483826,0.27900001406669617,0.2840000092983246,1485200.0
2025-12-22,,,,,,0.2669999897480011,0.30000001192092896,0.25999999046325684,0.27300000190734863,1572900.0
2025-12-23,,,,,,0.3788999915122986,0.39500001072883606,0.26179999113082886,0.26179999113082886,1776159.0
