Date,Close,High,Low,Open,Volume,"('Close', 'XTIA')","('High', 'XTIA')","('Low', 'XTIA')","('Open', 'XTIA')","('Volume', 'XTIA')"
2024-06-03,230.0,241.5,220.0,237.5,472.0,,,,,
2024-06-04,230.0,235.0,220.5,231.75,356.0,,,,,
2024-06-05,240.0,507.5,230.0,490.0,241650.0,,,,,
2024-06-06,202.0,247.5,198.0,238.75,21319.0,,,,,
2024-06-07,177.75,182.5,170.0,175.0,10711.0,,,,,
2024-06-10,154.75,177.5,150.5,176.25,6646.0,,,,,
2024-06-11,131.0,157.5,122.5,153.75,10335.0,,,,,
2024-06-12,118.25,186.25,116.75,146.75,140903.0,,,,,
2024-06-13,111.0,112.0,95.0,108.5,13617.0,,,,,
2024-06-14,110.25,115.0,100.5,104.75,5394.0,,,,,
2024-06-17,111.0,116.75,101.25,109.5,4844.0,,,,,
2024-06-18,105.5,112.25,102.25,111.0,2665.0,,,,,
2024-06-20,103.0,109.75,101.25,108.75,2524.0,,,,,
2024-06-21,95.25,102.0,92.75,98.75,4612.0,,,,,
2024-06-24,104.0,107.0,96.5,98.0,3481.0,,,,,
2024-06-25,112.25,119.25,104.25,105.0,5281.0,,,,,
2024-06-26,115.0,119.25,108.5,111.25,2469.0,,,,,
2024-06-27,111.0,117.25,106.25,112.5,2080.0,,,,,
2024-06-28,110.5,112.5,106.0,108.25,1053.0,,,,,
2024-07-01,100.0,187.5,95.5,179.75,262557.0,,,,,
2024-07-02,99.25,101.0,91.25,92.25,19207.0,,,,,
2024-07-03,95.0,96.75,92.25,93.5,4974.0,,,,,
2024-07-05,93.75,100.0,87.75,92.5,6070.0,,,,,
2024-07-08,98.5,101.75,90.75,92.5,5299.0,,,,,
2024-07-09,92.0,94.75,87.5,90.25,22618.0,,,,,
2024-07-10,90.5,94.75,89.0,91.5,5542.0,,,,,
2024-07-11,92.75,94.75,89.0,90.5,5260.0,,,,,
2024-07-12,94.25,97.5,93.0,93.5,6046.0,,,,,
2024-07-15,90.5,97.5,90.5,95.0,4644.0,,,,,
2024-07-16,87.75,91.75,87.0,91.0,7351.0,,,,,
2024-07-17,87.25,89.0,83.25,87.5,3744.0,,,,,
2024-07-18,85.25,87.5,83.75,87.25,3532.0,,,,,
2024-07-19,82.75,85.75,82.25,85.25,2897.0,,,,,
2024-07-22,81.5,84.0,79.25,84.0,3302.0,,,,,
2024-07-23,79.0,82.25,75.75,81.0,3812.0,,,,,
