Date,Close,High,Low,Open,Volume,"('Close', 'CHMI')","('High', 'CHMI')","('Low', 'CHMI')","('Open', 'CHMI')","('Volume', 'CHMI')"
2024-06-03,2.8353936672210693,2.8353936672210693,2.782039536603851,2.812527611242261,188700.0,,,,,
2024-06-04,2.8125271797180176,2.8277712146983403,2.7896611272475336,2.7896611272475336,64200.0,,,,,
2024-06-05,2.858259439468384,2.858259439468384,2.8049053141474816,2.8201493499534536,122600.0,,,,,
2024-06-06,2.850637674331665,2.858259692910496,2.8353936371740027,2.858259692910496,55800.0,,,,,
2024-06-07,2.8201491832733154,2.8430152356308143,2.804905148368316,2.827771200725815,76500.0,,,,,
2024-06-10,2.782039165496826,2.8201492537111865,2.782039165496826,2.7972832007825703,109800.0,,,,,
2024-06-11,2.797283411026001,2.850637538536194,2.7820393745945173,2.850637538536194,101200.0,,,,,
2024-06-12,2.850637674331665,2.934479878698806,2.827771618595172,2.8353936371740027,307200.0,,,,,
2024-06-13,2.8735036849975586,2.8963697403754,2.827771574241876,2.8811257034568394,89000.0,,,,,
2024-06-14,2.926857709884644,2.934479728072237,2.8811256007590824,2.888747618946676,236200.0,,,,,
2024-06-17,2.9116134643554688,2.934479517275681,2.9039914467153984,2.934479517275681,123800.0,,,,,
2024-06-18,2.9192354679107666,2.949723538323949,2.903991432704175,2.934479503117358,308000.0,,,,,
2024-06-20,2.9725899696350098,3.01070006017428,2.9344796973724936,2.957345933419301,301100.0,,,,,
2024-06-21,2.987833976745605,3.01832204888003,2.980211958711999,3.01832204888003,324300.0,,,,,
2024-06-24,3.003077983856201,3.0183220197764262,2.987833947935977,3.0107000018163137,216600.0,,,,,
2024-06-25,2.964968204498291,3.0259443545636096,2.964968204498291,3.0183223358054447,298300.0,,,,,
2024-06-26,3.025944232940674,3.041188269844294,2.964968085326193,3.0107001960370536,288000.0,,,,,
2024-06-27,2.964968204498291,3.003078298289115,2.919235910226041,3.003078298289115,360100.0,,,,,
2024-06-28,2.877762794494629,2.957039928360212,2.869834892096474,2.909473648040862,312000.0,,,,,
2024-07-01,2.8460519313812256,2.9253292592568645,2.8381242174948222,2.8936184037112525,181200.0,,,,,
2024-07-02,2.877762794494629,2.885690507881187,2.830196325163682,2.846051751936799,134300.0,,,,,
2024-07-03,2.901546001434326,2.9094737150033434,2.885690574296292,2.893618287865309,63600.0,,,,,
2024-07-05,2.89361834526062,2.917401486439413,2.846051873891428,2.9015460589868844,114000.0,,,,,
2024-07-08,2.89361834526062,2.9094737727131488,2.877762917808091,2.89361834526062,168500.0,,,,,
2024-07-09,2.885690450668335,2.9094735903564763,2.846051695509841,2.901545877127096,141900.0,,,,,
2024-07-10,2.89361834526062,2.9015460589868844,2.869835015070222,2.885690631534356,128600.0,,,,,
