Date,Close,High,Low,Open,Volume,"('Close', 'ELDN')","('High', 'ELDN')","('Low', 'ELDN')","('Open', 'ELDN')","('Volume', 'ELDN')"
2024-06-03,2.799999952316284,2.825000047683716,2.720000028610229,2.740000009536743,142900.0,,,,,
2024-06-04,2.869999885559082,2.950000047683716,2.700000047683716,2.809999942779541,214200.0,,,,,
2024-06-05,2.8399999141693115,3.0,2.7100000381469727,2.890000104904175,194000.0,,,,,
2024-06-06,2.720000028610229,2.869999885559082,2.700000047683716,2.859999895095825,89600.0,,,,,
2024-06-07,2.7799999713897705,2.8399999141693115,2.7100000381469727,2.740000009536743,117100.0,,,,,
2024-06-10,2.869999885559082,2.940000057220459,2.819999933242798,2.880000114440918,165100.0,,,,,
2024-06-11,2.900000095367432,2.950000047683716,2.799999952316284,2.890000104904175,106300.0,,,,,
2024-06-12,2.9600000381469727,3.0899999141693115,2.950000047683716,2.9800000190734863,103600.0,,,,,
2024-06-13,2.940000057220459,3.200000047683716,2.9100000858306885,3.039999961853028,204100.0,,,,,
2024-06-14,3.0299999713897705,3.0799999237060547,2.934999942779541,2.940000057220459,144800.0,,,,,
2024-06-17,2.819999933242798,3.1600000858306885,2.7799999713897705,3.049999952316284,231300.0,,,,,
2024-06-18,2.609999895095825,2.9609999656677246,2.5999999046325684,2.8399999141693115,146100.0,,,,,
2024-06-20,2.630000114440918,2.8299999237060547,2.609999895095825,2.6700000762939453,118200.0,,,,,
2024-06-21,2.7300000190734863,2.799999952316284,2.555000066757202,2.680000066757202,793400.0,,,,,
2024-06-24,2.609999895095825,2.740000009536743,2.609999895095825,2.640000104904175,107400.0,,,,,
2024-06-25,2.380000114440918,2.5899999141693115,2.3499999046325684,2.5899999141693115,129800.0,,,,,
2024-06-26,2.539999961853028,2.6600000858306885,2.3399999141693115,2.3399999141693115,112900.0,,,,,
2024-06-27,2.5999999046325684,2.630000114440918,2.430000066757202,2.509999990463257,50200.0,,,,,
2024-06-28,2.640000104904175,2.650000095367432,2.450000047683716,2.630000114440918,109800.0,,,,,
2024-07-01,2.509999990463257,2.680000066757202,2.4100000858306885,2.650000095367432,77800.0,,,,,
2024-07-02,2.4100000858306885,2.5199999809265137,2.4100000858306885,2.5,49100.0,,,,,
2024-07-03,2.4600000381469727,2.5199999809265137,2.4049999713897705,2.450000047683716,17700.0,,,,,
2024-07-05,2.490000009536743,2.5999999046325684,2.380000114440918,2.470000028610229,115400.0,,,,,
2024-07-08,2.470000028610229,2.5799999237060547,2.299999952316284,2.5299999713897705,90900.0,,,,,
2024-07-09,2.490000009536743,2.549999952316284,2.430000066757202,2.5,57400.0,,,,,
2024-07-10,2.430000066757202,2.4800000190734863,2.400000095367432,2.4800000190734863,24200.0,,,,,
2024-07-11,2.470000028610229,2.5199999809265137,2.390000104904175,2.390000104904175,39900.0,,,,,
