Date,Close,High,Low,Open,Volume,"('Close', 'EL')","('High', 'EL')","('Low', 'EL')","('Open', 'EL')","('Volume', 'EL')"
2024-06-03,121.05633544921876,122.6935490903361,119.61402518450863,121.65080041287422,1702300.0,,,,,
2024-06-04,120.3936538696289,121.7385050145034,119.8284236674736,120.45212339568384,2603500.0,,,,,
2024-06-05,119.82842254638672,120.5398339921108,118.9903246503664,119.74071825812484,3054800.0,,,,,
2024-06-06,120.36442565917967,121.55335565426998,119.47759814526928,119.75046586183012,1333400.0,,,,,
2024-06-07,117.4018325805664,119.28267901878948,117.13870486353896,119.28267901878948,2187000.0,,,,,
2024-06-10,115.78411102294922,117.1289695520892,115.61844241532928,117.04125783123412,2409100.0,,,,,
2024-06-11,114.60492706298828,115.32607844312828,113.08465998185886,115.32607844312828,2487700.0,,,,,
2024-06-12,111.11610412597656,116.53450557834184,110.99916507731342,115.96927539284658,3112600.0,,,,,
2024-06-13,111.184326171875,112.94823373304337,110.66782552291784,111.4766886771766,3297700.0,,,,,
2024-06-14,110.9991683959961,112.01268231353878,110.1708178911555,110.51190251843254,2782300.0,,,,,
2024-06-17,111.95420837402344,112.44147426473832,109.78100666508396,110.04412697463152,1713800.0,,,,,
2024-06-18,107.96836853027344,112.42197812641584,107.57855436110763,110.2487691520001,2989700.0,,,,,
2024-06-20,109.82972717285156,109.89794409914178,107.02307836037002,107.40314515471374,3118400.0,,,,,
2024-06-21,110.950439453125,111.4766874960397,110.25852279533548,110.92120468992206,4748300.0,,,,,
2024-06-24,112.19783782958984,112.8702671170892,110.86273408901393,110.95043837777268,2684400.0,,,,,
2024-06-25,110.97966766357422,112.85077418404347,109.53736490674952,111.93471200397452,2058600.0,,,,,
2024-06-26,110.33648681640624,110.95043914723712,109.2645033697594,110.13183603946264,1922600.0,,,,,
2024-06-27,108.03659057617188,110.58986644197138,107.13027574978886,110.06361840390184,2747400.0,,,,,
2024-06-28,103.69017791748048,107.38365407915948,101.3610476695355,107.1984906705915,7457700.0,,,,,
2024-07-01,102.6961441040039,105.60999913342962,102.13092138939383,105.60999913342962,2996000.0,,,,,
2024-07-02,103.17366790771484,104.54775366058608,101.81906951630086,103.29060694663114,1739000.0,,,,,
2024-07-03,103.7291488647461,104.07998084563704,103.07620702331296,103.45628119851672,1682600.0,,,,,
2024-07-05,103.64144897460938,104.830378886021,102.28685045195832,104.03126315729818,3075400.0,,,,,
2024-07-08,103.7876434326172,104.55752449676925,102.80336416894328,103.87534773146444,2120800.0,,,,,
2024-07-09,101.55594635009766,103.32959372547992,100.94199406307229,103.22239464495516,2691300.0,,,,,
2024-07-10,99.60689544677734,101.60468863209238,99.35351509425386,100.76659068035816,3303800.0,,,,,
2024-07-11,99.0221710205078,102.90080319476166,98.7687906854536,101.33181392850334,4288000.0,,,,,
2024-07-12,100.72760772705078,101.83857338737882,99.88950978187874,100.3962630478702,3050600.0,,,,,
2024-07-15,98.46669006347656,100.42550098570328,97.25827276117224,99.72383692788551,3379700.0,,,,,
2024-07-16,98.41796875,99.78231481731817,97.72605203362956,98.46669831618875,2785500.0,,,,,
2024-07-17,98.11585235595705,100.33778345372396,97.67731606274556,98.23279883718727,2267400.0,,,,,
2024-07-18,94.43212890625,99.13911908525188,94.28594765542567,98.66159317021996,4414100.0,,,,,
2024-07-19,96.654052734375,96.71252225619806,93.42835523896696,94.52957336545916,3803100.0,,,,,
2024-07-22,98.46669006347656,99.37300489897665,95.10455102561434,96.37144528946166,3221300.0,,,,,
2024-07-23,97.41419219970705,98.6323568792278,96.83922203981506,97.8722233088208,2543500.0,,,,,
2024-07-24,97.25827026367188,99.40223710964908,96.46889450135367,99.33402018550672,2468800.0,,,,,
2024-07-25,97.35572814941406,99.12937572513933,96.6053345009798,96.8392274858642,3646200.0,,,,,
2024-07-26,98.1548309326172,99.56789887922746,96.8879367883492,98.3302469305145,2046000.0,,,,,
2024-07-29,98.16458129882812,98.57388282793356,95.89392065603522,97.84298405377947,2286900.0,,,,,
2024-07-30,96.9074478149414,97.20955030382544,95.25073923843505,95.90368121695708,3140300.0,,,,,
