Date,Close,High,Low,Open,Volume,"('Close', 'NAT')","('High', 'NAT')","('Low', 'NAT')","('Open', 'NAT')","('Volume', 'NAT')"
2024-06-03,3.614225149154663,3.6581935719160272,3.587843760043481,3.64060611894789,1521100.0,,,,,
2024-06-04,3.5262880325317383,3.596637847361244,3.4911129154579994,3.579050393653868,2661800.0,,,,,
2024-06-05,3.614225149154663,3.614225149154663,3.5262878843139807,3.543875337282117,2191400.0,,,,,
2024-06-06,3.60543155670166,3.640606465991004,3.552669192767645,3.614225493682993,1756500.0,,,,,
2024-06-07,3.552668809890747,3.6142251041720734,3.535081357141504,3.605431168138477,1325400.0,,,,,
2024-06-10,3.5438754558563232,3.570256426532229,3.535081519419042,3.5438754558563232,980500.0,,,,,
2024-06-11,3.499906539916992,3.5087002665134075,3.4471441803385,3.4823190867241616,1598100.0,,,,,
2024-06-12,3.5262880325317383,3.570256457141193,3.499906642311688,3.5350815497264403,1628300.0,,,,,
2024-06-13,3.4823191165924072,3.54387541295427,3.4559379365768867,3.52628795961059,2123100.0,,,,,
2024-06-14,3.420762777328491,3.464731407441409,3.4031751156243577,3.455937681418826,2201900.0,,,,,
2024-06-17,3.403175115585327,3.447143955356707,3.3943813895628443,3.429556503311742,2568500.0,,,,,
2024-06-18,3.4647319316864014,3.482319386392708,3.411969567567481,3.411969567567481,1566200.0,,,,,
2024-06-20,3.508700370788574,3.570256458792869,3.4647317364997923,3.4735254633575487,2026400.0,,,,,
2024-06-21,3.570256471633911,3.623018832970218,3.517494110297604,3.5438755006247447,4568000.0,,,,,
2024-06-24,3.60543155670166,3.623019011346332,3.579050584393649,3.596638039038321,1240400.0,,,,,
2024-06-25,3.631812572479248,3.649400025303832,3.605431183583396,3.605431183583396,1843800.0,,,,,
2024-06-26,3.67578125,3.67578125,3.605431433819021,3.6406063419095114,2330200.0,,,,,
2024-06-27,3.631812572479248,3.7197498366021695,3.5966376668300795,3.6757809948817335,2692700.0,,,,,
2024-06-28,3.604641914367676,3.686154055262921,3.577471272713616,3.658983197675796,3307200.0,,,,,
2024-07-01,3.604641914367676,3.613698794919029,3.550300631059556,3.604641914367676,1636400.0,,,,,
