Date,Close,High,Low,Open,Volume,"('Close', 'CMBM')","('High', 'CMBM')","('Low', 'CMBM')","('Open', 'CMBM')","('Volume', 'CMBM')"
2024-06-03,3.190000057220459,3.289999961853028,3.009999990463257,3.289999961853028,141400.0,,,,,
2024-06-04,3.150000095367432,3.180000066757202,3.049999952316284,3.150000095367432,69400.0,,,,,
2024-06-05,3.180000066757202,3.259999990463257,3.088000059127808,3.150000095367432,64300.0,,,,,
2024-06-06,3.200000047683716,3.220000028610229,3.059999942779541,3.150000095367432,95400.0,,,,,
2024-06-07,3.1600000858306885,3.200000047683716,3.0799999237060547,3.140000104904175,64900.0,,,,,
2024-06-10,3.119999885559082,3.180000066757202,3.059999942779541,3.0999999046325684,54800.0,,,,,
2024-06-11,3.1600000858306885,3.180000066757202,3.039999961853028,3.069999933242798,82000.0,,,,,
2024-06-12,3.150000095367432,3.299999952316284,3.119999885559082,3.25,39100.0,,,,,
2024-06-13,2.9800000190734863,3.180000066757202,2.9800000190734863,3.1600000858306885,49300.0,,,,,
2024-06-14,2.890000104904175,3.0350000858306885,2.809999942779541,2.9800000190734863,84500.0,,,,,
2024-06-17,2.9200000762939453,2.930000066757202,2.8499999046325684,2.869999885559082,65100.0,,,,,
2024-06-18,2.900000095367432,3.0,2.809999942779541,2.940000057220459,62400.0,,,,,
2024-06-20,2.9800000190734863,3.0,2.900000095367432,2.900000095367432,62900.0,,,,,
2024-06-21,2.9200000762939453,3.125999927520752,2.7699999809265137,2.9800000190734863,187600.0,,,,,
2024-06-24,2.9800000190734863,3.0,2.900000095367432,2.930000066757202,71200.0,,,,,
2024-06-25,2.990000009536743,2.990000009536743,2.900000095367432,2.9600000381469727,69000.0,,,,,
2024-06-26,2.9200000762939453,3.150000095367432,2.9100000858306885,2.9600000381469727,80600.0,,,,,
2024-06-27,2.890000104904175,2.970000028610229,2.8499999046325684,2.940000057220459,154200.0,,,,,
2024-06-28,2.789999961853028,2.950000047683716,2.700000047683716,2.900000095367432,1791100.0,,,,,
2024-07-01,2.650000095367432,2.875,2.619999885559082,2.819999933242798,132000.0,,,,,
