Date,Close,High,Low,Open,Volume,"('Close', 'AMPX')","('High', 'AMPX')","('Low', 'AMPX')","('Open', 'AMPX')","('Volume', 'AMPX')"
2024-06-03,1.3799999952316284,1.4299999475479126,1.3600000143051147,1.399999976158142,758200.0,,,,,
2024-06-04,1.3200000524520874,1.3799999952316284,1.309999942779541,1.3700000047683716,928400.0,,,,,
2024-06-05,1.3899999856948853,1.3899999856948853,1.2999999523162842,1.3200000524520874,662700.0,,,,,
2024-06-06,1.350000023841858,1.399999976158142,1.3200000524520874,1.399999976158142,383600.0,,,,,
2024-06-07,1.3600000143051147,1.399999976158142,1.3200000524520874,1.3200000524520874,409800.0,,,,,
2024-06-10,1.3200000524520874,1.3940000534057615,1.2999999523162842,1.3799999952316284,355400.0,,,,,
2024-06-11,1.3200000524520874,1.3300000429153442,1.25,1.3300000429153442,840000.0,,,,,
2024-06-12,1.2799999713897705,1.3600000143051147,1.25,1.2999999523162842,1054100.0,,,,,
2024-06-13,1.25,1.2699999809265137,1.149999976158142,1.25,1609800.0,,,,,
2024-06-14,1.090000033378601,1.2300000190734863,1.0800000429153442,1.2100000381469729,1263300.0,,,,,
2024-06-17,1.159999966621399,1.1749999523162842,1.0099999904632568,1.149999976158142,1044700.0,,,,,
2024-06-18,1.090000033378601,1.2300000190734863,1.0809999704360962,1.1699999570846558,597700.0,,,,,
2024-06-20,1.2300000190734863,1.2599999904632568,1.090000033378601,1.1299999952316284,977200.0,,,,,
2024-06-21,1.2300000190734863,1.2999999523162842,1.1699999570846558,1.190000057220459,683100.0,,,,,
2024-06-24,1.25,1.3200000524520874,1.2100000381469729,1.2699999809265137,463800.0,,,,,
2024-06-25,1.2400000095367432,1.2790000438690186,1.2100000381469729,1.2599999904632568,421600.0,,,,,
2024-06-26,1.2000000476837158,1.2949999570846558,1.2000000476837158,1.2300000190734863,502300.0,,,,,
2024-06-27,1.2200000286102295,1.2699999809265137,1.2100000381469729,1.2300000190734863,1209200.0,,,,,
2024-06-28,1.2699999809265137,1.2799999713897705,1.2100000381469729,1.2799999713897705,1008500.0,,,,,
2024-07-01,1.2400000095367432,1.309999942779541,1.2300000190734863,1.2799999713897705,515300.0,,,,,
2024-07-02,1.2300000190734863,1.2599999904632568,1.1699999570846558,1.25,552200.0,,,,,
2024-07-03,1.25,1.2699999809265137,1.2100000381469729,1.2699999809265137,162800.0,,,,,
2024-07-05,1.2999999523162842,1.309999942779541,1.241000056266785,1.2599999904632568,419900.0,,,,,
2024-07-08,1.2899999618530271,1.309999942779541,1.25,1.2799999713897705,273700.0,,,,,
2024-07-09,1.25,1.2999999523162842,1.25,1.2999999523162842,333000.0,,,,,
2024-07-10,1.2699999809265137,1.2799999713897705,1.2200000286102295,1.25,237100.0,,,,,
2024-07-11,1.3700000047683716,1.409999966621399,1.2699999809265137,1.2899999618530271,1196700.0,,,,,
2024-07-12,1.3799999952316284,1.4199999570846558,1.3300000429153442,1.3899999856948853,558500.0,,,,,
2024-07-15,1.3799999952316284,1.399999976158142,1.3300000429153442,1.3700000047683716,458800.0,,,,,
2024-07-16,1.440000057220459,1.4500000476837158,1.3799999952316284,1.3899999856948853,1241700.0,,,,,
2024-07-17,1.3300000429153442,1.4299999475479126,1.2999999523162842,1.4199999570846558,538200.0,,,,,
2024-07-18,1.2799999713897705,1.3700000047683716,1.2599999904632568,1.3700000047683716,789400.0,,,,,
2024-07-19,1.2799999713897705,1.309999942779541,1.2300000190734863,1.2599999904632568,447700.0,,,,,
