Date,Close,High,Low,Open,Volume,"('Close', 'BEAT')","('High', 'BEAT')","('Low', 'BEAT')","('Open', 'BEAT')","('Volume', 'BEAT')"
2024-06-03,2.75,2.859999895095825,2.6700000762939453,2.789999961853028,117600.0,,,,,
2024-06-04,2.609999895095825,2.739000082015991,2.6059999465942383,2.7300000190734863,137000.0,,,,,
2024-06-05,2.720000028610229,2.8299999237060547,2.630000114440918,2.630000114440918,118000.0,,,,,
2024-06-06,2.5899999141693115,2.7799999713897705,2.549999952316284,2.700000047683716,129800.0,,,,,
2024-06-07,2.4200000762939453,2.7100000381469727,2.3299999237060547,2.5999999046325684,177100.0,,,,,
2024-06-10,2.380000114440918,2.5199999809265137,2.380000114440918,2.450000047683716,95000.0,,,,,
2024-06-11,2.2799999713897705,2.3499999046325684,2.200000047683716,2.3499999046325684,114500.0,,,,,
2024-06-12,2.259999990463257,2.4200000762939453,2.220000028610229,2.4200000762939453,71200.0,,,,,
2024-06-13,2.039999961853028,2.289999961853028,2.0199999809265137,2.240000009536743,192800.0,,,,,
2024-06-14,2.299999952316284,2.319999933242798,2.039999961853028,2.049999952316284,134600.0,,,,,
2024-06-17,2.369999885559082,2.450000047683716,2.25,2.299999952316284,146000.0,,,,,
2024-06-18,2.2699999809265137,2.5299999713897705,2.259999990463257,2.3299999237060547,84800.0,,,,,
2024-06-20,2.289999961853028,2.390000104904175,2.200000047683716,2.25,79400.0,,,,,
2024-06-21,2.400000095367432,2.4200000762939453,2.200000047683716,2.2799999713897705,77700.0,,,,,
2024-06-24,2.440000057220459,2.4800000190734863,2.359999895095825,2.400000095367432,38700.0,,,,,
2024-06-25,2.450000047683716,2.58899998664856,2.4200000762939453,2.4600000381469727,40600.0,,,,,
2024-06-26,2.4800000190734863,2.559000015258789,2.4200000762939453,2.4200000762939453,28900.0,,,,,
2024-06-27,2.509999990463257,2.539999961853028,2.299999952316284,2.450000047683716,73300.0,,,,,
