Date,Close,High,Low,Open,Volume,"('Close', 'TER')","('High', 'TER')","('Low', 'TER')","('Open', 'TER')","('Volume', 'TER')"
2024-06-03,140.22593688964844,144.8199173470702,138.16758553797646,143.03004990493554,1730500.0,,,,,
2024-06-04,138.8338165283203,140.98165754402936,137.78974105414738,139.55971693574023,2583500.0,,,,,
2024-06-05,144.5713348388672,144.72048414709653,140.2657144578351,141.20042391705786,2182900.0,,,,,
2024-06-06,142.42349243164062,143.89516973246958,142.0058591996333,143.44769146622582,1319100.0,,,,,
2024-06-07,140.10659790039062,143.61671955393143,138.6448741327271,142.015799894257,1253100.0,,,,,
2024-06-10,142.27432250976562,143.35818111003758,138.51560879345453,138.51560879345453,1467700.0,,,,,
2024-06-11,143.6365966796875,143.74597787482347,140.41485088271253,141.21033393148335,1238700.0,,,,,
2024-06-12,148.0217742919922,151.37279306504166,146.2716902628517,146.6495401763938,2573500.0,,,,,
2024-06-13,146.8086395263672,147.23622608909267,144.04429490187005,144.62103074643758,1282600.0,,,,,
2024-06-14,144.2431640625,145.68499607143093,143.8752523894749,144.0641849262824,1060200.0,,,,,
2024-06-17,143.9249725341797,144.17356478074586,140.7032115564502,143.7559316272587,2452000.0,,,,,
2024-06-18,150.8955078125,151.09437859382425,146.15236305493303,146.48050667190867,2893200.0,,,,,
2024-06-20,147.1168975830078,149.99062352414862,145.3568601200519,149.67243331875332,3293600.0,,,,,
2024-06-21,147.61407470703125,148.6979332732788,145.4463575745361,146.76887016251715,6175700.0,,,,,
2024-06-24,144.7105255126953,148.06154432994276,144.45199502392853,145.9037653288868,1785700.0,,,,,
2024-06-25,146.73902893066406,147.17653851062457,143.46754668431066,144.98892991935966,2007200.0,,,,,
2024-06-26,146.04296875,147.166610564356,143.95480297409063,146.44072544983987,1343400.0,,,,,
2024-06-27,146.73902893066406,147.41519251385668,145.00882154617875,146.17223136281237,1365300.0,,,,,
2024-06-28,147.45497131347656,150.66679408571326,145.5457846674331,148.01183069483096,2826200.0,,,,,
2024-07-01,146.93792724609375,147.93229635347475,144.63098363399297,147.16662789238822,1159600.0,,,,,
2024-07-02,148.75759887695312,149.8911788569429,144.61106706220716,146.17223357451604,1203700.0,,,,,
2024-07-03,150.84579467773438,151.81033395208425,148.0018983459864,149.15537018356113,990200.0,,,,,
2024-07-05,150.3485870361328,151.81031065342734,149.0559043250257,151.81031065342734,929900.0,,,,,
2024-07-08,153.3018798828125,154.02776506583965,150.96512163877856,151.30320348590155,1518900.0,,,,,
2024-07-09,152.61575317382812,155.2309485557319,152.23790326320182,153.76922488027446,1223300.0,,,,,
2024-07-10,158.2339324951172,158.71122533253833,152.9538359108525,153.4907884563431,1783300.0,,,,,
2024-07-11,153.92831420898438,160.31216095245054,153.60017063961286,160.31216095245054,2082600.0,,,,,
2024-07-12,155.44972229003906,157.9654748840988,153.68968474520756,155.1016870379822,1907500.0,,,,,
2024-07-15,158.5919189453125,160.2425599713473,156.19548598854306,156.2949137858719,2113500.0,,,,,
2024-07-16,162.08213806152344,162.29096221606864,158.07483242634694,160.3022243257432,1472000.0,,,,,
2024-07-17,151.4921112060547,158.7808220459483,151.30317868337806,157.75662327099502,3141600.0,,,,,
2024-07-18,148.6780548095703,152.66546897514922,146.31145177116326,150.975044736087,2945700.0,,,,,
2024-07-19,145.5955047607422,149.43376964442598,145.17787160836622,148.18087018729807,2001000.0,,,,,
2024-07-22,153.59024047851562,154.30617219044666,148.26042209883678,150.14971710585652,2252100.0,,,,,
2024-07-23,151.41256713867188,153.27203225514688,150.71651189503416,150.98498059216607,1309100.0,,,,,
2024-07-24,142.73171997070312,149.8514056714836,142.37374652281844,148.77748532782954,3150200.0,,,,,
2024-07-25,123.63983917236328,129.23814155898185,119.67230894312034,127.7167581861521,6539000.0,,,,,
2024-07-26,125.7479019165039,125.8771671544492,122.33721596781342,124.45522677775077,2617200.0,,,,,
2024-07-29,127.20963287353516,129.5364603955462,126.424080413641,127.64715009677248,1744200.0,,,,,
2024-07-30,120.65673065185548,127.97528708866145,119.42371521775992,127.86590589189784,2812500.0,,,,,
2024-07-31,130.42144775390625,130.83908093260723,125.22089430373796,126.0362766182448,4440800.0,,,,,
2024-08-01,121.0544891357422,130.87885287126176,118.9762614092883,128.04491010960683,3950700.0,,,,,
2024-08-02,116.60964965820312,119.3242803747596,115.06838225522256,119.07568812397886,3522600.0,,,,,
