Date,Close,High,Low,Open,Volume,"('Close', 'DHI')","('High', 'DHI')","('Low', 'DHI')","('Open', 'DHI')","('Volume', 'DHI')"
2024-06-03,145.06231689453125,146.1779579111658,144.39096783077812,145.92126828058304,1911800.0,,,,,
2024-06-04,142.0411834716797,144.7068743196033,140.89594032708354,144.13424521489216,2448300.0,,,,,
2024-06-05,144.23300170898438,144.30211914869142,141.15266580406376,143.15686064794863,1557900.0,,,,,
2024-06-06,141.87338256835938,144.6970288408384,141.60681040235065,143.93681232694752,1570600.0,,,,,
2024-06-07,138.43760681152344,139.88892223894132,136.32480983889505,137.2331135307436,2866300.0,,,,,
2024-06-10,140.4121856689453,140.6293903657785,136.99616048997353,137.31210007257766,1602700.0,,,,,
2024-06-11,137.78599548339844,139.55325052496076,137.51942334154825,139.55325052496076,1813100.0,,,,,
2024-06-12,141.90298461914062,147.9748184778341,141.172400705078,143.1370953548716,3222700.0,,,,,
2024-06-13,141.6364288330078,142.2584104053808,139.44464694126114,141.21188690235064,1712200.0,,,,,
2024-06-14,140.96505737304688,141.28099693884013,137.99332427333903,139.60259435901193,1843300.0,,,,,
2024-06-17,141.43896484375,141.824006809942,138.9904932398836,140.34307385307596,2393900.0,,,,,
2024-06-18,137.62803649902344,140.25422801355234,136.5716454410441,139.85931856595494,2705800.0,,,,,
2024-06-20,139.35577392578125,140.14560778509022,137.58853403561216,137.9538259813011,2821100.0,,,,,
2024-06-21,140.58001708984375,140.96505902464827,137.5885339660175,139.62234598395057,3460100.0,,,,,
2024-06-24,142.21893310546875,143.4925288359812,140.00740110519715,140.28384072212745,1907500.0,,,,,
2024-06-25,138.65481567382812,142.16956073723722,137.40095491306295,142.01159094308142,1931400.0,,,,,
2024-06-26,138.5363311767578,139.07932780626797,137.7958647930689,137.83534970500835,1630900.0,,,,,
2024-06-27,139.4051513671875,139.63222353364895,137.22325193394397,138.62519997899608,1405600.0,,,,,
2024-06-28,139.13856506347656,140.61949785594012,137.97357183118905,139.90866397519883,2792000.0,,,,,
2024-07-01,135.27828979492188,139.95802817294611,135.19930489820547,139.73095601040438,2477900.0,,,,,
