Date,Close,High,Low,Open,Volume,"('Close', 'IVP')","('High', 'IVP')","('Low', 'IVP')","('Open', 'IVP')","('Volume', 'IVP')"
2024-09-20,18.549999237060547,20.0,18.174999237060547,19.875,28744.0,,,,,
2024-09-23,18.25,19.25,17.774999618530273,19.25,22992.0,,,,,
2024-09-24,17.600000381469727,20.475000381469727,17.024999618530273,18.274999618530277,78800.0,,,,,
2024-09-25,17.0,17.75,16.625,17.75,39544.0,,,,,
2024-09-26,14.975000381469728,17.174999237060547,12.925000190734863,16.75,106252.0,,,,,
2024-09-27,11.975000381469728,15.0,11.274999618530272,15.0,147896.0,,,,,
2024-09-30,7.974999904632568,12.199999809265137,7.5,12.199999809265137,188540.0,,,,,
2024-10-01,6.0,8.5,5.75,8.25,166848.0,,,,,
2024-10-02,7.5,9.75,6.125,6.275000095367432,820652.0,,,,,
2024-10-03,7.0,7.75,6.775000095367432,7.574999809265137,139004.0,,,,,
2024-10-04,6.650000095367432,7.099999904632568,6.25,6.574999809265137,82408.0,,,,,
2024-10-07,6.75,7.849999904632568,6.5,7.550000190734863,692376.0,,,,,
2024-10-08,7.175000190734863,8.25,6.449999809265137,6.449999809265137,166904.0,,,,,
2024-10-09,7.724999904632568,8.25,7.025000095367432,7.099999904632568,122116.0,,,,,
2024-10-10,7.125,7.724999904632568,7.050000190734863,7.5,47744.0,,,,,
2024-10-11,7.050000190734863,7.625,6.875,7.125,40408.0,,,,,
2024-10-14,6.550000190734863,7.125,6.300000190734863,7.074999809265137,41224.0,,,,,
2024-10-15,6.5,6.824999809265137,6.275000095367432,6.824999809265137,36796.0,,,,,
2024-10-16,6.375,6.75,6.375,6.599999904632568,53168.0,,,,,
2024-10-17,6.300000190734863,6.574999809265137,5.675000190734863,6.574999809265137,100456.0,,,,,
2024-10-18,6.175000190734863,6.324999809265137,5.75,6.25,61348.0,,,,,
2024-10-21,8.25,24.600000381469727,6.175000190734863,6.224999904632568,14623308.0,,,,,
2024-10-22,9.425000190734863,11.75,8.5,10.199999809265137,3046524.0,,,,,
2024-10-23,8.350000381469727,9.0,7.75,8.5,324344.0,,,,,
2024-10-24,7.375,8.0,7.0,8.0,194640.0,,,,,
2024-10-25,6.800000190734863,7.699999809265137,6.75,7.5,210844.0,,,,,
2024-10-28,6.75,7.25,6.375,6.849999904632568,176688.0,,,,,
2024-10-29,6.75,7.474999904632568,6.425000190734863,6.675000190734863,184616.0,,,,,
2024-10-30,7.0,7.75,6.625,6.625,179560.0,,,,,
2024-10-31,6.949999809265137,7.349999904632568,6.75,7.025000095367432,65388.0,,,,,
2024-11-01,6.375,6.949999809265137,6.324999809265137,6.925000190734863,87168.0,,,,,
2024-11-04,6.099999904632568,6.650000095367432,5.900000095367432,6.650000095367432,91100.0,,,,,
2024-11-05,6.099999904632568,6.324999809265137,5.900000095367432,6.25,76404.0,,,,,
2024-11-06,6.25,6.375,5.824999809265137,6.375,80812.0,,,,,
2024-11-07,6.349999904632568,6.5,6.050000190734863,6.375,39472.0,,,,,
2024-11-08,6.599999904632568,6.875,6.074999809265137,6.425000190734863,142816.0,,,,,
2024-11-11,6.324999809265137,6.650000095367432,6.275000095367432,6.449999809265137,46716.0,,,,,
2024-11-12,6.25,6.425000190734863,5.900000095367432,6.400000095367432,63696.0,,,,,
2024-11-13,6.400000095367432,6.5,5.800000190734863,6.199999809265137,75156.0,,,,,
2024-11-14,6.199999809265137,6.375,6.0,6.25,41464.0,,,,,
2024-11-15,5.900000095367432,6.224999904632568,5.824999809265137,6.224999904632568,40772.0,,,,,
2024-11-18,5.650000095367432,5.949999809265137,5.375,5.900000095367432,58356.0,,,,,
2024-11-19,5.224999904632568,5.800000190734863,4.875,5.699999809265137,115524.0,,,,,
2024-11-20,5.75,5.974999904632568,5.25,5.300000190734863,104068.0,,,,,
2024-11-21,5.400000095367432,5.75,5.275000095367432,5.599999904632568,51900.0,,,,,
2024-11-22,5.375,5.5,5.050000190734863,5.5,38380.0,,,,,
2024-11-25,5.275000095367432,5.650000095367432,5.25,5.650000095367432,35256.0,,,,,
2024-11-26,5.0,5.375,4.900000095367432,5.25,40340.0,,,,,
2024-11-27,5.175000190734863,5.375,5.025000095367432,5.125,28292.0,,,,,
2024-11-29,5.525000095367432,5.75,5.125,5.199999809265137,43696.0,,,,,
2024-12-02,5.425000190734863,6.0,5.300000190734863,5.400000095367432,70860.0,,,,,
2024-12-03,5.275000095367432,5.675000190734863,5.25,5.525000095367432,26408.0,,,,,
2024-12-04,5.349999904632568,5.449999809265137,5.050000190734863,5.300000190734863,31616.0,,,,,
2024-12-05,5.425000190734863,6.300000190734863,5.275000095367432,5.5,236068.0,,,,,
2024-12-06,5.5,5.5,5.099999904632568,5.375,51360.0,,,,,
2024-12-09,5.5,5.5,5.175000190734863,5.300000190734863,37676.0,,,,,
2024-12-10,5.199999809265137,5.474999904632568,5.150000095367432,5.474999904632568,32864.0,,,,,
2024-12-11,5.199999809265137,5.25,5.074999809265137,5.25,31568.0,,,,,
2024-12-12,4.875,5.125,4.550000190734863,5.125,66416.0,,,,,
2024-12-13,4.474999904632568,4.875,4.474999904632568,4.875,57536.0,,,,,
2024-12-16,4.849999904632568,5.199999809265137,4.474999904632568,5.199999809265137,83300.0,,,,,
2024-12-17,5.025000095367432,5.449999809265137,4.75,4.900000095367432,100788.0,,,,,
2024-12-18,4.800000190734863,5.125,4.775000095367432,5.074999809265137,35828.0,,,,,
2024-12-19,4.675000190734863,5.400000095367432,4.550000190734863,4.775000095367432,84512.0,,,,,
2024-12-20,4.699999809265137,5.099999904632568,4.625,4.699999809265137,46372.0,,,,,
2024-12-23,4.574999809265137,4.699999809265137,4.199999809265137,4.675000190734863,76488.0,,,,,
2024-12-24,4.375,4.625,4.300000190734863,4.525000095367432,25412.0,,,,,
2024-12-26,4.650000095367432,4.724999904632568,4.400000095367432,4.5,45032.0,,,,,
2024-12-27,4.824999809265137,4.875,4.599999904632568,4.599999904632568,51264.0,,,,,
2024-12-30,4.875,4.974999904632568,4.599999904632568,4.824999809265137,70552.0,,,,,
2024-12-31,4.800000190734863,5.625,4.75,4.824999809265137,116976.0,,,,,
2025-01-02,5.150000095367432,5.949999809265137,4.699999809265137,4.974999904632568,1586748.0,,,,,
2025-01-03,5.275000095367432,5.849999904632568,5.099999904632568,5.425000190734863,1264052.0,,,,,
2025-01-06,4.75,5.0,4.525000095367432,5.0,340612.0,,,,,
2025-01-07,4.699999809265137,4.824999809265137,4.5,4.675000190734863,144660.0,,,,,
2025-01-08,4.400000095367432,4.574999809265137,4.300000190734863,4.574999809265137,133356.0,,,,,
2025-01-10,4.224999904632568,4.349999904632568,3.799999952316284,4.0,202408.0,,,,,
2025-01-13,3.875,4.074999809265137,3.799999952316284,4.0,76032.0,,,,,
2025-01-14,3.950000047683716,4.25,3.775000095367432,3.900000095367432,81632.0,,,,,
2025-01-15,3.849999904632568,4.125,3.5,3.974999904632568,73804.0,,,,,
2025-01-16,3.924999952316284,4.0,3.75,3.775000095367432,73880.0,,,,,
2025-01-17,3.974999904632568,4.050000190734863,3.849999904632568,3.924999952316284,55360.0,,,,,
2025-01-21,3.799999952316284,4.125,3.724999904632568,4.125,64208.0,,,,,
2025-01-22,3.825000047683716,4.0,3.625,3.75,58960.0,,,,,
2025-01-23,3.150000095367432,3.400000095367432,3.0,3.125,195180.0,,,,,
2025-01-24,2.950000047683716,3.025000095367432,2.799999952316284,3.0,130432.0,,,,,
2025-01-27,3.0999999046325684,3.319999933242798,2.819999933242798,3.0,363500.0,,,,,
2025-01-28,3.0799999237060547,3.1700000762939453,2.859999895095825,3.150000095367432,149200.0,,,,,
2025-01-29,2.900000095367432,3.065000057220459,2.720000028610229,3.009999990463257,60200.0,,,,,
2025-01-30,2.690000057220459,2.890000104904175,2.5,2.789999961853028,81200.0,,,,,
2025-01-31,2.509999990463257,3.25,2.400000095367432,2.6600000858306885,365500.0,,,,,
2025-02-03,2.369999885559082,2.509999990463257,2.259999990463257,2.509999990463257,56100.0,,,,,
2025-02-04,2.4200000762939453,2.6050000190734863,2.259999990463257,2.299999952316284,258100.0,,,,,
2025-02-05,2.380000114440918,2.6700000762939453,2.2699999809265137,2.369999885559082,467000.0,,,,,
2025-02-06,2.1700000762939453,2.400000095367432,2.140000104904175,2.3499999046325684,103700.0,,,,,
2025-02-07,2.220000028610229,2.289999961853028,2.1700000762939453,2.1700000762939453,57600.0,,,,,
2025-02-10,2.0799999237060547,2.220000028610229,2.009999990463257,2.220000028610229,78300.0,,,,,
2025-02-11,2.059999942779541,2.119999885559082,2.0199999809265137,2.0999999046325684,95100.0,,,,,
2025-02-12,2.174999952316284,2.240000009536743,2.0,2.059999942779541,95800.0,,,,,
2025-02-13,2.200000047683716,2.25,2.140000104904175,2.1700000762939453,83100.0,,,,,
2025-02-14,2.049999952316284,2.240000009536743,2.0299999713897705,2.1700000762939453,104500.0,,,,,
2025-02-18,2.0799999237060547,2.1700000762939453,2.049999952316284,2.0799999237060547,68100.0,,,,,
2025-02-19,2.115000009536743,2.180000066757202,2.0799999237060547,2.0899999141693115,65000.0,,,,,
2025-02-20,2.069999933242798,2.200000047683716,2.049999952316284,2.049999952316284,57900.0,,,,,
2025-02-21,2.075000047683716,2.130000114440918,2.049999952316284,2.059999942779541,51600.0,,,,,
2025-02-24,2.0999999046325684,2.150000095367432,1.9739999771118164,2.049999952316284,44100.0,,,,,
2025-02-25,2.039999961853028,2.119999885559082,2.009999990463257,2.049999952316284,37700.0,,,,,
2025-02-26,2.0899999141693115,2.130000114440918,2.0199999809265137,2.0199999809265137,32200.0,,,,,
2025-02-27,2.109999895095825,2.135999917984009,2.049999952316284,2.069999933242798,55300.0,,,,,
2025-02-28,2.0299999713897705,2.109999895095825,2.015000104904175,2.059999942779541,63500.0,,,,,
2025-03-03,2.0,2.140000104904175,1.9900000095367432,2.039999961853028,56600.0,,,,,
2025-03-04,1.940000057220459,2.0230000019073486,1.8799999952316284,1.950000047683716,75900.0,,,,,
2025-03-05,1.9900000095367432,2.0999999046325684,1.899999976158142,2.0999999046325684,32500.0,,,,,
2025-03-06,1.950000047683716,2.0,1.9299999475479128,1.9299999475479128,20800.0,,,,,
2025-03-07,1.9700000286102293,2.0,1.8799999952316284,1.8799999952316284,27700.0,,,,,
2025-03-10,1.9600000381469729,1.9780000448226929,1.919999957084656,1.9700000286102293,20300.0,,,,,
2025-03-11,1.830000042915344,1.9980000257492063,1.830000042915344,1.909999966621399,36400.0,,,,,
2025-03-12,1.9299999475479128,1.940000057220459,1.830000042915344,1.840000033378601,12300.0,,,,,
2025-03-13,1.7799999713897705,1.9800000190734863,1.774999976158142,1.909999966621399,28200.0,,,,,
2025-03-14,1.8600000143051147,1.8799999952316284,1.7899999618530271,1.809999942779541,18500.0,,,,,
2025-03-17,2.009999990463257,2.109999895095825,1.899999976158142,1.9600000381469729,654400.0,,,,,
2025-03-18,2.0,2.1600000858306885,1.940000057220459,2.150000095367432,394800.0,,,,,
2025-03-19,1.8799999952316284,1.955000042915344,1.870000004768372,1.950000047683716,124700.0,,,,,
2025-03-20,1.899999976158142,1.9470000267028809,1.8600000143051147,1.8600000143051147,35100.0,,,,,
2025-03-21,1.7699999809265137,1.919999957084656,1.6959999799728394,1.8899999856948853,105800.0,,,,,
2025-03-24,1.830000042915344,1.850000023841858,1.7699999809265137,1.7799999713897705,35100.0,,,,,
2025-03-25,1.7599999904632568,1.784999966621399,1.6649999618530271,1.6799999475479126,147700.0,,,,,
2025-03-26,1.7100000381469729,1.7699999809265137,1.659999966621399,1.7699999809265137,50400.0,,,,,
2025-03-27,1.7100000381469729,1.718999981880188,1.6640000343322754,1.6799999475479126,21200.0,,,,,
2025-03-28,1.7200000286102295,1.7599999904632568,1.659999966621399,1.7100000381469729,25200.0,,,,,
2025-03-31,1.7100000381469729,1.7200000286102295,1.6230000257492063,1.649999976158142,47200.0,,,,,
2025-04-01,1.7000000476837158,1.7289999723434448,1.600000023841858,1.6299999952316284,44000.0,,,,,
2025-04-02,1.7400000095367432,1.7799999713897705,1.6699999570846558,1.6699999570846558,35100.0,,,,,
2025-04-03,1.6399999856948853,1.7699999809265137,1.631999969482422,1.690000057220459,24900.0,,,,,
2025-04-04,1.5829999446868896,1.7139999866485596,1.5199999809265137,1.6100000143051147,60600.0,,,,,
2025-04-07,1.4600000381469729,1.5099999904632568,1.434999942779541,1.4500000476837158,50200.0,,,,,
2025-04-08,1.4600000381469729,1.6100000143051147,1.4500000476837158,1.5,16900.0,,,,,
2025-04-09,1.559999942779541,1.559999942779541,1.4500000476837158,1.5099999904632568,40800.0,,,,,
2025-04-10,1.4700000286102295,1.6299999952316284,1.4299999475479126,1.559999942779541,47000.0,,,,,
2025-04-11,1.4500000476837158,1.47599995136261,1.3899999856948853,1.437999963760376,34100.0,,,,,
2025-04-14,1.4600000381469729,1.5,1.4299999475479126,1.4700000286102295,27300.0,,,,,
2025-04-15,1.399999976158142,1.4800000190734863,1.3300000429153442,1.4500000476837158,51800.0,,,,,
2025-04-16,1.2960000038146973,1.399999976158142,1.2799999713897705,1.399999976158142,30200.0,,,,,
2025-04-17,1.2799999713897705,1.350000023841858,1.2599999904632568,1.2599999904632568,26500.0,,,,,
2025-04-21,1.3899999856948853,1.440000057220459,1.274999976158142,1.2799999713897705,50000.0,,,,,
2025-04-22,1.3799999952316284,1.4299999475479126,1.350000023841858,1.3700000047683716,28300.0,,,,,
2025-04-23,1.4800000190734863,1.5859999656677246,1.4199999570846558,1.4199999570846558,54200.0,,,,,
2025-04-24,1.5410000085830688,1.5700000524520874,1.4500000476837158,1.5,16100.0,,,,,
2025-04-25,1.6299999952316284,1.6399999856948853,1.5,1.5099999904632568,40000.0,,,,,
2025-04-28,1.5199999809265137,1.6200000047683716,1.5,1.6200000047683716,23300.0,,,,,
2025-04-29,1.524999976158142,1.590000033378601,1.465999960899353,1.5199999809265137,15800.0,,,,,
2025-04-30,1.5299999713897705,1.5700000524520874,1.4199999570846558,1.5399999618530271,38400.0,,,,,
2025-05-01,1.5119999647140503,1.559999942779541,1.4900000095367432,1.5399999618530271,7300.0,,,,,
2025-05-02,1.5499999523162842,1.5920000076293943,1.4709999561309814,1.5700000524520874,18500.0,,,,,
2025-05-05,1.5499999523162842,1.5499999523162842,1.4900000095367432,1.5,14400.0,,,,,
2025-05-06,1.4299999475479126,1.5399999618530271,1.4049999713897705,1.5299999713897705,38800.0,,,,,
2025-05-07,1.3899999856948853,1.4600000381469729,1.3899999856948853,1.399999976158142,11500.0,,,,,
2025-05-08,1.4700000286102295,1.5440000295639038,1.3639999628067017,1.3899999856948853,31700.0,,,,,
2025-05-09,1.4900000095367432,1.5829999446868896,1.4800000190734863,1.5399999618530271,28700.0,,,,,
2025-05-12,1.5199999809265137,1.5800000429153442,1.4600000381469729,1.4800000190734863,22200.0,,,,,
2025-05-13,1.830000042915344,1.830000042915344,1.5199999809265137,1.5499999523162842,316400.0,,,,,
2025-05-14,1.6100000143051147,2.055000066757202,1.4700000286102295,1.7699999809265137,145700.0,,,,,
2025-05-15,1.6200000047683716,1.7489999532699585,1.5399999618530271,1.7000000476837158,44300.0,,,,,
2025-05-16,1.6200000047683716,1.7979999780654907,1.5700000524520874,1.7899999618530271,69900.0,,,,,
2025-05-19,1.649999976158142,1.75,1.590999960899353,1.6200000047683716,15300.0,,,,,
2025-05-20,1.6299999952316284,1.7000000476837158,1.600000023841858,1.649999976158142,16100.0,,,,,
2025-05-21,1.600000023841858,1.7699999809265137,1.600000023841858,1.7699999809265137,51800.0,,,,,
2025-05-22,1.559999942779541,1.6299999952316284,1.5210000276565552,1.5499999523162842,30200.0,,,,,
2025-05-23,1.4800000190734863,1.5609999895095823,1.4049999713897705,1.5609999895095823,34700.0,,,,,
2025-05-27,1.5199999809265137,1.5700000524520874,1.4800000190734863,1.5399999618530271,35500.0,,,,,
2025-05-28,1.4600000381469729,1.5700000524520874,1.440000057220459,1.5700000524520874,30100.0,,,,,
2025-05-29,1.444000005722046,1.5,1.4299999475479126,1.4900000095367432,21000.0,,,,,
2025-05-30,1.8200000524520876,1.950000047683716,1.4500000476837158,1.4600000381469729,521400.0,,,,,
2025-06-02,1.6859999895095823,1.7000000476837158,1.590999960899353,1.7000000476837158,44800.0,,,,,
2025-06-03,1.690000057220459,1.840000033378601,1.6299999952316284,1.690000057220459,102700.0,,,,,
2025-06-04,1.659999966621399,1.8200000524520876,1.6299999952316284,1.7300000190734863,35400.0,,,,,
2025-06-05,1.6200000047683716,1.7799999713897705,1.6200000047683716,1.7699999809265137,48900.0,,,,,
2025-06-06,1.7100000381469729,1.75,1.6670000553131104,1.6740000247955322,22900.0,,,,,
2025-06-09,1.7100000381469729,1.7400000095367432,1.6399999856948853,1.690000057220459,29000.0,,,,,
2025-06-10,1.840000033378601,1.8799999952316284,1.600000023841858,1.6200000047683716,406800.0,,,,,
2025-06-11,1.8200000524520876,1.8849999904632568,1.7400000095367432,1.7400000095367432,73100.0,,,,,
2025-06-12,1.934999942779541,2.0199999809265137,1.7940000295639038,1.8509999513626096,77300.0,,,,,
2025-06-13,1.7699999809265137,1.899999976158142,1.7699999809265137,1.899999976158142,26900.0,,,,,
2025-06-16,1.7200000286102295,1.7899999618530271,1.659999966621399,1.7599999904632568,18700.0,,,,,
2025-06-17,1.7000000476837158,1.774999976158142,1.7000000476837158,1.7200000286102295,13900.0,,,,,
2025-06-18,1.6699999570846558,1.7400000095367432,1.6699999570846558,1.7100000381469729,6200.0,,,,,
2025-06-20,1.6699999570846558,1.75,1.6699999570846558,1.7300000190734863,17000.0,,,,,
2025-06-23,1.5540000200271606,1.7599999904632568,1.5099999904632568,1.649999976158142,21700.0,,,,,
2025-06-24,1.7000000476837158,1.7000000476837158,1.5499999523162842,1.6299999952316284,11000.0,,,,,
2025-06-25,1.6299999952316284,1.6799999475479126,1.6269999742507937,1.6679999828338623,8800.0,,,,,
2025-06-26,1.6039999723434448,1.6699999570846558,1.5800000429153442,1.649999976158142,9500.0,,,,,
2025-06-27,1.633999943733215,1.690000057220459,1.633999943733215,1.6510000228881836,21300.0,,,,,
2025-06-30,1.690000057220459,1.7599999904632568,1.628000020980835,1.649999976158142,63500.0,,,,,
2025-07-01,1.5199999809265137,1.746000051498413,1.4639999866485596,1.6799999475479126,104900.0,,,,,
2025-07-02,1.4529999494552612,1.5399999618530271,1.4500000476837158,1.5399999618530271,44100.0,,,,,
2025-07-03,1.440000057220459,1.5,1.440000057220459,1.4500000476837158,21600.0,,,,,
2025-07-07,1.3300000429153442,1.49399995803833,1.3300000429153442,1.440000057220459,152300.0,,,,,
2025-07-08,1.25,1.4500000476837158,1.25,1.3600000143051147,122600.0,,,,,
2025-07-09,1.149999976158142,1.2999999523162842,1.1200000047683716,1.2799999713897705,345700.0,,,,,
2025-07-10,0.9950000047683716,1.159999966621399,0.9950000047683716,1.159999966621399,366000.0,,,,,
2025-07-11,0.9700000286102296,1.0110000371932983,0.8999999761581421,1.0,261100.0,,,,,
2025-07-14,0.9259999990463256,1.0099999904632568,0.8999999761581421,0.959999978542328,334800.0,,,,,
2025-07-15,0.6499999761581421,0.902999997138977,0.6299999952316284,0.8899999856948853,4393600.0,,,,,
2025-07-16,0.6399999856948853,0.75,0.6380000114440918,0.7099999785423279,987700.0,,,,,
2025-07-17,0.6629999876022339,0.6959999799728394,0.6449999809265137,0.6800000071525574,249000.0,,,,,
2025-07-18,0.7070000171661377,0.7099999785423279,0.6309999823570251,0.6700000166893005,425900.0,,,,,
2025-07-21,0.7179999947547913,0.7350000143051147,0.6840000152587891,0.7099999785423279,401000.0,,,,,
2025-07-22,0.7250000238418579,0.734000027179718,0.6700000166893005,0.7009999752044678,253700.0,,,,,
2025-07-23,0.7400000095367432,0.7400000095367432,0.7099999785423279,0.7099999785423279,116100.0,,,,,
2025-07-24,0.7540000081062317,0.7549999952316284,0.7239999771118164,0.7300000190734863,119300.0,,,,,
2025-07-25,0.7749999761581421,0.781000018119812,0.7009999752044678,0.7179999947547913,255300.0,,,,,
2025-07-28,0.7609999775886536,0.7799999713897705,0.7599999904632568,0.7680000066757202,155600.0,,,,,
2025-07-29,0.7200000286102295,0.7549999952316284,0.7070000171661377,0.7540000081062317,179700.0,,,,,
2025-07-30,0.8220000267028809,0.8220000267028809,0.7200000286102295,0.7429999709129333,589800.0,,,,,
2025-07-31,0.777999997138977,0.824999988079071,0.7300000190734863,0.8169999718666077,142400.0,,,,,
2025-08-01,0.781000018119812,0.7839999794960022,0.7099999785423279,0.7799999713897705,130400.0,,,,,
2025-08-04,0.7210000157356262,0.7400000095367432,0.7080000042915344,0.7400000095367432,328200.0,,,,,
2025-08-05,0.7149999737739563,0.7260000109672546,0.671999990940094,0.7070000171661377,140100.0,,,,,
2025-08-06,0.7400000095367432,0.7519999742507935,0.6880000233650208,0.7300000190734863,67000.0,,,,,
2025-08-07,0.7749999761581421,0.8199999928474426,0.7409999966621399,0.7409999966621399,291700.0,,,,,
2025-08-08,0.7699999809265137,0.7879999876022339,0.75,0.7749999761581421,53300.0,,,,,
2025-08-11,0.8040000200271606,0.8199999928474426,0.7760000228881836,0.7990000247955322,51800.0,,,,,
2025-08-12,0.7900000214576721,0.8199999928474426,0.7699999809265137,0.8199999928474426,67100.0,,,,,
2025-08-13,0.8140000104904175,0.8330000042915344,0.800000011920929,0.8190000057220459,3440400.0,,,,,
2025-08-14,1.1399999856948853,1.340000033378601,1.0,1.100000023841858,48297000.0,,,,,
2025-08-15,1.0399999618530271,1.0700000524520874,0.8050000071525574,0.902999997138977,2371100.0,,,,,
2025-08-18,0.8999999761581421,1.0299999713897705,0.8610000014305115,0.949999988079071,1083500.0,,,,,
2025-08-19,0.8600000143051147,0.8799999952316284,0.8299999833106995,0.8500000238418579,238400.0,,,,,
2025-08-20,0.8889999985694885,0.968999981880188,0.8299999833106995,0.8299999833106995,324600.0,,,,,
2025-08-21,0.8939999938011169,0.9459999799728394,0.8460000157356262,0.8619999885559082,185700.0,,,,,
2025-08-22,0.9409999847412108,0.968999981880188,0.9039999842643738,0.9319999814033508,168400.0,,,,,
2025-08-25,0.9409999847412108,0.9480000138282776,0.8799999952316284,0.9269999861717224,149900.0,,,,,
2025-08-26,0.9829999804496764,1.065000057220459,0.890999972820282,0.8970000147819519,239200.0,,,,,
