Date,Close,High,Low,Open,Volume,"('Close', 'IVP')","('High', 'IVP')","('Low', 'IVP')","('Open', 'IVP')","('Volume', 'IVP')"
2024-06-03,79.0,92.5,70.25,73.75,32968.0,,,,,
2024-06-04,66.5,78.25,58.25,76.5,19844.0,,,,,
2024-06-05,65.75,76.0,62.0,69.75,14272.0,,,,,
2024-06-06,61.0,69.5,58.0,65.75,9448.0,,,,,
2024-06-07,56.0,62.07500076293945,53.775001525878906,60.0,5892.0,,,,,
2024-06-10,48.0,57.5,45.0,56.0,6748.0,,,,,
2024-06-11,45.625,46.79999923706055,40.75,46.5,6472.0,,,,,
2024-06-12,44.5,47.0,44.5,45.5,2172.0,,,,,
2024-06-13,44.25,46.75,43.25,46.0,2604.0,,,,,
2024-06-14,42.25,46.25,41.75,45.5,3496.0,,,,,
2024-06-17,41.5,48.25,36.5,43.5,10284.0,,,,,
2024-06-18,37.5,40.5,37.0,40.5,2160.0,,,,,
2024-06-20,32.875,37.5,32.025001525878906,35.75,4700.0,,,,,
2024-06-21,32.75,36.25,32.25,32.75,2800.0,,,,,
2024-06-24,32.625,34.0,32.0,32.0,2104.0,,,,,
2024-06-25,38.0,41.5,32.5,32.5,11732.0,,,,,
2024-06-26,33.75,38.0,32.5,36.75,5988.0,,,,,
2024-06-27,55.5,62.25,33.25,36.17499923706055,115268.0,,,,,
2024-06-28,39.5,45.67499923706055,38.75,44.5,26760.0,,,,,
2024-07-01,35.5,39.0,33.0,39.0,12416.0,,,,,
2024-07-02,32.75,34.75,32.25,34.5,8376.0,,,,,
2024-07-03,34.5,77.75,32.5,36.25,677892.0,,,,,
2024-07-05,37.25,53.5,30.75,34.5,379948.0,,,,,
2024-07-08,74.25,75.0,37.5,72.25,2191660.0,,,,,
2024-07-09,88.0,94.0,58.275001525878906,63.5,480788.0,,,,,
2024-07-10,185.0,236.5,84.75,85.5,1170440.0,,,,,
2024-07-11,139.75,162.5,120.0,143.25,107840.0,,,,,
2024-07-12,264.25,298.5,139.75,139.75,1671608.0,,,,,
2024-07-15,282.0,370.5,234.0,260.0,341428.0,,,,,
2024-07-16,257.0,273.75,239.0,272.0,56784.0,,,,,
2024-07-17,260.0,287.25,256.25,264.75,59560.0,,,,,
2024-07-18,343.25,401.5,265.0,269.5,205880.0,,,,,
2024-07-19,293.75,358.5,281.0,351.25,80388.0,,,,,
2024-07-22,231.0,296.75,206.5,282.5,46404.0,,,,,
2024-07-23,128.25,246.0,114.0999984741211,234.0,66996.0,,,,,
2024-07-24,169.0,175.0,125.0,135.25,155376.0,,,,,
2024-07-25,153.5,187.0,145.0,167.0,45628.0,,,,,
2024-07-26,149.75,157.5,143.75,152.75,18344.0,,,,,
2024-07-29,159.75,165.77499389648438,150.25,150.25,16416.0,,,,,
2024-07-30,185.0,192.5,159.25,162.25,34776.0,,,,,
2024-07-31,215.0,228.75,187.5,190.75,60040.0,,,,,
2024-08-01,246.25,255.0,225.75,225.75,62200.0,,,,,
2024-08-02,215.75,246.25,175.5,241.25,46908.0,,,,,
2024-08-05,148.0,189.25,147.5,189.25,33344.0,,,,,
2024-08-06,172.0,185.0,161.25,167.75,27972.0,,,,,
2024-08-07,154.25,187.5,146.5,187.5,25684.0,,,,,
2024-08-08,136.25,162.5,132.75,158.5,24412.0,,,,,
2024-08-09,142.5,147.5,125.0,139.0,15864.0,,,,,
2024-08-12,110.0,151.25,103.75,143.0,30112.0,,,,,
2024-08-13,84.5,110.5,79.25,110.5,35476.0,,,,,
2024-08-14,88.75,92.25,80.75,91.5,27820.0,,,,,
2024-08-15,88.0,97.5,83.125,87.0,26584.0,,,,,
2024-08-16,89.5,90.125,76.0,88.75,20872.0,,,,,
2024-08-19,104.5,112.5,93.75,93.75,49044.0,,,,,
2024-08-20,83.0,112.5,74.0,104.0,84388.0,,,,,
2024-08-21,72.5,88.75,70.0,85.0,44632.0,,,,,
2024-08-22,70.0,77.5,67.0,76.5,31240.0,,,,,
2024-08-23,76.25,77.0,70.1500015258789,70.25,20124.0,,,,,
2024-08-26,67.25,83.92500305175781,62.75,77.5,50364.0,,,,,
2024-08-27,54.25,67.25,51.0,67.25,186592.0,,,,,
2024-08-28,49.5,54.84999847412109,45.5,54.5,40832.0,,,,,
2024-08-29,42.75,51.25,41.25,50.25,48328.0,,,,,
2024-08-30,33.875,43.5,33.0,43.5,57836.0,,,,,
2024-09-03,23.75,35.25,22.899999618530277,34.5,114692.0,,,,,
2024-09-04,17.950000762939453,24.25,17.325000762939453,24.0,126636.0,,,,,
2024-09-05,29.25,36.75,16.600000381469727,18.375,1518912.0,,,,,
2024-09-06,21.825000762939453,29.75,20.799999237060547,26.25,302372.0,,,,,
2024-09-09,25.75,29.75,22.774999618530277,27.5,947324.0,,,,,
2024-09-10,26.5,28.5,24.100000381469727,25.25,152632.0,,,,,
2024-09-11,23.875,26.25,23.25,26.25,92448.0,,,,,
2024-09-12,23.225000381469727,24.975000381469727,22.5,23.75,60820.0,,,,,
2024-09-13,22.5,23.450000762939453,21.5,22.75,48568.0,,,,,
2024-09-16,20.524999618530277,22.75,20.049999237060547,22.75,38556.0,,,,,
2024-09-17,19.850000381469727,20.875,19.450000762939453,20.25,27216.0,,,,,
2024-09-18,20.700000762939453,21.475000381469727,19.0,19.75,36432.0,,,,,
2024-09-19,19.924999237060547,21.25,19.5,20.924999237060547,23736.0,,,,,
