Date,Close,High,Low,Open,Volume,"('Close', 'CLNE')","('High', 'CLNE')","('Low', 'CLNE')","('Open', 'CLNE')","('Volume', 'CLNE')"
2024-06-03,2.9200000762939453,3.190000057220459,2.859999895095825,3.1600000858306885,1958600.0,,,,,
2024-06-04,2.859999895095825,3.069999933242798,2.819999933242798,3.009999990463257,1842600.0,,,,,
2024-06-05,2.950000047683716,2.9600000381469727,2.869999885559082,2.890000104904175,1333900.0,,,,,
2024-06-06,3.069999933242798,3.0999999046325684,2.890000104904175,2.900000095367432,1343900.0,,,,,
2024-06-07,2.940000057220459,3.0299999713897705,2.8499999046325684,3.0,1654500.0,,,,,
2024-06-10,2.890000104904175,2.9800000190734863,2.880000114440918,2.9200000762939453,1482800.0,,,,,
2024-06-11,2.930000066757202,2.930000066757202,2.789999961853028,2.880000114440918,1299700.0,,,,,
2024-06-12,2.9200000762939453,3.0999999046325684,2.9200000762939453,3.009999990463257,1228300.0,,,,,
2024-06-13,2.8399999141693115,2.970000028610229,2.809999942779541,2.930000066757202,960400.0,,,,,
2024-06-14,2.7100000381469727,2.819999933242798,2.700000047683716,2.799999952316284,1014700.0,,,,,
2024-06-17,2.569999933242798,2.7100000381469727,2.559999942779541,2.7100000381469727,2873500.0,,,,,
2024-06-18,2.509999990463257,2.5899999141693115,2.5,2.549999952316284,1306000.0,,,,,
2024-06-20,2.6600000858306885,2.7100000381469727,2.440000057220459,2.470000028610229,2415900.0,,,,,
2024-06-21,2.75,2.75,2.630000114440918,2.680000066757202,4183700.0,,,,,
2024-06-24,2.75,2.859999895095825,2.700000047683716,2.75,1320300.0,,,,,
2024-06-25,2.6700000762939453,2.7300000190734863,2.569999933242798,2.700000047683716,1885400.0,,,,,
2024-06-26,2.7100000381469727,2.759999990463257,2.630000114440918,2.6600000858306885,1296400.0,,,,,
2024-06-27,2.759999990463257,2.819999933242798,2.720000028610229,2.720000028610229,908800.0,,,,,
2024-06-28,2.6700000762939453,2.799999952316284,2.619999885559082,2.789999961853028,1923500.0,,,,,
2024-07-01,2.5,2.680000066757202,2.5,2.6700000762939453,1680300.0,,,,,
