Date,Close,High,Low,Open,Volume,"('Close', 'HAL')","('High', 'HAL')","('Low', 'HAL')","('Open', 'HAL')","('Volume', 'HAL')"
2024-06-03,33.4092903137207,35.30382721857416,33.140013183629385,35.29421188148108,7969000.0,,,,,
2024-06-04,32.57261657714844,33.12078256752651,32.36104612011337,33.024614511472045,8608900.0,,,,,
2024-06-05,32.3599739074707,32.823915749607536,32.14733251383557,32.67893599792341,7989900.0,,,,,
2024-06-06,32.6885986328125,32.765924113854325,32.09900474465512,32.29231476017782,9083200.0,,,,,
2024-06-07,32.939903259277344,33.21053507286928,32.340641833349586,32.52428801007148,7534800.0,,,,,
2024-06-10,33.35551452636719,33.64548139503024,32.640272257605794,33.03655613275248,6262400.0,,,,,
2024-06-11,33.32651901245117,33.35551422422207,32.736925125897145,33.0075606217257,4872400.0,,,,,
2024-06-12,33.40385055541992,33.86779246335988,33.22987187905712,33.655151039564785,6997400.0,,,,,
2024-06-13,32.64027404785156,33.32652114221852,32.19566356590244,33.13321111486783,5759600.0,,,,,
2024-06-14,31.818708419799805,32.524290596340045,31.509413840505392,32.524290596340045,7004200.0,,,,,
2024-06-17,32.292320251464844,32.46629892631204,31.70272626304741,31.82837834756649,8363800.0,,,,,
2024-06-18,31.838037490844727,32.785252532360595,31.780047065844585,32.49528934611402,11520200.0,,,,,
2024-06-20,32.21499252319336,32.40829884897581,31.75104701748637,32.021682510329086,12583700.0,,,,,
2024-06-21,32.51462173461914,32.70793176052873,31.944359186080987,32.35031060919933,43586100.0,,,,,
2024-06-24,33.19120407104492,33.461835887643375,32.59194632554179,32.70793086307227,10900000.0,,,,,
2024-06-25,33.46183776855469,33.55849462783154,32.94956931917497,33.02689111951428,6827800.0,,,,,
2024-06-26,32.89157485961914,33.41351083300908,32.75625894512889,33.32652150411075,7334400.0,,,,,
2024-06-27,32.48563003540039,33.05589264562769,32.36964548214063,32.93024056213151,9507000.0,,,,,
2024-06-28,32.649940490722656,32.98823398730324,32.56295115583992,32.765928728621226,19130600.0,,,,,
2024-07-01,32.311649322509766,32.87224436711678,32.176333404400566,32.82391778023238,6184400.0,,,,,
2024-07-02,32.49529266357422,32.80458725209087,32.2633235657279,32.52429156611676,7591800.0,,,,,
2024-07-03,32.649940490722656,32.978566457270496,32.48562935098993,32.678939393738496,3917100.0,,,,,
2024-07-05,31.99268341064453,32.68859797774768,31.77037818772698,32.57261344559108,6890400.0,,,,,
2024-07-08,32.09900665283203,32.20532735204401,31.81870729801537,31.896032783653936,4909100.0,,,,,
