Date,Close,High,Low,Open,Volume,"('Close', 'AXP')","('High', 'AXP')","('Low', 'AXP')","('Open', 'AXP')","('Volume', 'AXP')"
2024-06-03,233.0504913330078,237.45806134293443,229.7546430034744,236.2971299715234,2677200.0,,,,,
2024-06-04,233.4145050048828,236.12004721252637,231.91907383581315,232.5684075685536,2512100.0,,,,,
2024-06-05,230.89588928222656,233.8572227483337,229.9218887012028,232.43066715867036,2925100.0,,,,,
2024-06-06,229.5775604248047,232.5782406841597,228.93805962249803,230.9942680990337,2709600.0,,,,,
2024-06-07,228.9085235595703,230.3350790381456,227.9640518685869,228.65273227078453,2212500.0,,,,,
2024-06-10,228.6822509765625,230.1383202884472,226.8720010199376,228.20016717863325,2933500.0,,,,,
2024-06-11,220.90013122558597,227.8951879056712,220.5853123166256,227.8951879056712,3168100.0,,,,,
2024-06-12,220.4180450439453,224.70755959368344,219.2276149464601,223.75323992235332,3091100.0,,,,,
2024-06-13,218.5979766845703,220.1327546052438,217.171421053796,219.7982548045039,3011300.0,,,,,
2024-06-14,221.1854553222656,221.99219098832737,217.76170392354143,217.80106567043688,2373800.0,,,,,
2024-06-17,224.5796661376953,224.7764298255392,220.3983739695576,220.57545678498496,2426700.0,,,,,
2024-06-18,225.6028289794922,225.6028289794922,223.1038988105445,223.90080144292335,2176500.0,,,,,
2024-06-20,226.4883270263672,227.93454852654716,222.77927035789136,224.8649926696615,2968100.0,,,,,
2024-06-21,226.6555633544922,227.3737575960276,223.82211811036348,227.3737575960276,5064300.0,,,,,
2024-06-24,227.7279357910156,230.1186439308377,226.48831101615687,227.934532414105,2152600.0,,,,,
2024-06-25,226.86216735839844,227.56069576164668,224.84530564367068,227.12780661170223,3206800.0,,,,,
2024-06-26,226.95069885253903,228.7314500528152,225.4356019060636,226.32104602889757,3151900.0,,,,,
2024-06-27,224.7075653076172,226.60637176817357,223.6942180039806,226.0750932716001,2264200.0,,,,,
2024-06-28,227.806640625,229.8235022200636,225.0420710048277,225.54382066498007,3901100.0,,,,,
2024-07-01,230.03009033203125,231.00409082559295,227.80663219942045,228.5740210687333,2792700.0,,,,,
2024-07-02,232.1551818847656,232.37162644612084,229.2036815158569,229.77430672196547,1871700.0,,,,,
2024-07-03,231.8993988037109,233.73916262828237,231.3878011849241,232.6766206563901,1365900.0,,,,,
2024-07-05,232.5111846923828,233.56701424544943,230.46857617350855,232.5901276119203,2488300.0,,,,,
2024-07-08,231.40599060058597,236.32994775079743,230.66591769531203,233.1032256678932,2638600.0,,,,,
