Date,Close,High,Low,Open,Volume,"('Close', 'NG')","('High', 'NG')","('Low', 'NG')","('Open', 'NG')","('Volume', 'NG')"
2024-06-03,3.990000009536743,4.010000228881836,3.869999885559082,3.9700000286102295,891400.0,,,,,
2024-06-04,3.819999933242798,3.940000057220459,3.75,3.930000066757202,995500.0,,,,,
2024-06-05,3.910000085830689,3.940000057220459,3.7799999713897705,3.849999904632568,1203900.0,,,,,
2024-06-06,4.039999961853027,4.059999942779541,3.880000114440918,3.900000095367432,899300.0,,,,,
2024-06-07,3.7200000286102295,3.940000057220459,3.670000076293945,3.859999895095825,1685600.0,,,,,
2024-06-10,3.7100000381469727,3.7300000190734863,3.619999885559082,3.680000066757202,1174000.0,,,,,
2024-06-11,3.619999885559082,3.670000076293945,3.5299999713897705,3.650000095367432,1288200.0,,,,,
2024-06-12,3.5899999141693115,3.799999952316284,3.569999933242798,3.740000009536743,1017800.0,,,,,
2024-06-13,3.440000057220459,3.5899999141693115,3.4200000762939453,3.539999961853028,1108800.0,,,,,
2024-06-14,3.5,3.5299999713897705,3.430000066757202,3.4600000381469727,953500.0,,,,,
2024-06-17,3.2100000381469727,3.4800000190734863,3.200000047683716,3.450000047683716,1789900.0,,,,,
2024-06-18,3.240000009536743,3.25,3.119999885559082,3.2100000381469727,1453300.0,,,,,
2024-06-20,3.319999933242798,3.319999933242798,3.180000066757202,3.25,1938300.0,,,,,
2024-06-21,3.3499999046325684,3.4100000858306885,3.2699999809265137,3.3299999237060547,5124900.0,,,,,
2024-06-24,3.490000009536743,3.650000095367432,3.400000095367432,3.4200000762939453,1997800.0,,,,,
2024-06-25,3.539999961853028,3.5899999141693115,3.4600000381469727,3.4600000381469727,966000.0,,,,,
2024-06-26,3.390000104904175,3.5299999713897705,3.380000114440918,3.5,1253000.0,,,,,
2024-06-27,3.630000114440918,3.7300000190734863,3.3499999046325684,3.390000104904175,1744200.0,,,,,
2024-06-28,3.4600000381469727,3.670000076293945,3.4600000381469727,3.660000085830689,10557900.0,,,,,
2024-07-01,3.400000095367432,3.5899999141693115,3.400000095367432,3.509999990463257,1483000.0,,,,,
2024-07-02,3.3299999237060547,3.509999990463257,3.259999990463257,3.400000095367432,1176400.0,,,,,
2024-07-03,3.4600000381469727,3.4800000190734863,3.400000095367432,3.4100000858306885,610100.0,,,,,
2024-07-05,3.5999999046325684,3.609999895095825,3.490000009536743,3.5299999713897705,935700.0,,,,,
2024-07-08,3.75,3.75,3.539999961853028,3.549999952316284,1240900.0,,,,,
2024-07-09,3.7300000190734863,3.839999914169312,3.700000047683716,3.7799999713897705,1039000.0,,,,,
